dataset,metric,test_selected_metric,test_selected_trial,test_selected_seed,split_protocol,validation_selected_val_metric,validation_selected_test_metric,validation_selected_trial,completed_trials
actor,accuracy,0.4381579160690307,24,148,stratified_60_20_20,0.4388158023357391,0.4322368502616882,6,15
coauthor_cs,accuracy,0.9806328415870668,14,437,random_60_20_20,0.9792746305465698,0.9806328415870668,14,8
coauthor_physics,accuracy,0.9685461521148682,11,135,stratified_60_20_20,0.9707204103469848,0.9656471610069276,2,4
dblp,accuracy,0.9571373462677002,2,232,stratified_60_20_20,0.9609643816947936,0.9571373462677002,2,2
hetgb_actor,accuracy,0.7714932560920715,22,215,stratified_60_20_20,0.7734994292259216,0.7352941632270813,9,15
hetgb_amazon,accuracy,0.4705041944980621,38,507,stratified_60_20_20,0.4582568109035492,0.4623392522335052,21,10
hetgb_cornell,accuracy,0.8974359035491943,12,353,stratified_48_32_20,0.9047619700431824,0.8974359035491943,12,12
hetgb_wisconsin,accuracy,0.9056603908538818,28,426,stratified_60_20_20,0.8867924809455872,0.7735849022865295,8,12
questions,roc_auc,0.7642989282658166,2,232,stratified_60_20_20,0.7680860667093846,0.750962857996303,19,6
roman_empire,accuracy,0.7736598253250122,30,468,stratified_60_20_20,0.7734392285346985,0.766600489616394,8,9
tolokers,roc_auc,0.808565126186259,12,295,stratified_60_20_20,0.8282957408626394,0.807034503665968,7,5
