run_id,config_hash,source_hash,dataset,task,model,model_family,seed,split,run_dir
atlas_het_coordinate__node_classification__ambient_vector_gnn__split0__seed0__70acd6d2de0f,70acd6d2de0f,13cd544cee4412a5,atlas_het_coordinate,node_classification,ambient_vector_gnn,ambient_vector_gnn,0,0,outputs\runs\atlas_het_coordinate\node_classification\ambient_vector_gnn\split_0\seed_0\cfg_70acd6d2de0f
atlas_het_coordinate__node_classification__ambient_vector_gnn__split0__seed1__e7185c3ce19c,e7185c3ce19c,13cd544cee4412a5,atlas_het_coordinate,node_classification,ambient_vector_gnn,ambient_vector_gnn,1,0,outputs\runs\atlas_het_coordinate\node_classification\ambient_vector_gnn\split_0\seed_1\cfg_e7185c3ce19c
atlas_het_coordinate__node_classification__ambient_vector_gnn__split0__seed2__6e13781fb6b1,6e13781fb6b1,13cd544cee4412a5,atlas_het_coordinate,node_classification,ambient_vector_gnn,ambient_vector_gnn,2,0,outputs\runs\atlas_het_coordinate\node_classification\ambient_vector_gnn\split_0\seed_2\cfg_6e13781fb6b1
atlas_het_coordinate__node_classification__ambient_vector_gnn__split0__seed3__060b139ee24b,060b139ee24b,13cd544cee4412a5,atlas_het_coordinate,node_classification,ambient_vector_gnn,ambient_vector_gnn,3,0,outputs\runs\atlas_het_coordinate\node_classification\ambient_vector_gnn\split_0\seed_3\cfg_060b139ee24b
atlas_het_coordinate__node_classification__ambient_vector_gnn__split0__seed4__36468b4e825a,36468b4e825a,13cd544cee4412a5,atlas_het_coordinate,node_classification,ambient_vector_gnn,ambient_vector_gnn,4,0,outputs\runs\atlas_het_coordinate\node_classification\ambient_vector_gnn\split_0\seed_4\cfg_36468b4e825a
atlas_het_coordinate__node_classification__ambient_vector_gnn__split0__seed5__3f512dcdaca5,3f512dcdaca5,13cd544cee4412a5,atlas_het_coordinate,node_classification,ambient_vector_gnn,ambient_vector_gnn,5,0,outputs\runs\atlas_het_coordinate\node_classification\ambient_vector_gnn\split_0\seed_5\cfg_3f512dcdaca5
atlas_het_coordinate__node_classification__ambient_vector_gnn__split0__seed6__8c350ade2179,8c350ade2179,13cd544cee4412a5,atlas_het_coordinate,node_classification,ambient_vector_gnn,ambient_vector_gnn,6,0,outputs\runs\atlas_het_coordinate\node_classification\ambient_vector_gnn\split_0\seed_6\cfg_8c350ade2179
atlas_het_coordinate__node_classification__ambient_vector_gnn__split0__seed7__a3ac1185e5b8,a3ac1185e5b8,13cd544cee4412a5,atlas_het_coordinate,node_classification,ambient_vector_gnn,ambient_vector_gnn,7,0,outputs\runs\atlas_het_coordinate\node_classification\ambient_vector_gnn\split_0\seed_7\cfg_a3ac1185e5b8
atlas_het_coordinate__node_classification__ambient_vector_gnn__split0__seed8__47a07164ce17,47a07164ce17,13cd544cee4412a5,atlas_het_coordinate,node_classification,ambient_vector_gnn,ambient_vector_gnn,8,0,outputs\runs\atlas_het_coordinate\node_classification\ambient_vector_gnn\split_0\seed_8\cfg_47a07164ce17
atlas_het_coordinate__node_classification__ambient_vector_gnn__split0__seed9__9fa325a037d3,9fa325a037d3,13cd544cee4412a5,atlas_het_coordinate,node_classification,ambient_vector_gnn,ambient_vector_gnn,9,0,outputs\runs\atlas_het_coordinate\node_classification\ambient_vector_gnn\split_0\seed_9\cfg_9fa325a037d3
atlas_het_coordinate__node_classification__geometry_moe__split0__seed0__315bac9b9dcd,315bac9b9dcd,13cd544cee4412a5,atlas_het_coordinate,node_classification,geometry_moe,geometry_moe,0,0,outputs\runs\atlas_het_coordinate\node_classification\geometry_moe\split_0\seed_0\cfg_315bac9b9dcd
atlas_het_coordinate__node_classification__geometry_moe__split0__seed1__a3cf845d6606,a3cf845d6606,13cd544cee4412a5,atlas_het_coordinate,node_classification,geometry_moe,geometry_moe,1,0,outputs\runs\atlas_het_coordinate\node_classification\geometry_moe\split_0\seed_1\cfg_a3cf845d6606
