run_id,config_hash,source_hash,dataset,task,model,seed,split,num_threads,run_dir,job_config
atlas_het_coordinate__node_classification__ambient_vector_gnn__split0__seed0__4f970c018a54,4f970c018a54,2f51d3fdcdc3ef3a,atlas_het_coordinate,node_classification,ambient_vector_gnn,0,0,1,outputs\runs\atlas_het_coordinate\node_classification\ambient_vector_gnn\split_0\seed_0\cfg_4f970c018a54,outputs\runs\atlas_het_coordinate\node_classification\ambient_vector_gnn\split_0\seed_0\cfg_4f970c018a54\job_config.yaml
atlas_het_coordinate__node_classification__ambient_vector_gnn__split0__seed1__fdcaad0b2b44,fdcaad0b2b44,2f51d3fdcdc3ef3a,atlas_het_coordinate,node_classification,ambient_vector_gnn,1,0,1,outputs\runs\atlas_het_coordinate\node_classification\ambient_vector_gnn\split_0\seed_1\cfg_fdcaad0b2b44,outputs\runs\atlas_het_coordinate\node_classification\ambient_vector_gnn\split_0\seed_1\cfg_fdcaad0b2b44\job_config.yaml
atlas_het_coordinate__node_classification__ambient_vector_gnn__split0__seed2__d4160ad887a1,d4160ad887a1,2f51d3fdcdc3ef3a,atlas_het_coordinate,node_classification,ambient_vector_gnn,2,0,1,outputs\runs\atlas_het_coordinate\node_classification\ambient_vector_gnn\split_0\seed_2\cfg_d4160ad887a1,outputs\runs\atlas_het_coordinate\node_classification\ambient_vector_gnn\split_0\seed_2\cfg_d4160ad887a1\job_config.yaml
atlas_het_coordinate__node_classification__signature_gnn__split0__seed0__2cbad871b97b,2cbad871b97b,2f51d3fdcdc3ef3a,atlas_het_coordinate,node_classification,signature_gnn,0,0,1,outputs\runs\atlas_het_coordinate\node_classification\signature_gnn\split_0\seed_0\cfg_2cbad871b97b,outputs\runs\atlas_het_coordinate\node_classification\signature_gnn\split_0\seed_0\cfg_2cbad871b97b\job_config.yaml
atlas_het_coordinate__node_classification__signature_gnn__split0__seed1__a32078088245,a32078088245,2f51d3fdcdc3ef3a,atlas_het_coordinate,node_classification,signature_gnn,1,0,1,outputs\runs\atlas_het_coordinate\node_classification\signature_gnn\split_0\seed_1\cfg_a32078088245,outputs\runs\atlas_het_coordinate\node_classification\signature_gnn\split_0\seed_1\cfg_a32078088245\job_config.yaml
atlas_het_coordinate__node_classification__signature_gnn__split0__seed2__5fe25a8715aa,5fe25a8715aa,2f51d3fdcdc3ef3a,atlas_het_coordinate,node_classification,signature_gnn,2,0,1,outputs\runs\atlas_het_coordinate\node_classification\signature_gnn\split_0\seed_2\cfg_5fe25a8715aa,outputs\runs\atlas_het_coordinate\node_classification\signature_gnn\split_0\seed_2\cfg_5fe25a8715aa\job_config.yaml
atlas_het_coordinate__node_classification__geometry_moe__split0__seed0__ee46a7263f1c,ee46a7263f1c,2f51d3fdcdc3ef3a,atlas_het_coordinate,node_classification,geometry_moe,0,0,1,outputs\runs\atlas_het_coordinate\node_classification\geometry_moe\split_0\seed_0\cfg_ee46a7263f1c,outputs\runs\atlas_het_coordinate\node_classification\geometry_moe\split_0\seed_0\cfg_ee46a7263f1c\job_config.yaml
atlas_het_coordinate__node_classification__geometry_moe__split0__seed1__2429492ee725,2429492ee725,2f51d3fdcdc3ef3a,atlas_het_coordinate,node_classification,geometry_moe,1,0,1,outputs\runs\atlas_het_coordinate\node_classification\geometry_moe\split_0\seed_1\cfg_2429492ee725,outputs\runs\atlas_het_coordinate\node_classification\geometry_moe\split_0\seed_1\cfg_2429492ee725\job_config.yaml
atlas_het_coordinate__node_classification__geometry_moe__split0__seed2__74e8cc518892,74e8cc518892,2f51d3fdcdc3ef3a,atlas_het_coordinate,node_classification,geometry_moe,2,0,1,outputs\runs\atlas_het_coordinate\node_classification\geometry_moe\split_0\seed_2\cfg_74e8cc518892,outputs\runs\atlas_het_coordinate\node_classification\geometry_moe\split_0\seed_2\cfg_74e8cc518892\job_config.yaml
atlas_het_coordinate__node_classification__graphatlas_no_transport__split0__seed0__1cb72df70908,1cb72df70908,2f51d3fdcdc3ef3a,atlas_het_coordinate,node_classification,graphatlas_no_transport,0,0,1,outputs\runs\atlas_het_coordinate\node_classification\graphatlas_no_transport\split_0\seed_0\cfg_1cb72df70908,outputs\runs\atlas_het_coordinate\node_classification\graphatlas_no_transport\split_0\seed_0\cfg_1cb72df70908\job_config.yaml
