run_id,config_hash,source_hash,dataset,task,model,model_family,seed,split,num_threads,run_dir,job_config
h2gb_pdns__node_classification__mlp_typed__split0__seed0__9c6383234179,9c6383234179,0349a160918737cb,h2gb_pdns,node_classification,mlp_typed,mlp_typed,0,0,1,outputs\.work\runs\h2gb_pdns\mlp_typed\split-0\seed-0\config-9c638323,outputs\.work\runs\h2gb_pdns\mlp_typed\split-0\seed-0\config-9c638323\job_config.yaml
h2gb_pdns__node_classification__mlp_typed__split1__seed1__d5da0364ca59,d5da0364ca59,0349a160918737cb,h2gb_pdns,node_classification,mlp_typed,mlp_typed,1,1,1,outputs\.work\runs\h2gb_pdns\mlp_typed\split-1\seed-1\config-d5da0364,outputs\.work\runs\h2gb_pdns\mlp_typed\split-1\seed-1\config-d5da0364\job_config.yaml
h2gb_pdns__node_classification__mlp_typed__split2__seed2__dc7bd1d16ebd,dc7bd1d16ebd,0349a160918737cb,h2gb_pdns,node_classification,mlp_typed,mlp_typed,2,2,1,outputs\.work\runs\h2gb_pdns\mlp_typed\split-2\seed-2\config-dc7bd1d1,outputs\.work\runs\h2gb_pdns\mlp_typed\split-2\seed-2\config-dc7bd1d1\job_config.yaml
h2gb_pdns__node_classification__mlp_typed__split3__seed3__9fe4abffa353,9fe4abffa353,0349a160918737cb,h2gb_pdns,node_classification,mlp_typed,mlp_typed,3,3,1,outputs\.work\runs\h2gb_pdns\mlp_typed\split-3\seed-3\config-9fe4abff,outputs\.work\runs\h2gb_pdns\mlp_typed\split-3\seed-3\config-9fe4abff\job_config.yaml
h2gb_pdns__node_classification__mlp_typed__split4__seed4__3e117a602b56,3e117a602b56,0349a160918737cb,h2gb_pdns,node_classification,mlp_typed,mlp_typed,4,4,1,outputs\.work\runs\h2gb_pdns\mlp_typed\split-4\seed-4\config-3e117a60,outputs\.work\runs\h2gb_pdns\mlp_typed\split-4\seed-4\config-3e117a60\job_config.yaml
h2gb_pdns__node_classification__gcn_homogeneous_projection__split0__seed0__4da1fd4d45c8,4da1fd4d45c8,0349a160918737cb,h2gb_pdns,node_classification,gcn_homogeneous_projection,gcn_homogeneous_projection,0,0,1,outputs\.work\runs\h2gb_pdns\gcn_homogeneous_projection\split-0\seed-0\config-4da1fd4d,outputs\.work\runs\h2gb_pdns\gcn_homogeneous_projection\split-0\seed-0\config-4da1fd4d\job_config.yaml
h2gb_pdns__node_classification__gcn_homogeneous_projection__split1__seed1__bd22030c67ea,bd22030c67ea,0349a160918737cb,h2gb_pdns,node_classification,gcn_homogeneous_projection,gcn_homogeneous_projection,1,1,1,outputs\.work\runs\h2gb_pdns\gcn_homogeneous_projection\split-1\seed-1\config-bd22030c,outputs\.work\runs\h2gb_pdns\gcn_homogeneous_projection\split-1\seed-1\config-bd22030c\job_config.yaml
h2gb_pdns__node_classification__gcn_homogeneous_projection__split2__seed2__42424a17bd05,42424a17bd05,0349a160918737cb,h2gb_pdns,node_classification,gcn_homogeneous_projection,gcn_homogeneous_projection,2,2,1,outputs\.work\runs\h2gb_pdns\gcn_homogeneous_projection\split-2\seed-2\config-42424a17,outputs\.work\runs\h2gb_pdns\gcn_homogeneous_projection\split-2\seed-2\config-42424a17\job_config.yaml
h2gb_pdns__node_classification__gcn_homogeneous_projection__split3__seed3__ad4dfcebee47,ad4dfcebee47,0349a160918737cb,h2gb_pdns,node_classification,gcn_homogeneous_projection,gcn_homogeneous_projection,3,3,1,outputs\.work\runs\h2gb_pdns\gcn_homogeneous_projection\split-3\seed-3\config-ad4dfceb,outputs\.work\runs\h2gb_pdns\gcn_homogeneous_projection\split-3\seed-3\config-ad4dfceb\job_config.yaml
h2gb_pdns__node_classification__gcn_homogeneous_projection__split4__seed4__8028cb00f173,8028cb00f173,0349a160918737cb,h2gb_pdns,node_classification,gcn_homogeneous_projection,gcn_homogeneous_projection,4,4,1,outputs\.work\runs\h2gb_pdns\gcn_homogeneous_projection\split-4\seed-4\config-8028cb00,outputs\.work\runs\h2gb_pdns\gcn_homogeneous_projection\split-4\seed-4\config-8028cb00\job_config.yaml
h2gb_pdns__node_classification__rgcn__split0__seed0__d955aa94b0ed,d955aa94b0ed,0349a160918737cb,h2gb_pdns,node_classification,rgcn,rgcn,0,0,1,outputs\.work\runs\h2gb_pdns\rgcn\split-0\seed-0\config-d955aa94,outputs\.work\runs\h2gb_pdns\rgcn\split-0\seed-0\config-d955aa94\job_config.yaml
h2gb_pdns__node_classification__rgcn__split1__seed1__f01e0e38f3d7,f01e0e38f3d7,0349a160918737cb,h2gb_pdns,node_classification,rgcn,rgcn,1,1,1,outputs\.work\runs\h2gb_pdns\rgcn\split-1\seed-1\config-f01e0e38,outputs\.work\runs\h2gb_pdns\rgcn\split-1\seed-1\config-f01e0e38\job_config.yaml
h2gb_pdns__node_classification__rgcn__split2__seed2__2739a9a8c101,2739a9a8c101,0349a160918737cb,h2gb_pdns,node_classification,rgcn,rgcn,2,2,1,outputs\.work\runs\h2gb_pdns\rgcn\split-2\seed-2\config-2739a9a8,outputs\.work\runs\h2gb_pdns\rgcn\split-2\seed-2\config-2739a9a8\job_config.yaml
h2gb_pdns__node_classification__rgcn__split3__seed3__4c904e22f252,4c904e22f252,0349a160918737cb,h2gb_pdns,node_classification,rgcn,rgcn,3,3,1,outputs\.work\runs\h2gb_pdns\rgcn\split-3\seed-3\config-4c904e22,outputs\.work\runs\h2gb_pdns\rgcn\split-3\seed-3\config-4c904e22\job_config.yaml
h2gb_pdns__node_classification__rgcn__split4__seed4__0dd2a5108b90,0dd2a5108b90,0349a160918737cb,h2gb_pdns,node_classification,rgcn,rgcn,4,4,1,outputs\.work\runs\h2gb_pdns\rgcn\split-4\seed-4\config-0dd2a510,outputs\.work\runs\h2gb_pdns\rgcn\split-4\seed-4\config-0dd2a510\job_config.yaml
h2gb_pdns__node_classification__hgt__split0__seed0__d2851b79604b,d2851b79604b,0349a160918737cb,h2gb_pdns,node_classification,hgt,hgt,0,0,1,outputs\.work\runs\h2gb_pdns\hgt\split-0\seed-0\config-d2851b79,outputs\.work\runs\h2gb_pdns\hgt\split-0\seed-0\config-d2851b79\job_config.yaml
h2gb_pdns__node_classification__hgt__split1__seed1__521993e25cfb,521993e25cfb,0349a160918737cb,h2gb_pdns,node_classification,hgt,hgt,1,1,1,outputs\.work\runs\h2gb_pdns\hgt\split-1\seed-1\config-521993e2,outputs\.work\runs\h2gb_pdns\hgt\split-1\seed-1\config-521993e2\job_config.yaml
