run_id,config_hash,source_hash,dataset,task,model,model_family,seed,split,num_threads,run_dir,job_config
h2gb_pdns__node_classification__atn__split0__seed0__cd547c9cae62,cd547c9cae62,0349a160918737cb,h2gb_pdns,node_classification,atn,atn,0,0,1,outputs\.work\runs\h2gb_pdns\atn\split-0\seed-0\config-cd547c9c,outputs\.work\runs\h2gb_pdns\atn\split-0\seed-0\config-cd547c9c\job_config.yaml
h2gb_pdns__node_classification__atn__split1__seed1__27da3960612e,27da3960612e,0349a160918737cb,h2gb_pdns,node_classification,atn,atn,1,1,1,outputs\.work\runs\h2gb_pdns\atn\split-1\seed-1\config-27da3960,outputs\.work\runs\h2gb_pdns\atn\split-1\seed-1\config-27da3960\job_config.yaml
h2gb_pdns__node_classification__atn__split2__seed2__509ee851f6f9,509ee851f6f9,0349a160918737cb,h2gb_pdns,node_classification,atn,atn,2,2,1,outputs\.work\runs\h2gb_pdns\atn\split-2\seed-2\config-509ee851,outputs\.work\runs\h2gb_pdns\atn\split-2\seed-2\config-509ee851\job_config.yaml
h2gb_pdns__node_classification__atn_beta_zero__split0__seed0__c09ce2d663c7,c09ce2d663c7,0349a160918737cb,h2gb_pdns,node_classification,atn_beta_zero,atn,0,0,1,outputs\.work\runs\h2gb_pdns\atn_beta_zero\split-0\seed-0\config-c09ce2d6,outputs\.work\runs\h2gb_pdns\atn_beta_zero\split-0\seed-0\config-c09ce2d6\job_config.yaml
h2gb_pdns__node_classification__atn_beta_zero__split1__seed1__dc9e258bcef4,dc9e258bcef4,0349a160918737cb,h2gb_pdns,node_classification,atn_beta_zero,atn,1,1,1,outputs\.work\runs\h2gb_pdns\atn_beta_zero\split-1\seed-1\config-dc9e258b,outputs\.work\runs\h2gb_pdns\atn_beta_zero\split-1\seed-1\config-dc9e258b\job_config.yaml
h2gb_pdns__node_classification__atn_beta_zero__split2__seed2__54e00a93e90c,54e00a93e90c,0349a160918737cb,h2gb_pdns,node_classification,atn_beta_zero,atn,2,2,1,outputs\.work\runs\h2gb_pdns\atn_beta_zero\split-2\seed-2\config-54e00a93,outputs\.work\runs\h2gb_pdns\atn_beta_zero\split-2\seed-2\config-54e00a93\job_config.yaml
h2gb_pdns__node_classification__atn_no_stop_gradient__split0__seed0__07d4932e8b4f,07d4932e8b4f,0349a160918737cb,h2gb_pdns,node_classification,atn_no_stop_gradient,atn,0,0,1,outputs\.work\runs\h2gb_pdns\atn_no_stop_gradient\split-0\seed-0\config-07d4932e,outputs\.work\runs\h2gb_pdns\atn_no_stop_gradient\split-0\seed-0\config-07d4932e\job_config.yaml
h2gb_pdns__node_classification__atn_no_stop_gradient__split1__seed1__67731be8b338,67731be8b338,0349a160918737cb,h2gb_pdns,node_classification,atn_no_stop_gradient,atn,1,1,1,outputs\.work\runs\h2gb_pdns\atn_no_stop_gradient\split-1\seed-1\config-67731be8,outputs\.work\runs\h2gb_pdns\atn_no_stop_gradient\split-1\seed-1\config-67731be8\job_config.yaml
h2gb_pdns__node_classification__atn_no_stop_gradient__split2__seed2__d95ca8789653,d95ca8789653,0349a160918737cb,h2gb_pdns,node_classification,atn_no_stop_gradient,atn,2,2,1,outputs\.work\runs\h2gb_pdns\atn_no_stop_gradient\split-2\seed-2\config-d95ca878,outputs\.work\runs\h2gb_pdns\atn_no_stop_gradient\split-2\seed-2\config-d95ca878\job_config.yaml
h2gb_pdns__node_classification__atn_membership__split0__seed0__c5c129bbae79,c5c129bbae79,0349a160918737cb,h2gb_pdns,node_classification,atn_membership,atn,0,0,1,outputs\.work\runs\h2gb_pdns\atn_membership\split-0\seed-0\config-c5c129bb,outputs\.work\runs\h2gb_pdns\atn_membership\split-0\seed-0\config-c5c129bb\job_config.yaml
h2gb_pdns__node_classification__atn_membership__split1__seed1__12a754a834a3,12a754a834a3,0349a160918737cb,h2gb_pdns,node_classification,atn_membership,atn,1,1,1,outputs\.work\runs\h2gb_pdns\atn_membership\split-1\seed-1\config-12a754a8,outputs\.work\runs\h2gb_pdns\atn_membership\split-1\seed-1\config-12a754a8\job_config.yaml
h2gb_pdns__node_classification__atn_membership__split2__seed2__6106e3d2356a,6106e3d2356a,0349a160918737cb,h2gb_pdns,node_classification,atn_membership,atn,2,2,1,outputs\.work\runs\h2gb_pdns\atn_membership\split-2\seed-2\config-6106e3d2,outputs\.work\runs\h2gb_pdns\atn_membership\split-2\seed-2\config-6106e3d2\job_config.yaml
h2gb_pdns__node_classification__atn_min_distortion__split0__seed0__948ce5723ebc,948ce5723ebc,0349a160918737cb,h2gb_pdns,node_classification,atn_min_distortion,atn,0,0,1,outputs\.work\runs\h2gb_pdns\atn_min_distortion\split-0\seed-0\config-948ce572,outputs\.work\runs\h2gb_pdns\atn_min_distortion\split-0\seed-0\config-948ce572\job_config.yaml
h2gb_pdns__node_classification__atn_min_distortion__split1__seed1__e41a47aaa1c9,e41a47aaa1c9,0349a160918737cb,h2gb_pdns,node_classification,atn_min_distortion,atn,1,1,1,outputs\.work\runs\h2gb_pdns\atn_min_distortion\split-1\seed-1\config-e41a47aa,outputs\.work\runs\h2gb_pdns\atn_min_distortion\split-1\seed-1\config-e41a47aa\job_config.yaml
