run_id,config_hash,source_hash,dataset,task,model,model_family,seed,split,num_threads,run_dir,job_config
h2gb_pdns__node_classification__mlp_typed__split0__seed0__d9f724a70529,d9f724a70529,e7bb87803961c332,h2gb_pdns,node_classification,mlp_typed,mlp_typed,0,0,1,outputs\.work\runs\h2gb_pdns\mlp_typed\split-0\seed-0\config-d9f724a7,outputs\.work\runs\h2gb_pdns\mlp_typed\split-0\seed-0\config-d9f724a7\job_config.yaml
h2gb_pdns__node_classification__mlp_typed__split1__seed1__da9f2b578d6c,da9f2b578d6c,e7bb87803961c332,h2gb_pdns,node_classification,mlp_typed,mlp_typed,1,1,1,outputs\.work\runs\h2gb_pdns\mlp_typed\split-1\seed-1\config-da9f2b57,outputs\.work\runs\h2gb_pdns\mlp_typed\split-1\seed-1\config-da9f2b57\job_config.yaml
h2gb_pdns__node_classification__mlp_typed__split2__seed2__b92f77eae72d,b92f77eae72d,e7bb87803961c332,h2gb_pdns,node_classification,mlp_typed,mlp_typed,2,2,1,outputs\.work\runs\h2gb_pdns\mlp_typed\split-2\seed-2\config-b92f77ea,outputs\.work\runs\h2gb_pdns\mlp_typed\split-2\seed-2\config-b92f77ea\job_config.yaml
h2gb_pdns__node_classification__rgcn__split0__seed0__e44f45325298,e44f45325298,e7bb87803961c332,h2gb_pdns,node_classification,rgcn,rgcn,0,0,1,outputs\.work\runs\h2gb_pdns\rgcn\split-0\seed-0\config-e44f4532,outputs\.work\runs\h2gb_pdns\rgcn\split-0\seed-0\config-e44f4532\job_config.yaml
h2gb_pdns__node_classification__rgcn__split1__seed1__0ecbb74a0b6d,0ecbb74a0b6d,e7bb87803961c332,h2gb_pdns,node_classification,rgcn,rgcn,1,1,1,outputs\.work\runs\h2gb_pdns\rgcn\split-1\seed-1\config-0ecbb74a,outputs\.work\runs\h2gb_pdns\rgcn\split-1\seed-1\config-0ecbb74a\job_config.yaml
h2gb_pdns__node_classification__rgcn__split2__seed2__bf265a98c517,bf265a98c517,e7bb87803961c332,h2gb_pdns,node_classification,rgcn,rgcn,2,2,1,outputs\.work\runs\h2gb_pdns\rgcn\split-2\seed-2\config-bf265a98,outputs\.work\runs\h2gb_pdns\rgcn\split-2\seed-2\config-bf265a98\job_config.yaml
h2gb_pdns__node_classification__hgt__split0__seed0__8a8fd0b6c210,8a8fd0b6c210,e7bb87803961c332,h2gb_pdns,node_classification,hgt,hgt,0,0,1,outputs\.work\runs\h2gb_pdns\hgt\split-0\seed-0\config-8a8fd0b6,outputs\.work\runs\h2gb_pdns\hgt\split-0\seed-0\config-8a8fd0b6\job_config.yaml
h2gb_pdns__node_classification__hgt__split1__seed1__5e0cfa85fec6,5e0cfa85fec6,e7bb87803961c332,h2gb_pdns,node_classification,hgt,hgt,1,1,1,outputs\.work\runs\h2gb_pdns\hgt\split-1\seed-1\config-5e0cfa85,outputs\.work\runs\h2gb_pdns\hgt\split-1\seed-1\config-5e0cfa85\job_config.yaml
h2gb_pdns__node_classification__hgt__split2__seed2__b986806bddd4,b986806bddd4,e7bb87803961c332,h2gb_pdns,node_classification,hgt,hgt,2,2,1,outputs\.work\runs\h2gb_pdns\hgt\split-2\seed-2\config-b986806b,outputs\.work\runs\h2gb_pdns\hgt\split-2\seed-2\config-b986806b\job_config.yaml
h2gb_pdns__node_classification__atn__split0__seed0__3954bb89e500,3954bb89e500,e7bb87803961c332,h2gb_pdns,node_classification,atn,atn,0,0,1,outputs\.work\runs\h2gb_pdns\atn\split-0\seed-0\config-3954bb89,outputs\.work\runs\h2gb_pdns\atn\split-0\seed-0\config-3954bb89\job_config.yaml
