run_id,config_hash,source_hash,dataset,task,model,seed,split,num_threads,run_dir,job_config
atlas_het__node_classification__graphatlas__split0__seed0__305898ffda0e,305898ffda0e,2ee694f74c9ac3da,atlas_het,node_classification,graphatlas,0,0,1,outputs\runs\atlas_het\node_classification\graphatlas\split_0\seed_0\cfg_305898ffda0e,outputs\runs\atlas_het\node_classification\graphatlas\split_0\seed_0\cfg_305898ffda0e\job_config.yaml
atlas_het__node_classification__graphatlas__split0__seed1__18a99a9647c8,18a99a9647c8,2ee694f74c9ac3da,atlas_het,node_classification,graphatlas,1,0,1,outputs\runs\atlas_het\node_classification\graphatlas\split_0\seed_1\cfg_18a99a9647c8,outputs\runs\atlas_het\node_classification\graphatlas\split_0\seed_1\cfg_18a99a9647c8\job_config.yaml
atlas_het__node_classification__graphatlas__split0__seed2__304fce2e6570,304fce2e6570,2ee694f74c9ac3da,atlas_het,node_classification,graphatlas,2,0,1,outputs\runs\atlas_het\node_classification\graphatlas\split_0\seed_2\cfg_304fce2e6570,outputs\runs\atlas_het\node_classification\graphatlas\split_0\seed_2\cfg_304fce2e6570\job_config.yaml
atlas_het__node_classification__graphatlas_min_distortion__split0__seed0__084c72e6fc5c,084c72e6fc5c,2ee694f74c9ac3da,atlas_het,node_classification,graphatlas_min_distortion,0,0,1,outputs\runs\atlas_het\node_classification\graphatlas_min_distortion\split_0\seed_0\cfg_084c72e6fc5c,outputs\runs\atlas_het\node_classification\graphatlas_min_distortion\split_0\seed_0\cfg_084c72e6fc5c\job_config.yaml
atlas_het__node_classification__graphatlas_min_distortion__split0__seed1__c5a336212365,c5a336212365,2ee694f74c9ac3da,atlas_het,node_classification,graphatlas_min_distortion,1,0,1,outputs\runs\atlas_het\node_classification\graphatlas_min_distortion\split_0\seed_1\cfg_c5a336212365,outputs\runs\atlas_het\node_classification\graphatlas_min_distortion\split_0\seed_1\cfg_c5a336212365\job_config.yaml
atlas_het__node_classification__graphatlas_min_distortion__split0__seed2__7a546b61f95d,7a546b61f95d,2ee694f74c9ac3da,atlas_het,node_classification,graphatlas_min_distortion,2,0,1,outputs\runs\atlas_het\node_classification\graphatlas_min_distortion\split_0\seed_2\cfg_7a546b61f95d,outputs\runs\atlas_het\node_classification\graphatlas_min_distortion\split_0\seed_2\cfg_7a546b61f95d\job_config.yaml
atlas_het__node_classification__graphatlas_certified__split0__seed0__b5b4dd88a73e,b5b4dd88a73e,2ee694f74c9ac3da,atlas_het,node_classification,graphatlas_certified,0,0,1,outputs\runs\atlas_het\node_classification\graphatlas_certified\split_0\seed_0\cfg_b5b4dd88a73e,outputs\runs\atlas_het\node_classification\graphatlas_certified\split_0\seed_0\cfg_b5b4dd88a73e\job_config.yaml
atlas_het__node_classification__graphatlas_certified__split0__seed1__23307cb72424,23307cb72424,2ee694f74c9ac3da,atlas_het,node_classification,graphatlas_certified,1,0,1,outputs\runs\atlas_het\node_classification\graphatlas_certified\split_0\seed_1\cfg_23307cb72424,outputs\runs\atlas_het\node_classification\graphatlas_certified\split_0\seed_1\cfg_23307cb72424\job_config.yaml
atlas_het__node_classification__graphatlas_certified__split0__seed2__2894dbfc7d1c,2894dbfc7d1c,2ee694f74c9ac3da,atlas_het,node_classification,graphatlas_certified,2,0,1,outputs\runs\atlas_het\node_classification\graphatlas_certified\split_0\seed_2\cfg_2894dbfc7d1c,outputs\runs\atlas_het\node_classification\graphatlas_certified\split_0\seed_2\cfg_2894dbfc7d1c\job_config.yaml
atlas_het__node_classification__graphatlas_certified__split0__seed0__5077fafa22db,5077fafa22db,2ee694f74c9ac3da,atlas_het,node_classification,graphatlas_certified,0,0,1,outputs\runs\atlas_het\node_classification\graphatlas_certified\split_0\seed_0\cfg_5077fafa22db,outputs\runs\atlas_het\node_classification\graphatlas_certified\split_0\seed_0\cfg_5077fafa22db\job_config.yaml
atlas_het__node_classification__graphatlas_certified__split0__seed1__26d0f3b08089,26d0f3b08089,2ee694f74c9ac3da,atlas_het,node_classification,graphatlas_certified,1,0,1,outputs\runs\atlas_het\node_classification\graphatlas_certified\split_0\seed_1\cfg_26d0f3b08089,outputs\runs\atlas_het\node_classification\graphatlas_certified\split_0\seed_1\cfg_26d0f3b08089\job_config.yaml
atlas_het__node_classification__graphatlas_certified__split0__seed2__648ea0c7d7d0,648ea0c7d7d0,2ee694f74c9ac3da,atlas_het,node_classification,graphatlas_certified,2,0,1,outputs\runs\atlas_het\node_classification\graphatlas_certified\split_0\seed_2\cfg_648ea0c7d7d0,outputs\runs\atlas_het\node_classification\graphatlas_certified\split_0\seed_2\cfg_648ea0c7d7d0\job_config.yaml
