run_id,config_hash,source_hash,dataset,task,model,seed,split,num_threads,run_dir,job_config
cornell__node_classification__graphatlas__split0__seed0__8f93fe685c0f,8f93fe685c0f,e867de9b1c47d8d2,cornell,node_classification,graphatlas,0,0,1,outputs\runs\cornell\node_classification\graphatlas\split_0\seed_0\cfg_8f93fe685c0f,outputs\runs\cornell\node_classification\graphatlas\split_0\seed_0\cfg_8f93fe685c0f\job_config.yaml
cornell__node_classification__graphatlas_min_distortion__split0__seed0__1a08b3a3cf19,1a08b3a3cf19,e867de9b1c47d8d2,cornell,node_classification,graphatlas_min_distortion,0,0,1,outputs\runs\cornell\node_classification\graphatlas_min_distortion\split_0\seed_0\cfg_1a08b3a3cf19,outputs\runs\cornell\node_classification\graphatlas_min_distortion\split_0\seed_0\cfg_1a08b3a3cf19\job_config.yaml
cornell__node_classification__graphatlas_certified__split0__seed0__7b07e4e15f5f,7b07e4e15f5f,e867de9b1c47d8d2,cornell,node_classification,graphatlas_certified,0,0,1,outputs\runs\cornell\node_classification\graphatlas_certified\split_0\seed_0\cfg_7b07e4e15f5f,outputs\runs\cornell\node_classification\graphatlas_certified\split_0\seed_0\cfg_7b07e4e15f5f\job_config.yaml
texas__node_classification__graphatlas__split0__seed0__22be06ea68f0,22be06ea68f0,e867de9b1c47d8d2,texas,node_classification,graphatlas,0,0,1,outputs\runs\texas\node_classification\graphatlas\split_0\seed_0\cfg_22be06ea68f0,outputs\runs\texas\node_classification\graphatlas\split_0\seed_0\cfg_22be06ea68f0\job_config.yaml
texas__node_classification__graphatlas_min_distortion__split0__seed0__5d7a235f0a15,5d7a235f0a15,e867de9b1c47d8d2,texas,node_classification,graphatlas_min_distortion,0,0,1,outputs\runs\texas\node_classification\graphatlas_min_distortion\split_0\seed_0\cfg_5d7a235f0a15,outputs\runs\texas\node_classification\graphatlas_min_distortion\split_0\seed_0\cfg_5d7a235f0a15\job_config.yaml
texas__node_classification__graphatlas_certified__split0__seed0__d9d1e1b53efd,d9d1e1b53efd,e867de9b1c47d8d2,texas,node_classification,graphatlas_certified,0,0,1,outputs\runs\texas\node_classification\graphatlas_certified\split_0\seed_0\cfg_d9d1e1b53efd,outputs\runs\texas\node_classification\graphatlas_certified\split_0\seed_0\cfg_d9d1e1b53efd\job_config.yaml
wisconsin__node_classification__graphatlas__split0__seed0__ae322f067b5e,ae322f067b5e,e867de9b1c47d8d2,wisconsin,node_classification,graphatlas,0,0,1,outputs\runs\wisconsin\node_classification\graphatlas\split_0\seed_0\cfg_ae322f067b5e,outputs\runs\wisconsin\node_classification\graphatlas\split_0\seed_0\cfg_ae322f067b5e\job_config.yaml
wisconsin__node_classification__graphatlas_min_distortion__split0__seed0__e9c7e02e791d,e9c7e02e791d,e867de9b1c47d8d2,wisconsin,node_classification,graphatlas_min_distortion,0,0,1,outputs\runs\wisconsin\node_classification\graphatlas_min_distortion\split_0\seed_0\cfg_e9c7e02e791d,outputs\runs\wisconsin\node_classification\graphatlas_min_distortion\split_0\seed_0\cfg_e9c7e02e791d\job_config.yaml
wisconsin__node_classification__graphatlas_certified__split0__seed0__42ca856933f8,42ca856933f8,e867de9b1c47d8d2,wisconsin,node_classification,graphatlas_certified,0,0,1,outputs\runs\wisconsin\node_classification\graphatlas_certified\split_0\seed_0\cfg_42ca856933f8,outputs\runs\wisconsin\node_classification\graphatlas_certified\split_0\seed_0\cfg_42ca856933f8\job_config.yaml
chameleon_filtered__node_classification__graphatlas__split0__seed0__dd5e72d5b1c8,dd5e72d5b1c8,e867de9b1c47d8d2,chameleon_filtered,node_classification,graphatlas,0,0,1,outputs\runs\chameleon_filtered\node_classification\graphatlas\split_0\seed_0\cfg_dd5e72d5b1c8,outputs\runs\chameleon_filtered\node_classification\graphatlas\split_0\seed_0\cfg_dd5e72d5b1c8\job_config.yaml
chameleon_filtered__node_classification__graphatlas_min_distortion__split0__seed0__39f43371232d,39f43371232d,e867de9b1c47d8d2,chameleon_filtered,node_classification,graphatlas_min_distortion,0,0,1,outputs\runs\chameleon_filtered\node_classification\graphatlas_min_distortion\split_0\seed_0\cfg_39f43371232d,outputs\runs\chameleon_filtered\node_classification\graphatlas_min_distortion\split_0\seed_0\cfg_39f43371232d\job_config.yaml
chameleon_filtered__node_classification__graphatlas_certified__split0__seed0__3532c7652c8b,3532c7652c8b,e867de9b1c47d8d2,chameleon_filtered,node_classification,graphatlas_certified,0,0,1,outputs\runs\chameleon_filtered\node_classification\graphatlas_certified\split_0\seed_0\cfg_3532c7652c8b,outputs\runs\chameleon_filtered\node_classification\graphatlas_certified\split_0\seed_0\cfg_3532c7652c8b\job_config.yaml
