run_id,config_hash,source_hash,dataset,task,model,model_family,seed,split,num_threads,run_dir,job_config
atlas_het__node_classification__graphatlas_c_beta__2__split0__seed0__2e2e18def025,2e2e18def025,975d6eec98ed54f0,atlas_het,node_classification,graphatlas_c_beta_-2,graphatlas_certified,0,0,1,outputs\.work\runs\atlas_het\graphatlas_c_beta__2\split-0\seed-0\config-2e2e18de,outputs\.work\runs\atlas_het\graphatlas_c_beta__2\split-0\seed-0\config-2e2e18de\job_config.yaml
atlas_het__node_classification__graphatlas_c_beta__2__split0__seed1__0476ccc628ad,0476ccc628ad,975d6eec98ed54f0,atlas_het,node_classification,graphatlas_c_beta_-2,graphatlas_certified,1,0,1,outputs\.work\runs\atlas_het\graphatlas_c_beta__2\split-0\seed-1\config-0476ccc6,outputs\.work\runs\atlas_het\graphatlas_c_beta__2\split-0\seed-1\config-0476ccc6\job_config.yaml
atlas_het__node_classification__graphatlas_c_beta__2__split0__seed2__7c4629718fee,7c4629718fee,975d6eec98ed54f0,atlas_het,node_classification,graphatlas_c_beta_-2,graphatlas_certified,2,0,1,outputs\.work\runs\atlas_het\graphatlas_c_beta__2\split-0\seed-2\config-7c462971,outputs\.work\runs\atlas_het\graphatlas_c_beta__2\split-0\seed-2\config-7c462971\job_config.yaml
atlas_het__node_classification__graphatlas_c_beta__2__split0__seed3__f89cacaa6bb3,f89cacaa6bb3,975d6eec98ed54f0,atlas_het,node_classification,graphatlas_c_beta_-2,graphatlas_certified,3,0,1,outputs\.work\runs\atlas_het\graphatlas_c_beta__2\split-0\seed-3\config-f89cacaa,outputs\.work\runs\atlas_het\graphatlas_c_beta__2\split-0\seed-3\config-f89cacaa\job_config.yaml
atlas_het__node_classification__graphatlas_c_beta__2__split0__seed4__bdb2cf395e21,bdb2cf395e21,975d6eec98ed54f0,atlas_het,node_classification,graphatlas_c_beta_-2,graphatlas_certified,4,0,1,outputs\.work\runs\atlas_het\graphatlas_c_beta__2\split-0\seed-4\config-bdb2cf39,outputs\.work\runs\atlas_het\graphatlas_c_beta__2\split-0\seed-4\config-bdb2cf39\job_config.yaml
atlas_het__node_classification__graphatlas_c_beta__1__split0__seed0__c6736c0f093b,c6736c0f093b,975d6eec98ed54f0,atlas_het,node_classification,graphatlas_c_beta_-1,graphatlas_certified,0,0,1,outputs\.work\runs\atlas_het\graphatlas_c_beta__1\split-0\seed-0\config-c6736c0f,outputs\.work\runs\atlas_het\graphatlas_c_beta__1\split-0\seed-0\config-c6736c0f\job_config.yaml
atlas_het__node_classification__graphatlas_c_beta__1__split0__seed1__d9d491eabc8d,d9d491eabc8d,975d6eec98ed54f0,atlas_het,node_classification,graphatlas_c_beta_-1,graphatlas_certified,1,0,1,outputs\.work\runs\atlas_het\graphatlas_c_beta__1\split-0\seed-1\config-d9d491ea,outputs\.work\runs\atlas_het\graphatlas_c_beta__1\split-0\seed-1\config-d9d491ea\job_config.yaml
atlas_het__node_classification__graphatlas_c_beta__1__split0__seed2__6169980cf540,6169980cf540,975d6eec98ed54f0,atlas_het,node_classification,graphatlas_c_beta_-1,graphatlas_certified,2,0,1,outputs\.work\runs\atlas_het\graphatlas_c_beta__1\split-0\seed-2\config-6169980c,outputs\.work\runs\atlas_het\graphatlas_c_beta__1\split-0\seed-2\config-6169980c\job_config.yaml
atlas_het__node_classification__graphatlas_c_beta__1__split0__seed3__da4a49145a27,da4a49145a27,975d6eec98ed54f0,atlas_het,node_classification,graphatlas_c_beta_-1,graphatlas_certified,3,0,1,outputs\.work\runs\atlas_het\graphatlas_c_beta__1\split-0\seed-3\config-da4a4914,outputs\.work\runs\atlas_het\graphatlas_c_beta__1\split-0\seed-3\config-da4a4914\job_config.yaml
atlas_het__node_classification__graphatlas_c_beta__1__split0__seed4__614962acfee8,614962acfee8,975d6eec98ed54f0,atlas_het,node_classification,graphatlas_c_beta_-1,graphatlas_certified,4,0,1,outputs\.work\runs\atlas_het\graphatlas_c_beta__1\split-0\seed-4\config-614962ac,outputs\.work\runs\atlas_het\graphatlas_c_beta__1\split-0\seed-4\config-614962ac\job_config.yaml
atlas_het__node_classification__graphatlas_c_beta_0__split0__seed0__8de2b5713924,8de2b5713924,975d6eec98ed54f0,atlas_het,node_classification,graphatlas_c_beta_0,graphatlas_certified,0,0,1,outputs\.work\runs\atlas_het\graphatlas_c_beta_0\split-0\seed-0\config-8de2b571,outputs\.work\runs\atlas_het\graphatlas_c_beta_0\split-0\seed-0\config-8de2b571\job_config.yaml
atlas_het__node_classification__graphatlas_c_beta_0__split0__seed1__45c8cded896d,45c8cded896d,975d6eec98ed54f0,atlas_het,node_classification,graphatlas_c_beta_0,graphatlas_certified,1,0,1,outputs\.work\runs\atlas_het\graphatlas_c_beta_0\split-0\seed-1\config-45c8cded,outputs\.work\runs\atlas_het\graphatlas_c_beta_0\split-0\seed-1\config-45c8cded\job_config.yaml
atlas_het__node_classification__graphatlas_c_beta_0__split0__seed2__ea158bab0a00,ea158bab0a00,975d6eec98ed54f0,atlas_het,node_classification,graphatlas_c_beta_0,graphatlas_certified,2,0,1,outputs\.work\runs\atlas_het\graphatlas_c_beta_0\split-0\seed-2\config-ea158bab,outputs\.work\runs\atlas_het\graphatlas_c_beta_0\split-0\seed-2\config-ea158bab\job_config.yaml
atlas_het__node_classification__graphatlas_c_beta_0__split0__seed3__7666750a6a04,7666750a6a04,975d6eec98ed54f0,atlas_het,node_classification,graphatlas_c_beta_0,graphatlas_certified,3,0,1,outputs\.work\runs\atlas_het\graphatlas_c_beta_0\split-0\seed-3\config-7666750a,outputs\.work\runs\atlas_het\graphatlas_c_beta_0\split-0\seed-3\config-7666750a\job_config.yaml
atlas_het__node_classification__graphatlas_c_beta_0__split0__seed4__bdfd3f2a1862,bdfd3f2a1862,975d6eec98ed54f0,atlas_het,node_classification,graphatlas_c_beta_0,graphatlas_certified,4,0,1,outputs\.work\runs\atlas_het\graphatlas_c_beta_0\split-0\seed-4\config-bdfd3f2a,outputs\.work\runs\atlas_het\graphatlas_c_beta_0\split-0\seed-4\config-bdfd3f2a\job_config.yaml
