run_id,config_hash,source_hash,dataset,task,model,model_family,seed,split,num_threads,run_dir,job_config
atlas_het__node_classification__graphatlas_c__split0__seed0__c4b3c0ec750a,c4b3c0ec750a,975d6eec98ed54f0,atlas_het,node_classification,graphatlas_c,graphatlas_certified,0,0,1,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-0\config-c4b3c0ec,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-0\config-c4b3c0ec\job_config.yaml
atlas_het__node_classification__graphatlas_c__split0__seed1__394bc13a9e33,394bc13a9e33,975d6eec98ed54f0,atlas_het,node_classification,graphatlas_c,graphatlas_certified,1,0,1,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-1\config-394bc13a,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-1\config-394bc13a\job_config.yaml
atlas_het__node_classification__graphatlas_c__split0__seed2__89b77e2b0fc4,89b77e2b0fc4,975d6eec98ed54f0,atlas_het,node_classification,graphatlas_c,graphatlas_certified,2,0,1,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-2\config-89b77e2b,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-2\config-89b77e2b\job_config.yaml
atlas_het__node_classification__graphatlas_c__split0__seed3__33845d17aa06,33845d17aa06,975d6eec98ed54f0,atlas_het,node_classification,graphatlas_c,graphatlas_certified,3,0,1,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-3\config-33845d17,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-3\config-33845d17\job_config.yaml
atlas_het__node_classification__graphatlas_c__split0__seed4__e3c0720eadd0,e3c0720eadd0,975d6eec98ed54f0,atlas_het,node_classification,graphatlas_c,graphatlas_certified,4,0,1,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-4\config-e3c0720e,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-4\config-e3c0720e\job_config.yaml
atlas_het__node_classification__graphatlas_c_membership__split0__seed0__d201bbca48a0,d201bbca48a0,975d6eec98ed54f0,atlas_het,node_classification,graphatlas_c_membership,graphatlas_certified,0,0,1,outputs\.work\runs\atlas_het\graphatlas_c_membership\split-0\seed-0\config-d201bbca,outputs\.work\runs\atlas_het\graphatlas_c_membership\split-0\seed-0\config-d201bbca\job_config.yaml
atlas_het__node_classification__graphatlas_c_membership__split0__seed1__18ab8a8844c7,18ab8a8844c7,975d6eec98ed54f0,atlas_het,node_classification,graphatlas_c_membership,graphatlas_certified,1,0,1,outputs\.work\runs\atlas_het\graphatlas_c_membership\split-0\seed-1\config-18ab8a88,outputs\.work\runs\atlas_het\graphatlas_c_membership\split-0\seed-1\config-18ab8a88\job_config.yaml
atlas_het__node_classification__graphatlas_c_membership__split0__seed2__3983c8408d4c,3983c8408d4c,975d6eec98ed54f0,atlas_het,node_classification,graphatlas_c_membership,graphatlas_certified,2,0,1,outputs\.work\runs\atlas_het\graphatlas_c_membership\split-0\seed-2\config-3983c840,outputs\.work\runs\atlas_het\graphatlas_c_membership\split-0\seed-2\config-3983c840\job_config.yaml
atlas_het__node_classification__graphatlas_c_membership__split0__seed3__a98803fa6228,a98803fa6228,975d6eec98ed54f0,atlas_het,node_classification,graphatlas_c_membership,graphatlas_certified,3,0,1,outputs\.work\runs\atlas_het\graphatlas_c_membership\split-0\seed-3\config-a98803fa,outputs\.work\runs\atlas_het\graphatlas_c_membership\split-0\seed-3\config-a98803fa\job_config.yaml
atlas_het__node_classification__graphatlas_c_membership__split0__seed4__ee4988dc709c,ee4988dc709c,975d6eec98ed54f0,atlas_het,node_classification,graphatlas_c_membership,graphatlas_certified,4,0,1,outputs\.work\runs\atlas_het\graphatlas_c_membership\split-0\seed-4\config-ee4988dc,outputs\.work\runs\atlas_het\graphatlas_c_membership\split-0\seed-4\config-ee4988dc\job_config.yaml
atlas_het__node_classification__graphatlas_c_q_shuffle_source__split0__seed0__de8bbe8bb930,de8bbe8bb930,975d6eec98ed54f0,atlas_het,node_classification,graphatlas_c_q_shuffle_source,graphatlas_certified,0,0,1,outputs\.work\runs\atlas_het\graphatlas_c_q_shuffle_source\split-0\seed-0\config-de8bbe8b,outputs\.work\runs\atlas_het\graphatlas_c_q_shuffle_source\split-0\seed-0\config-de8bbe8b\job_config.yaml
atlas_het__node_classification__graphatlas_c_q_shuffle_source__split0__seed1__77d32de3ce07,77d32de3ce07,975d6eec98ed54f0,atlas_het,node_classification,graphatlas_c_q_shuffle_source,graphatlas_certified,1,0,1,outputs\.work\runs\atlas_het\graphatlas_c_q_shuffle_source\split-0\seed-1\config-77d32de3,outputs\.work\runs\atlas_het\graphatlas_c_q_shuffle_source\split-0\seed-1\config-77d32de3\job_config.yaml
atlas_het__node_classification__graphatlas_c_q_shuffle_source__split0__seed2__88a5145556e9,88a5145556e9,975d6eec98ed54f0,atlas_het,node_classification,graphatlas_c_q_shuffle_source,graphatlas_certified,2,0,1,outputs\.work\runs\atlas_het\graphatlas_c_q_shuffle_source\split-0\seed-2\config-88a51455,outputs\.work\runs\atlas_het\graphatlas_c_q_shuffle_source\split-0\seed-2\config-88a51455\job_config.yaml
atlas_het__node_classification__graphatlas_c_q_shuffle_source__split0__seed3__315a1adf8c5c,315a1adf8c5c,975d6eec98ed54f0,atlas_het,node_classification,graphatlas_c_q_shuffle_source,graphatlas_certified,3,0,1,outputs\.work\runs\atlas_het\graphatlas_c_q_shuffle_source\split-0\seed-3\config-315a1adf,outputs\.work\runs\atlas_het\graphatlas_c_q_shuffle_source\split-0\seed-3\config-315a1adf\job_config.yaml
atlas_het__node_classification__graphatlas_c_q_shuffle_source__split0__seed4__95af290dc34d,95af290dc34d,975d6eec98ed54f0,atlas_het,node_classification,graphatlas_c_q_shuffle_source,graphatlas_certified,4,0,1,outputs\.work\runs\atlas_het\graphatlas_c_q_shuffle_source\split-0\seed-4\config-95af290d,outputs\.work\runs\atlas_het\graphatlas_c_q_shuffle_source\split-0\seed-4\config-95af290d\job_config.yaml
atlas_het__node_classification__graphatlas_c_q_shuffle_edge__split0__seed0__a977f6d98878,a977f6d98878,975d6eec98ed54f0,atlas_het,node_classification,graphatlas_c_q_shuffle_edge,graphatlas_certified,0,0,1,outputs\.work\runs\atlas_het\graphatlas_c_q_shuffle_edge\split-0\seed-0\config-a977f6d9,outputs\.work\runs\atlas_het\graphatlas_c_q_shuffle_edge\split-0\seed-0\config-a977f6d9\job_config.yaml
atlas_het__node_classification__graphatlas_c_q_shuffle_edge__split0__seed1__cce59e265748,cce59e265748,975d6eec98ed54f0,atlas_het,node_classification,graphatlas_c_q_shuffle_edge,graphatlas_certified,1,0,1,outputs\.work\runs\atlas_het\graphatlas_c_q_shuffle_edge\split-0\seed-1\config-cce59e26,outputs\.work\runs\atlas_het\graphatlas_c_q_shuffle_edge\split-0\seed-1\config-cce59e26\job_config.yaml
atlas_het__node_classification__graphatlas_c_q_shuffle_edge__split0__seed2__07303a7fdb8d,07303a7fdb8d,975d6eec98ed54f0,atlas_het,node_classification,graphatlas_c_q_shuffle_edge,graphatlas_certified,2,0,1,outputs\.work\runs\atlas_het\graphatlas_c_q_shuffle_edge\split-0\seed-2\config-07303a7f,outputs\.work\runs\atlas_het\graphatlas_c_q_shuffle_edge\split-0\seed-2\config-07303a7f\job_config.yaml
