run_id,config_hash,source_hash,dataset,task,model,model_family,seed,split,num_threads,run_dir,job_config
atlas_het__node_classification__graphatlas_c_oracle__split0__seed0__57845a9fd132,57845a9fd132,0e672c999c335af7,atlas_het,node_classification,graphatlas_c_oracle,graphatlas_certified,0,0,1,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-0\config-57845a9f,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-0\config-57845a9f\job_config.yaml
atlas_het__node_classification__graphatlas_c_oracle__split0__seed1__c44a7a78d21f,c44a7a78d21f,0e672c999c335af7,atlas_het,node_classification,graphatlas_c_oracle,graphatlas_certified,1,0,1,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-1\config-c44a7a78,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-1\config-c44a7a78\job_config.yaml
atlas_het__node_classification__graphatlas_c_oracle__split0__seed2__5a97421c41d6,5a97421c41d6,0e672c999c335af7,atlas_het,node_classification,graphatlas_c_oracle,graphatlas_certified,2,0,1,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-2\config-5a97421c,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-2\config-5a97421c\job_config.yaml
atlas_het__node_classification__graphatlas_c_oracle__split0__seed0__a579927559fd,a579927559fd,0e672c999c335af7,atlas_het,node_classification,graphatlas_c_oracle,graphatlas_certified,0,0,1,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-0\config-a5799275,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-0\config-a5799275\job_config.yaml
atlas_het__node_classification__graphatlas_c_oracle__split0__seed1__44572b0d32b3,44572b0d32b3,0e672c999c335af7,atlas_het,node_classification,graphatlas_c_oracle,graphatlas_certified,1,0,1,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-1\config-44572b0d,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-1\config-44572b0d\job_config.yaml
atlas_het__node_classification__graphatlas_c_oracle__split0__seed2__757ba4518aa8,757ba4518aa8,0e672c999c335af7,atlas_het,node_classification,graphatlas_c_oracle,graphatlas_certified,2,0,1,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-2\config-757ba451,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-2\config-757ba451\job_config.yaml
atlas_het__node_classification__graphatlas_c_oracle__split0__seed0__2367d337c9f5,2367d337c9f5,0e672c999c335af7,atlas_het,node_classification,graphatlas_c_oracle,graphatlas_certified,0,0,1,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-0\config-2367d337,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-0\config-2367d337\job_config.yaml
atlas_het__node_classification__graphatlas_c_oracle__split0__seed1__6836be05fab6,6836be05fab6,0e672c999c335af7,atlas_het,node_classification,graphatlas_c_oracle,graphatlas_certified,1,0,1,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-1\config-6836be05,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-1\config-6836be05\job_config.yaml
atlas_het__node_classification__graphatlas_c_oracle__split0__seed2__a41c6e043fa6,a41c6e043fa6,0e672c999c335af7,atlas_het,node_classification,graphatlas_c_oracle,graphatlas_certified,2,0,1,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-2\config-a41c6e04,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-2\config-a41c6e04\job_config.yaml
atlas_het__node_classification__graphatlas_c_oracle__split0__seed0__96bed1e0a8d2,96bed1e0a8d2,0e672c999c335af7,atlas_het,node_classification,graphatlas_c_oracle,graphatlas_certified,0,0,1,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-0\config-96bed1e0,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-0\config-96bed1e0\job_config.yaml
