run_id,config_hash,source_hash,dataset,task,model,model_family,seed,split,num_threads,run_dir,job_config
atlas_het__node_classification__graphatlas_c_oracle__split0__seed0__fc13872b7214,fc13872b7214,0e672c999c335af7,atlas_het,node_classification,graphatlas_c_oracle,graphatlas_certified,0,0,1,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-0\config-fc13872b,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-0\config-fc13872b\job_config.yaml
atlas_het__node_classification__graphatlas_c_oracle__split0__seed1__1abf0cc44cdc,1abf0cc44cdc,0e672c999c335af7,atlas_het,node_classification,graphatlas_c_oracle,graphatlas_certified,1,0,1,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-1\config-1abf0cc4,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-1\config-1abf0cc4\job_config.yaml
atlas_het__node_classification__graphatlas_c_oracle__split0__seed2__ebf4b5d707bc,ebf4b5d707bc,0e672c999c335af7,atlas_het,node_classification,graphatlas_c_oracle,graphatlas_certified,2,0,1,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-2\config-ebf4b5d7,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-2\config-ebf4b5d7\job_config.yaml
atlas_het__node_classification__graphatlas_c_oracle__split0__seed3__9439077fa385,9439077fa385,0e672c999c335af7,atlas_het,node_classification,graphatlas_c_oracle,graphatlas_certified,3,0,1,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-3\config-9439077f,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-3\config-9439077f\job_config.yaml
atlas_het__node_classification__graphatlas_c_oracle__split0__seed4__966f154d6937,966f154d6937,0e672c999c335af7,atlas_het,node_classification,graphatlas_c_oracle,graphatlas_certified,4,0,1,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-4\config-966f154d,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-4\config-966f154d\job_config.yaml
atlas_het__node_classification__graphatlas_c_oracle__split0__seed5__20531d5f3ea9,20531d5f3ea9,0e672c999c335af7,atlas_het,node_classification,graphatlas_c_oracle,graphatlas_certified,5,0,1,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-5\config-20531d5f,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-5\config-20531d5f\job_config.yaml
atlas_het__node_classification__graphatlas_c_oracle__split0__seed6__d91f35a261f9,d91f35a261f9,0e672c999c335af7,atlas_het,node_classification,graphatlas_c_oracle,graphatlas_certified,6,0,1,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-6\config-d91f35a2,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-6\config-d91f35a2\job_config.yaml
atlas_het__node_classification__graphatlas_c_oracle__split0__seed7__95b4927d16ec,95b4927d16ec,0e672c999c335af7,atlas_het,node_classification,graphatlas_c_oracle,graphatlas_certified,7,0,1,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-7\config-95b4927d,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-7\config-95b4927d\job_config.yaml
atlas_het__node_classification__graphatlas_c_oracle__split0__seed8__0412d120c220,0412d120c220,0e672c999c335af7,atlas_het,node_classification,graphatlas_c_oracle,graphatlas_certified,8,0,1,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-8\config-0412d120,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-8\config-0412d120\job_config.yaml
atlas_het__node_classification__graphatlas_c_oracle__split0__seed9__5a50cbd37d8e,5a50cbd37d8e,0e672c999c335af7,atlas_het,node_classification,graphatlas_c_oracle,graphatlas_certified,9,0,1,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-9\config-5a50cbd3,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-9\config-5a50cbd3\job_config.yaml
atlas_het__node_classification__graphatlas_c__split0__seed0__a61546914057,a61546914057,0e672c999c335af7,atlas_het,node_classification,graphatlas_c,graphatlas_certified,0,0,1,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-0\config-a6154691,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-0\config-a6154691\job_config.yaml
atlas_het__node_classification__graphatlas_c__split0__seed1__40aabbd0090a,40aabbd0090a,0e672c999c335af7,atlas_het,node_classification,graphatlas_c,graphatlas_certified,1,0,1,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-1\config-40aabbd0,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-1\config-40aabbd0\job_config.yaml
atlas_het__node_classification__graphatlas_c__split0__seed2__17ae4b194797,17ae4b194797,0e672c999c335af7,atlas_het,node_classification,graphatlas_c,graphatlas_certified,2,0,1,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-2\config-17ae4b19,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-2\config-17ae4b19\job_config.yaml
atlas_het__node_classification__graphatlas_c__split0__seed3__7dc252f3d0d8,7dc252f3d0d8,0e672c999c335af7,atlas_het,node_classification,graphatlas_c,graphatlas_certified,3,0,1,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-3\config-7dc252f3,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-3\config-7dc252f3\job_config.yaml
atlas_het__node_classification__graphatlas_c__split0__seed4__30238e52011c,30238e52011c,0e672c999c335af7,atlas_het,node_classification,graphatlas_c,graphatlas_certified,4,0,1,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-4\config-30238e52,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-4\config-30238e52\job_config.yaml
atlas_het__node_classification__graphatlas_c__split0__seed5__6b910c25c4e8,6b910c25c4e8,0e672c999c335af7,atlas_het,node_classification,graphatlas_c,graphatlas_certified,5,0,1,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-5\config-6b910c25,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-5\config-6b910c25\job_config.yaml
atlas_het__node_classification__graphatlas_c__split0__seed6__a46d66431cd6,a46d66431cd6,0e672c999c335af7,atlas_het,node_classification,graphatlas_c,graphatlas_certified,6,0,1,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-6\config-a46d6643,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-6\config-a46d6643\job_config.yaml
atlas_het__node_classification__graphatlas_c__split0__seed7__4d83c0fed55f,4d83c0fed55f,0e672c999c335af7,atlas_het,node_classification,graphatlas_c,graphatlas_certified,7,0,1,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-7\config-4d83c0fe,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-7\config-4d83c0fe\job_config.yaml
atlas_het__node_classification__graphatlas_c__split0__seed8__8881f97188c2,8881f97188c2,0e672c999c335af7,atlas_het,node_classification,graphatlas_c,graphatlas_certified,8,0,1,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-8\config-8881f971,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-8\config-8881f971\job_config.yaml
atlas_het__node_classification__graphatlas_c__split0__seed9__2ac5388900a3,2ac5388900a3,0e672c999c335af7,atlas_het,node_classification,graphatlas_c,graphatlas_certified,9,0,1,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-9\config-2ac53889,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-9\config-2ac53889\job_config.yaml
atlas_het__node_classification__graphatlas_original__split0__seed0__ae1517b3ab41,ae1517b3ab41,0e672c999c335af7,atlas_het,node_classification,graphatlas_original,graphatlas,0,0,1,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-0\config-ae1517b3,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-0\config-ae1517b3\job_config.yaml
atlas_het__node_classification__graphatlas_original__split0__seed1__432fdcef0f40,432fdcef0f40,0e672c999c335af7,atlas_het,node_classification,graphatlas_original,graphatlas,1,0,1,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-1\config-432fdcef,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-1\config-432fdcef\job_config.yaml
atlas_het__node_classification__graphatlas_original__split0__seed2__f554df79b651,f554df79b651,0e672c999c335af7,atlas_het,node_classification,graphatlas_original,graphatlas,2,0,1,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-2\config-f554df79,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-2\config-f554df79\job_config.yaml
atlas_het__node_classification__graphatlas_original__split0__seed3__e1a2825f3963,e1a2825f3963,0e672c999c335af7,atlas_het,node_classification,graphatlas_original,graphatlas,3,0,1,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-3\config-e1a2825f,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-3\config-e1a2825f\job_config.yaml
atlas_het__node_classification__graphatlas_original__split0__seed4__fa07bc56f4af,fa07bc56f4af,0e672c999c335af7,atlas_het,node_classification,graphatlas_original,graphatlas,4,0,1,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-4\config-fa07bc56,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-4\config-fa07bc56\job_config.yaml
atlas_het__node_classification__graphatlas_original__split0__seed5__2c7eb4702b72,2c7eb4702b72,0e672c999c335af7,atlas_het,node_classification,graphatlas_original,graphatlas,5,0,1,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-5\config-2c7eb470,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-5\config-2c7eb470\job_config.yaml
atlas_het__node_classification__graphatlas_original__split0__seed6__67f7506ddec8,67f7506ddec8,0e672c999c335af7,atlas_het,node_classification,graphatlas_original,graphatlas,6,0,1,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-6\config-67f7506d,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-6\config-67f7506d\job_config.yaml
atlas_het__node_classification__graphatlas_original__split0__seed7__c4d470792af3,c4d470792af3,0e672c999c335af7,atlas_het,node_classification,graphatlas_original,graphatlas,7,0,1,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-7\config-c4d47079,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-7\config-c4d47079\job_config.yaml
atlas_het__node_classification__graphatlas_original__split0__seed8__914be5d81a5f,914be5d81a5f,0e672c999c335af7,atlas_het,node_classification,graphatlas_original,graphatlas,8,0,1,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-8\config-914be5d8,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-8\config-914be5d8\job_config.yaml
atlas_het__node_classification__graphatlas_original__split0__seed9__c85701990e03,c85701990e03,0e672c999c335af7,atlas_het,node_classification,graphatlas_original,graphatlas,9,0,1,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-9\config-c8570199,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-9\config-c8570199\job_config.yaml
atlas_het__node_classification__graphatlas_free_transition__split0__seed0__4d19e9dcf8b1,4d19e9dcf8b1,0e672c999c335af7,atlas_het,node_classification,graphatlas_free_transition,graphatlas_free_transition,0,0,1,outputs\.work\runs\atlas_het\graphatlas_free_transition\split-0\seed-0\config-4d19e9dc,outputs\.work\runs\atlas_het\graphatlas_free_transition\split-0\seed-0\config-4d19e9dc\job_config.yaml
