run_id,config_hash,source_hash,dataset,task,model,model_family,seed,split,num_threads,run_dir,job_config
atlas_het__node_classification__graphatlas_c_oracle__split0__seed0__20a34f2b444a,20a34f2b444a,0e672c999c335af7,atlas_het,node_classification,graphatlas_c_oracle,graphatlas_certified,0,0,1,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-0\config-20a34f2b,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-0\config-20a34f2b\job_config.yaml
atlas_het__node_classification__graphatlas_c_oracle__split0__seed1__6ee3ff8788f5,6ee3ff8788f5,0e672c999c335af7,atlas_het,node_classification,graphatlas_c_oracle,graphatlas_certified,1,0,1,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-1\config-6ee3ff87,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-1\config-6ee3ff87\job_config.yaml
atlas_het__node_classification__graphatlas_c_oracle__split0__seed2__ddd60cd3e047,ddd60cd3e047,0e672c999c335af7,atlas_het,node_classification,graphatlas_c_oracle,graphatlas_certified,2,0,1,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-2\config-ddd60cd3,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-2\config-ddd60cd3\job_config.yaml
atlas_het__node_classification__graphatlas_c__split0__seed0__de1185d74993,de1185d74993,0e672c999c335af7,atlas_het,node_classification,graphatlas_c,graphatlas_certified,0,0,1,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-0\config-de1185d7,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-0\config-de1185d7\job_config.yaml
atlas_het__node_classification__graphatlas_c__split0__seed1__e5806f125140,e5806f125140,0e672c999c335af7,atlas_het,node_classification,graphatlas_c,graphatlas_certified,1,0,1,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-1\config-e5806f12,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-1\config-e5806f12\job_config.yaml
atlas_het__node_classification__graphatlas_c__split0__seed2__fc13ea8c6eeb,fc13ea8c6eeb,0e672c999c335af7,atlas_het,node_classification,graphatlas_c,graphatlas_certified,2,0,1,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-2\config-fc13ea8c,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-2\config-fc13ea8c\job_config.yaml
atlas_het__node_classification__graphatlas_original__split0__seed0__ba739fad13eb,ba739fad13eb,0e672c999c335af7,atlas_het,node_classification,graphatlas_original,graphatlas,0,0,1,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-0\config-ba739fad,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-0\config-ba739fad\job_config.yaml
atlas_het__node_classification__graphatlas_original__split0__seed1__088ae97d78cc,088ae97d78cc,0e672c999c335af7,atlas_het,node_classification,graphatlas_original,graphatlas,1,0,1,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-1\config-088ae97d,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-1\config-088ae97d\job_config.yaml
atlas_het__node_classification__graphatlas_original__split0__seed2__89a843ea3970,89a843ea3970,0e672c999c335af7,atlas_het,node_classification,graphatlas_original,graphatlas,2,0,1,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-2\config-89a843ea,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-2\config-89a843ea\job_config.yaml
atlas_het__node_classification__graphatlas_free_transition__split0__seed0__aacc46f0d3d3,aacc46f0d3d3,0e672c999c335af7,atlas_het,node_classification,graphatlas_free_transition,graphatlas_free_transition,0,0,1,outputs\.work\runs\atlas_het\graphatlas_free_transition\split-0\seed-0\config-aacc46f0,outputs\.work\runs\atlas_het\graphatlas_free_transition\split-0\seed-0\config-aacc46f0\job_config.yaml
