run_id,config_hash,source_hash,dataset,task,model,model_family,seed,split,num_threads,run_dir,job_config
atlas_het__node_classification__graphatlas_original__split0__seed0__8bebb9ef1847,8bebb9ef1847,975d6eec98ed54f0,atlas_het,node_classification,graphatlas_original,graphatlas,0,0,1,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-0\config-8bebb9ef,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-0\config-8bebb9ef\job_config.yaml
atlas_het__node_classification__graphatlas_original__split0__seed1__2b7afdc3fadf,2b7afdc3fadf,975d6eec98ed54f0,atlas_het,node_classification,graphatlas_original,graphatlas,1,0,1,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-1\config-2b7afdc3,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-1\config-2b7afdc3\job_config.yaml
atlas_het__node_classification__graphatlas_original__split0__seed2__3c01f379a5c1,3c01f379a5c1,975d6eec98ed54f0,atlas_het,node_classification,graphatlas_original,graphatlas,2,0,1,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-2\config-3c01f379,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-2\config-3c01f379\job_config.yaml
atlas_het__node_classification__graphatlas_min_distortion__split0__seed0__02dfc3421a92,02dfc3421a92,975d6eec98ed54f0,atlas_het,node_classification,graphatlas_min_distortion,graphatlas_min_distortion,0,0,1,outputs\.work\runs\atlas_het\graphatlas_min_distortion\split-0\seed-0\config-02dfc342,outputs\.work\runs\atlas_het\graphatlas_min_distortion\split-0\seed-0\config-02dfc342\job_config.yaml
atlas_het__node_classification__graphatlas_min_distortion__split0__seed1__d6ae19d84dca,d6ae19d84dca,975d6eec98ed54f0,atlas_het,node_classification,graphatlas_min_distortion,graphatlas_min_distortion,1,0,1,outputs\.work\runs\atlas_het\graphatlas_min_distortion\split-0\seed-1\config-d6ae19d8,outputs\.work\runs\atlas_het\graphatlas_min_distortion\split-0\seed-1\config-d6ae19d8\job_config.yaml
atlas_het__node_classification__graphatlas_min_distortion__split0__seed2__10a3012ee354,10a3012ee354,975d6eec98ed54f0,atlas_het,node_classification,graphatlas_min_distortion,graphatlas_min_distortion,2,0,1,outputs\.work\runs\atlas_het\graphatlas_min_distortion\split-0\seed-2\config-10a3012e,outputs\.work\runs\atlas_het\graphatlas_min_distortion\split-0\seed-2\config-10a3012e\job_config.yaml
atlas_het__node_classification__graphatlas_c__split0__seed0__c4b3c0ec750a,c4b3c0ec750a,975d6eec98ed54f0,atlas_het,node_classification,graphatlas_c,graphatlas_certified,0,0,1,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-0\config-c4b3c0ec,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-0\config-c4b3c0ec\job_config.yaml
atlas_het__node_classification__graphatlas_c__split0__seed1__394bc13a9e33,394bc13a9e33,975d6eec98ed54f0,atlas_het,node_classification,graphatlas_c,graphatlas_certified,1,0,1,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-1\config-394bc13a,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-1\config-394bc13a\job_config.yaml
atlas_het__node_classification__graphatlas_c__split0__seed2__89b77e2b0fc4,89b77e2b0fc4,975d6eec98ed54f0,atlas_het,node_classification,graphatlas_c,graphatlas_certified,2,0,1,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-2\config-89b77e2b,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-2\config-89b77e2b\job_config.yaml
atlas_het__node_classification__graphatlas_c_beta_minus_1__split0__seed0__b951d2aed70a,b951d2aed70a,975d6eec98ed54f0,atlas_het,node_classification,graphatlas_c_beta_minus_1,graphatlas_certified,0,0,1,outputs\.work\runs\atlas_het\graphatlas_c_beta_minus_1\split-0\seed-0\config-b951d2ae,outputs\.work\runs\atlas_het\graphatlas_c_beta_minus_1\split-0\seed-0\config-b951d2ae\job_config.yaml
