run_id,config_hash,source_hash,dataset,task,model,model_family,seed,split,num_threads,run_dir,job_config
actor__node_classification__graphatlas_original__split0__seed0__aa583985686e,aa583985686e,e7bb87803961c332,actor,node_classification,graphatlas_original,graphatlas,0,0,1,outputs\.work\runs\actor\graphatlas_original\split-0\seed-0\config-aa583985,outputs\.work\runs\actor\graphatlas_original\split-0\seed-0\config-aa583985\job_config.yaml
actor__node_classification__graphatlas_original__split1__seed1__fa510cd2c9f8,fa510cd2c9f8,e7bb87803961c332,actor,node_classification,graphatlas_original,graphatlas,1,1,1,outputs\.work\runs\actor\graphatlas_original\split-1\seed-1\config-fa510cd2,outputs\.work\runs\actor\graphatlas_original\split-1\seed-1\config-fa510cd2\job_config.yaml
actor__node_classification__graphatlas_original__split2__seed2__0fd19183322d,0fd19183322d,e7bb87803961c332,actor,node_classification,graphatlas_original,graphatlas,2,2,1,outputs\.work\runs\actor\graphatlas_original\split-2\seed-2\config-0fd19183,outputs\.work\runs\actor\graphatlas_original\split-2\seed-2\config-0fd19183\job_config.yaml
actor__node_classification__graphatlas_min_distortion__split0__seed0__6225aa385e2e,6225aa385e2e,e7bb87803961c332,actor,node_classification,graphatlas_min_distortion,graphatlas_min_distortion,0,0,1,outputs\.work\runs\actor\graphatlas_min_distortion\split-0\seed-0\config-6225aa38,outputs\.work\runs\actor\graphatlas_min_distortion\split-0\seed-0\config-6225aa38\job_config.yaml
actor__node_classification__graphatlas_min_distortion__split1__seed1__a56d738fd6ba,a56d738fd6ba,e7bb87803961c332,actor,node_classification,graphatlas_min_distortion,graphatlas_min_distortion,1,1,1,outputs\.work\runs\actor\graphatlas_min_distortion\split-1\seed-1\config-a56d738f,outputs\.work\runs\actor\graphatlas_min_distortion\split-1\seed-1\config-a56d738f\job_config.yaml
actor__node_classification__graphatlas_min_distortion__split2__seed2__c124f62e7166,c124f62e7166,e7bb87803961c332,actor,node_classification,graphatlas_min_distortion,graphatlas_min_distortion,2,2,1,outputs\.work\runs\actor\graphatlas_min_distortion\split-2\seed-2\config-c124f62e,outputs\.work\runs\actor\graphatlas_min_distortion\split-2\seed-2\config-c124f62e\job_config.yaml
actor__node_classification__graphatlas_c__split0__seed0__bf80500a5699,bf80500a5699,e7bb87803961c332,actor,node_classification,graphatlas_c,graphatlas_certified,0,0,1,outputs\.work\runs\actor\graphatlas_c\split-0\seed-0\config-bf80500a,outputs\.work\runs\actor\graphatlas_c\split-0\seed-0\config-bf80500a\job_config.yaml
actor__node_classification__graphatlas_c__split1__seed1__650d2649b18c,650d2649b18c,e7bb87803961c332,actor,node_classification,graphatlas_c,graphatlas_certified,1,1,1,outputs\.work\runs\actor\graphatlas_c\split-1\seed-1\config-650d2649,outputs\.work\runs\actor\graphatlas_c\split-1\seed-1\config-650d2649\job_config.yaml
actor__node_classification__graphatlas_c__split2__seed2__8e7db1ce58bd,8e7db1ce58bd,e7bb87803961c332,actor,node_classification,graphatlas_c,graphatlas_certified,2,2,1,outputs\.work\runs\actor\graphatlas_c\split-2\seed-2\config-8e7db1ce,outputs\.work\runs\actor\graphatlas_c\split-2\seed-2\config-8e7db1ce\job_config.yaml
actor__node_classification__graphatlas_c_beta_minus_1__split0__seed0__f10c0b31938a,f10c0b31938a,e7bb87803961c332,actor,node_classification,graphatlas_c_beta_minus_1,graphatlas_certified,0,0,1,outputs\.work\runs\actor\graphatlas_c_beta_minus_1\split-0\seed-0\config-f10c0b31,outputs\.work\runs\actor\graphatlas_c_beta_minus_1\split-0\seed-0\config-f10c0b31\job_config.yaml
