run_id,config_hash,source_hash,dataset,task,model,model_family,seed,split,num_threads,run_dir,job_config
atlas_het__node_classification__graphatlas_c_oracle__split0__seed0__0ea66948e8e2,0ea66948e8e2,0e672c999c335af7,atlas_het,node_classification,graphatlas_c_oracle,graphatlas_certified,0,0,1,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-0\config-0ea66948,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-0\config-0ea66948\job_config.yaml
atlas_het__node_classification__graphatlas_c_oracle__split0__seed1__26dbfdb9a9c3,26dbfdb9a9c3,0e672c999c335af7,atlas_het,node_classification,graphatlas_c_oracle,graphatlas_certified,1,0,1,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-1\config-26dbfdb9,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-1\config-26dbfdb9\job_config.yaml
atlas_het__node_classification__graphatlas_c_oracle__split0__seed2__fc915c33f405,fc915c33f405,0e672c999c335af7,atlas_het,node_classification,graphatlas_c_oracle,graphatlas_certified,2,0,1,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-2\config-fc915c33,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-2\config-fc915c33\job_config.yaml
atlas_het__node_classification__graphatlas_original__split0__seed0__8fe3f00b82a7,8fe3f00b82a7,0e672c999c335af7,atlas_het,node_classification,graphatlas_original,graphatlas,0,0,1,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-0\config-8fe3f00b,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-0\config-8fe3f00b\job_config.yaml
atlas_het__node_classification__graphatlas_original__split0__seed1__d6b7ca68f82b,d6b7ca68f82b,0e672c999c335af7,atlas_het,node_classification,graphatlas_original,graphatlas,1,0,1,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-1\config-d6b7ca68,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-1\config-d6b7ca68\job_config.yaml
atlas_het__node_classification__graphatlas_original__split0__seed2__33395506a488,33395506a488,0e672c999c335af7,atlas_het,node_classification,graphatlas_original,graphatlas,2,0,1,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-2\config-33395506,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-2\config-33395506\job_config.yaml
atlas_het__node_classification__graphatlas_c_oracle__split0__seed0__84ef0ba51e70,84ef0ba51e70,0e672c999c335af7,atlas_het,node_classification,graphatlas_c_oracle,graphatlas_certified,0,0,1,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-0\config-84ef0ba5,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-0\config-84ef0ba5\job_config.yaml
atlas_het__node_classification__graphatlas_c_oracle__split0__seed1__c9b7247dc2bd,c9b7247dc2bd,0e672c999c335af7,atlas_het,node_classification,graphatlas_c_oracle,graphatlas_certified,1,0,1,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-1\config-c9b7247d,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-1\config-c9b7247d\job_config.yaml
atlas_het__node_classification__graphatlas_c_oracle__split0__seed2__c68652dada42,c68652dada42,0e672c999c335af7,atlas_het,node_classification,graphatlas_c_oracle,graphatlas_certified,2,0,1,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-2\config-c68652da,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-2\config-c68652da\job_config.yaml
atlas_het__node_classification__graphatlas_original__split0__seed0__98ee05f1df2e,98ee05f1df2e,0e672c999c335af7,atlas_het,node_classification,graphatlas_original,graphatlas,0,0,1,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-0\config-98ee05f1,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-0\config-98ee05f1\job_config.yaml
atlas_het__node_classification__graphatlas_original__split0__seed1__ae727f9bee96,ae727f9bee96,0e672c999c335af7,atlas_het,node_classification,graphatlas_original,graphatlas,1,0,1,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-1\config-ae727f9b,outputs\.work\runs\atlas_het\graphatlas_original\split-0\seed-1\config-ae727f9b\job_config.yaml
