run_id,config_hash,source_hash,dataset,task,model,model_family,seed,split,run_dir
atlas_het__link_prediction__graphatlas_no_transport__split0__seed0__63f67a989afb,63f67a989afb,951b15df3076d947,atlas_het,link_prediction,graphatlas_no_transport,graphatlas_no_transport,0,0,outputs/runs/atlas_het/link_prediction/graphatlas_no_transport/split_0/seed_0/cfg_63f67a989afb
atlas_het__link_prediction__graphatlas_no_transport__split0__seed1__6a145853f4ac,6a145853f4ac,951b15df3076d947,atlas_het,link_prediction,graphatlas_no_transport,graphatlas_no_transport,1,0,outputs/runs/atlas_het/link_prediction/graphatlas_no_transport/split_0/seed_1/cfg_6a145853f4ac
atlas_het__link_prediction__graphatlas_no_transport__split0__seed2__ecddac6636ce,ecddac6636ce,951b15df3076d947,atlas_het,link_prediction,graphatlas_no_transport,graphatlas_no_transport,2,0,outputs/runs/atlas_het/link_prediction/graphatlas_no_transport/split_0/seed_2/cfg_ecddac6636ce
atlas_het__link_prediction__graphatlas_no_transport__split0__seed3__f68919ea9bd3,f68919ea9bd3,951b15df3076d947,atlas_het,link_prediction,graphatlas_no_transport,graphatlas_no_transport,3,0,outputs/runs/atlas_het/link_prediction/graphatlas_no_transport/split_0/seed_3/cfg_f68919ea9bd3
atlas_het__link_prediction__graphatlas_no_transport__split0__seed4__8560d0600008,8560d0600008,951b15df3076d947,atlas_het,link_prediction,graphatlas_no_transport,graphatlas_no_transport,4,0,outputs/runs/atlas_het/link_prediction/graphatlas_no_transport/split_0/seed_4/cfg_8560d0600008
atlas_het__link_prediction__graphatlas_no_transport__split0__seed5__827e0203bbfc,827e0203bbfc,951b15df3076d947,atlas_het,link_prediction,graphatlas_no_transport,graphatlas_no_transport,5,0,outputs/runs/atlas_het/link_prediction/graphatlas_no_transport/split_0/seed_5/cfg_827e0203bbfc
atlas_het__link_prediction__graphatlas_no_transport__split0__seed6__53b6f05d5725,53b6f05d5725,951b15df3076d947,atlas_het,link_prediction,graphatlas_no_transport,graphatlas_no_transport,6,0,outputs/runs/atlas_het/link_prediction/graphatlas_no_transport/split_0/seed_6/cfg_53b6f05d5725
atlas_het__link_prediction__graphatlas_no_transport__split0__seed7__ab90600f2707,ab90600f2707,951b15df3076d947,atlas_het,link_prediction,graphatlas_no_transport,graphatlas_no_transport,7,0,outputs/runs/atlas_het/link_prediction/graphatlas_no_transport/split_0/seed_7/cfg_ab90600f2707
atlas_het__link_prediction__graphatlas_no_transport__split0__seed8__ca7a5827d976,ca7a5827d976,951b15df3076d947,atlas_het,link_prediction,graphatlas_no_transport,graphatlas_no_transport,8,0,outputs/runs/atlas_het/link_prediction/graphatlas_no_transport/split_0/seed_8/cfg_ca7a5827d976
atlas_het__link_prediction__graphatlas_no_transport__split0__seed9__8c626cdee54d,8c626cdee54d,951b15df3076d947,atlas_het,link_prediction,graphatlas_no_transport,graphatlas_no_transport,9,0,outputs/runs/atlas_het/link_prediction/graphatlas_no_transport/split_0/seed_9/cfg_8c626cdee54d
atlas_het__link_prediction__graphatlas_free_transition__split0__seed0__0afe1ab47f57,0afe1ab47f57,951b15df3076d947,atlas_het,link_prediction,graphatlas_free_transition,graphatlas_free_transition,0,0,outputs/runs/atlas_het/link_prediction/graphatlas_free_transition/split_0/seed_0/cfg_0afe1ab47f57
atlas_het__link_prediction__graphatlas_free_transition__split0__seed1__87e3515a4bb8,87e3515a4bb8,951b15df3076d947,atlas_het,link_prediction,graphatlas_free_transition,graphatlas_free_transition,1,0,outputs/runs/atlas_het/link_prediction/graphatlas_free_transition/split_0/seed_1/cfg_87e3515a4bb8
atlas_het__link_prediction__graphatlas_free_transition__split0__seed2__15f218e3ed18,15f218e3ed18,951b15df3076d947,atlas_het,link_prediction,graphatlas_free_transition,graphatlas_free_transition,2,0,outputs/runs/atlas_het/link_prediction/graphatlas_free_transition/split_0/seed_2/cfg_15f218e3ed18
atlas_het__link_prediction__graphatlas_free_transition__split0__seed3__2b96def98489,2b96def98489,951b15df3076d947,atlas_het,link_prediction,graphatlas_free_transition,graphatlas_free_transition,3,0,outputs/runs/atlas_het/link_prediction/graphatlas_free_transition/split_0/seed_3/cfg_2b96def98489
atlas_het__link_prediction__graphatlas_free_transition__split0__seed4__7d771bf3fa70,7d771bf3fa70,951b15df3076d947,atlas_het,link_prediction,graphatlas_free_transition,graphatlas_free_transition,4,0,outputs/runs/atlas_het/link_prediction/graphatlas_free_transition/split_0/seed_4/cfg_7d771bf3fa70
atlas_het__link_prediction__graphatlas_free_transition__split0__seed5__49c49a40eca2,49c49a40eca2,951b15df3076d947,atlas_het,link_prediction,graphatlas_free_transition,graphatlas_free_transition,5,0,outputs/runs/atlas_het/link_prediction/graphatlas_free_transition/split_0/seed_5/cfg_49c49a40eca2
atlas_het__link_prediction__graphatlas_free_transition__split0__seed6__7aee102cff75,7aee102cff75,951b15df3076d947,atlas_het,link_prediction,graphatlas_free_transition,graphatlas_free_transition,6,0,outputs/runs/atlas_het/link_prediction/graphatlas_free_transition/split_0/seed_6/cfg_7aee102cff75
atlas_het__link_prediction__graphatlas_free_transition__split0__seed7__d7fd781a84d4,d7fd781a84d4,951b15df3076d947,atlas_het,link_prediction,graphatlas_free_transition,graphatlas_free_transition,7,0,outputs/runs/atlas_het/link_prediction/graphatlas_free_transition/split_0/seed_7/cfg_d7fd781a84d4
atlas_het__link_prediction__graphatlas_free_transition__split0__seed8__74fab26683e3,74fab26683e3,951b15df3076d947,atlas_het,link_prediction,graphatlas_free_transition,graphatlas_free_transition,8,0,outputs/runs/atlas_het/link_prediction/graphatlas_free_transition/split_0/seed_8/cfg_74fab26683e3
atlas_het__link_prediction__graphatlas_free_transition__split0__seed9__cd97d14834e3,cd97d14834e3,951b15df3076d947,atlas_het,link_prediction,graphatlas_free_transition,graphatlas_free_transition,9,0,outputs/runs/atlas_het/link_prediction/graphatlas_free_transition/split_0/seed_9/cfg_cd97d14834e3
atlas_het__link_prediction__graphatlas__split0__seed0__092cf2156675,092cf2156675,951b15df3076d947,atlas_het,link_prediction,graphatlas,graphatlas,0,0,outputs/runs/atlas_het/link_prediction/graphatlas/split_0/seed_0/cfg_092cf2156675
atlas_het__link_prediction__graphatlas__split0__seed1__c6e250102162,c6e250102162,951b15df3076d947,atlas_het,link_prediction,graphatlas,graphatlas,1,0,outputs/runs/atlas_het/link_prediction/graphatlas/split_0/seed_1/cfg_c6e250102162
atlas_het__link_prediction__graphatlas__split0__seed2__169bfe0679b9,169bfe0679b9,951b15df3076d947,atlas_het,link_prediction,graphatlas,graphatlas,2,0,outputs/runs/atlas_het/link_prediction/graphatlas/split_0/seed_2/cfg_169bfe0679b9
atlas_het__link_prediction__graphatlas__split0__seed3__ab807096fedf,ab807096fedf,951b15df3076d947,atlas_het,link_prediction,graphatlas,graphatlas,3,0,outputs/runs/atlas_het/link_prediction/graphatlas/split_0/seed_3/cfg_ab807096fedf
atlas_het__link_prediction__graphatlas__split0__seed4__de1cdc74e51d,de1cdc74e51d,951b15df3076d947,atlas_het,link_prediction,graphatlas,graphatlas,4,0,outputs/runs/atlas_het/link_prediction/graphatlas/split_0/seed_4/cfg_de1cdc74e51d
atlas_het__link_prediction__graphatlas__split0__seed5__5e5764b351cd,5e5764b351cd,951b15df3076d947,atlas_het,link_prediction,graphatlas,graphatlas,5,0,outputs/runs/atlas_het/link_prediction/graphatlas/split_0/seed_5/cfg_5e5764b351cd
atlas_het__link_prediction__graphatlas__split0__seed6__f92119756ad6,f92119756ad6,951b15df3076d947,atlas_het,link_prediction,graphatlas,graphatlas,6,0,outputs/runs/atlas_het/link_prediction/graphatlas/split_0/seed_6/cfg_f92119756ad6
atlas_het__link_prediction__graphatlas__split0__seed7__9813d843ec52,9813d843ec52,951b15df3076d947,atlas_het,link_prediction,graphatlas,graphatlas,7,0,outputs/runs/atlas_het/link_prediction/graphatlas/split_0/seed_7/cfg_9813d843ec52
atlas_het__link_prediction__graphatlas__split0__seed8__faacece2da13,faacece2da13,951b15df3076d947,atlas_het,link_prediction,graphatlas,graphatlas,8,0,outputs/runs/atlas_het/link_prediction/graphatlas/split_0/seed_8/cfg_faacece2da13
atlas_het__link_prediction__graphatlas__split0__seed9__c4ced1c8a27c,c4ced1c8a27c,951b15df3076d947,atlas_het,link_prediction,graphatlas,graphatlas,9,0,outputs/runs/atlas_het/link_prediction/graphatlas/split_0/seed_9/cfg_c4ced1c8a27c
roman_empire__link_prediction__graphatlas_no_transport__split0__seed0__b75ed2436dfe,b75ed2436dfe,951b15df3076d947,roman_empire,link_prediction,graphatlas_no_transport,graphatlas_no_transport,0,0,outputs/runs/roman_empire/link_prediction/graphatlas_no_transport/split_0/seed_0/cfg_b75ed2436dfe
