run_id,config_hash,source_hash,dataset,task,model,model_family,seed,split,run_dir
atlas_het__node_classification__graphatlas_no_transport__split0__seed0__837422eb738a,837422eb738a,951b15df3076d947,atlas_het,node_classification,graphatlas_no_transport,graphatlas_no_transport,0,0,outputs/runs/atlas_het/node_classification/graphatlas_no_transport/split_0/seed_0/cfg_837422eb738a
atlas_het__node_classification__graphatlas_no_transport__split0__seed1__6feb8b06b5f7,6feb8b06b5f7,951b15df3076d947,atlas_het,node_classification,graphatlas_no_transport,graphatlas_no_transport,1,0,outputs/runs/atlas_het/node_classification/graphatlas_no_transport/split_0/seed_1/cfg_6feb8b06b5f7
atlas_het__node_classification__graphatlas_no_transport__split0__seed2__385d961273c2,385d961273c2,951b15df3076d947,atlas_het,node_classification,graphatlas_no_transport,graphatlas_no_transport,2,0,outputs/runs/atlas_het/node_classification/graphatlas_no_transport/split_0/seed_2/cfg_385d961273c2
atlas_het__node_classification__graphatlas_no_transport__split0__seed3__fd9eec3a8895,fd9eec3a8895,951b15df3076d947,atlas_het,node_classification,graphatlas_no_transport,graphatlas_no_transport,3,0,outputs/runs/atlas_het/node_classification/graphatlas_no_transport/split_0/seed_3/cfg_fd9eec3a8895
atlas_het__node_classification__graphatlas_no_transport__split0__seed4__f65257a73a1f,f65257a73a1f,951b15df3076d947,atlas_het,node_classification,graphatlas_no_transport,graphatlas_no_transport,4,0,outputs/runs/atlas_het/node_classification/graphatlas_no_transport/split_0/seed_4/cfg_f65257a73a1f
atlas_het__node_classification__graphatlas_no_transport__split0__seed5__9642f9350450,9642f9350450,951b15df3076d947,atlas_het,node_classification,graphatlas_no_transport,graphatlas_no_transport,5,0,outputs/runs/atlas_het/node_classification/graphatlas_no_transport/split_0/seed_5/cfg_9642f9350450
atlas_het__node_classification__graphatlas_no_transport__split0__seed6__0e1461168d56,0e1461168d56,951b15df3076d947,atlas_het,node_classification,graphatlas_no_transport,graphatlas_no_transport,6,0,outputs/runs/atlas_het/node_classification/graphatlas_no_transport/split_0/seed_6/cfg_0e1461168d56
atlas_het__node_classification__graphatlas_no_transport__split0__seed7__9b2fb34e6fec,9b2fb34e6fec,951b15df3076d947,atlas_het,node_classification,graphatlas_no_transport,graphatlas_no_transport,7,0,outputs/runs/atlas_het/node_classification/graphatlas_no_transport/split_0/seed_7/cfg_9b2fb34e6fec
atlas_het__node_classification__graphatlas_no_transport__split0__seed8__c998905e6f4b,c998905e6f4b,951b15df3076d947,atlas_het,node_classification,graphatlas_no_transport,graphatlas_no_transport,8,0,outputs/runs/atlas_het/node_classification/graphatlas_no_transport/split_0/seed_8/cfg_c998905e6f4b
atlas_het__node_classification__graphatlas_no_transport__split0__seed9__afd912f48f0a,afd912f48f0a,951b15df3076d947,atlas_het,node_classification,graphatlas_no_transport,graphatlas_no_transport,9,0,outputs/runs/atlas_het/node_classification/graphatlas_no_transport/split_0/seed_9/cfg_afd912f48f0a
atlas_het__node_classification__graphatlas_free_transition__split0__seed0__4e08eb3131eb,4e08eb3131eb,951b15df3076d947,atlas_het,node_classification,graphatlas_free_transition,graphatlas_free_transition,0,0,outputs/runs/atlas_het/node_classification/graphatlas_free_transition/split_0/seed_0/cfg_4e08eb3131eb
atlas_het__node_classification__graphatlas_free_transition__split0__seed1__c4f5aecbd316,c4f5aecbd316,951b15df3076d947,atlas_het,node_classification,graphatlas_free_transition,graphatlas_free_transition,1,0,outputs/runs/atlas_het/node_classification/graphatlas_free_transition/split_0/seed_1/cfg_c4f5aecbd316
atlas_het__node_classification__graphatlas_free_transition__split0__seed2__1981cbbb6f7e,1981cbbb6f7e,951b15df3076d947,atlas_het,node_classification,graphatlas_free_transition,graphatlas_free_transition,2,0,outputs/runs/atlas_het/node_classification/graphatlas_free_transition/split_0/seed_2/cfg_1981cbbb6f7e
atlas_het__node_classification__graphatlas_free_transition__split0__seed3__be1b702e81fa,be1b702e81fa,951b15df3076d947,atlas_het,node_classification,graphatlas_free_transition,graphatlas_free_transition,3,0,outputs/runs/atlas_het/node_classification/graphatlas_free_transition/split_0/seed_3/cfg_be1b702e81fa
atlas_het__node_classification__graphatlas_free_transition__split0__seed4__21042951f768,21042951f768,951b15df3076d947,atlas_het,node_classification,graphatlas_free_transition,graphatlas_free_transition,4,0,outputs/runs/atlas_het/node_classification/graphatlas_free_transition/split_0/seed_4/cfg_21042951f768
atlas_het__node_classification__graphatlas_free_transition__split0__seed5__6ee070047b42,6ee070047b42,951b15df3076d947,atlas_het,node_classification,graphatlas_free_transition,graphatlas_free_transition,5,0,outputs/runs/atlas_het/node_classification/graphatlas_free_transition/split_0/seed_5/cfg_6ee070047b42
atlas_het__node_classification__graphatlas_free_transition__split0__seed6__897b91dc112d,897b91dc112d,951b15df3076d947,atlas_het,node_classification,graphatlas_free_transition,graphatlas_free_transition,6,0,outputs/runs/atlas_het/node_classification/graphatlas_free_transition/split_0/seed_6/cfg_897b91dc112d
atlas_het__node_classification__graphatlas_free_transition__split0__seed7__1bd4cbde9515,1bd4cbde9515,951b15df3076d947,atlas_het,node_classification,graphatlas_free_transition,graphatlas_free_transition,7,0,outputs/runs/atlas_het/node_classification/graphatlas_free_transition/split_0/seed_7/cfg_1bd4cbde9515
atlas_het__node_classification__graphatlas_free_transition__split0__seed8__436ca0cff095,436ca0cff095,951b15df3076d947,atlas_het,node_classification,graphatlas_free_transition,graphatlas_free_transition,8,0,outputs/runs/atlas_het/node_classification/graphatlas_free_transition/split_0/seed_8/cfg_436ca0cff095
atlas_het__node_classification__graphatlas_free_transition__split0__seed9__f17342ebe5ec,f17342ebe5ec,951b15df3076d947,atlas_het,node_classification,graphatlas_free_transition,graphatlas_free_transition,9,0,outputs/runs/atlas_het/node_classification/graphatlas_free_transition/split_0/seed_9/cfg_f17342ebe5ec
atlas_het__node_classification__graphatlas_no_metric__split0__seed0__26a7ee81ffe9,26a7ee81ffe9,951b15df3076d947,atlas_het,node_classification,graphatlas_no_metric,graphatlas_no_metric,0,0,outputs/runs/atlas_het/node_classification/graphatlas_no_metric/split_0/seed_0/cfg_26a7ee81ffe9
atlas_het__node_classification__graphatlas_no_metric__split0__seed1__52d7340eba13,52d7340eba13,951b15df3076d947,atlas_het,node_classification,graphatlas_no_metric,graphatlas_no_metric,1,0,outputs/runs/atlas_het/node_classification/graphatlas_no_metric/split_0/seed_1/cfg_52d7340eba13
atlas_het__node_classification__graphatlas_no_metric__split0__seed2__406bee1b6c49,406bee1b6c49,951b15df3076d947,atlas_het,node_classification,graphatlas_no_metric,graphatlas_no_metric,2,0,outputs/runs/atlas_het/node_classification/graphatlas_no_metric/split_0/seed_2/cfg_406bee1b6c49
atlas_het__node_classification__graphatlas_no_metric__split0__seed3__34f8e17a0420,34f8e17a0420,951b15df3076d947,atlas_het,node_classification,graphatlas_no_metric,graphatlas_no_metric,3,0,outputs/runs/atlas_het/node_classification/graphatlas_no_metric/split_0/seed_3/cfg_34f8e17a0420
atlas_het__node_classification__graphatlas_no_metric__split0__seed4__2661e8b75e27,2661e8b75e27,951b15df3076d947,atlas_het,node_classification,graphatlas_no_metric,graphatlas_no_metric,4,0,outputs/runs/atlas_het/node_classification/graphatlas_no_metric/split_0/seed_4/cfg_2661e8b75e27
atlas_het__node_classification__graphatlas_no_metric__split0__seed5__c2686c4f6028,c2686c4f6028,951b15df3076d947,atlas_het,node_classification,graphatlas_no_metric,graphatlas_no_metric,5,0,outputs/runs/atlas_het/node_classification/graphatlas_no_metric/split_0/seed_5/cfg_c2686c4f6028
atlas_het__node_classification__graphatlas_no_metric__split0__seed6__df84f6e6305f,df84f6e6305f,951b15df3076d947,atlas_het,node_classification,graphatlas_no_metric,graphatlas_no_metric,6,0,outputs/runs/atlas_het/node_classification/graphatlas_no_metric/split_0/seed_6/cfg_df84f6e6305f
atlas_het__node_classification__graphatlas_no_metric__split0__seed7__acad911e6c37,acad911e6c37,951b15df3076d947,atlas_het,node_classification,graphatlas_no_metric,graphatlas_no_metric,7,0,outputs/runs/atlas_het/node_classification/graphatlas_no_metric/split_0/seed_7/cfg_acad911e6c37
atlas_het__node_classification__graphatlas_no_metric__split0__seed8__f080775ea530,f080775ea530,951b15df3076d947,atlas_het,node_classification,graphatlas_no_metric,graphatlas_no_metric,8,0,outputs/runs/atlas_het/node_classification/graphatlas_no_metric/split_0/seed_8/cfg_f080775ea530
atlas_het__node_classification__graphatlas_no_metric__split0__seed9__44452036460b,44452036460b,951b15df3076d947,atlas_het,node_classification,graphatlas_no_metric,graphatlas_no_metric,9,0,outputs/runs/atlas_het/node_classification/graphatlas_no_metric/split_0/seed_9/cfg_44452036460b
atlas_het__node_classification__graphatlas_no_cocycle__split0__seed0__477170168fa7,477170168fa7,951b15df3076d947,atlas_het,node_classification,graphatlas_no_cocycle,graphatlas_no_cocycle,0,0,outputs/runs/atlas_het/node_classification/graphatlas_no_cocycle/split_0/seed_0/cfg_477170168fa7
atlas_het__node_classification__graphatlas_no_cocycle__split0__seed1__2434005869dd,2434005869dd,951b15df3076d947,atlas_het,node_classification,graphatlas_no_cocycle,graphatlas_no_cocycle,1,0,outputs/runs/atlas_het/node_classification/graphatlas_no_cocycle/split_0/seed_1/cfg_2434005869dd
atlas_het__node_classification__graphatlas_no_cocycle__split0__seed2__0884e329a8a6,0884e329a8a6,951b15df3076d947,atlas_het,node_classification,graphatlas_no_cocycle,graphatlas_no_cocycle,2,0,outputs/runs/atlas_het/node_classification/graphatlas_no_cocycle/split_0/seed_2/cfg_0884e329a8a6
atlas_het__node_classification__graphatlas_no_cocycle__split0__seed3__3bc827346704,3bc827346704,951b15df3076d947,atlas_het,node_classification,graphatlas_no_cocycle,graphatlas_no_cocycle,3,0,outputs/runs/atlas_het/node_classification/graphatlas_no_cocycle/split_0/seed_3/cfg_3bc827346704
atlas_het__node_classification__graphatlas_no_cocycle__split0__seed4__644881d47e9b,644881d47e9b,951b15df3076d947,atlas_het,node_classification,graphatlas_no_cocycle,graphatlas_no_cocycle,4,0,outputs/runs/atlas_het/node_classification/graphatlas_no_cocycle/split_0/seed_4/cfg_644881d47e9b
atlas_het__node_classification__graphatlas_no_cocycle__split0__seed5__b7900d8117be,b7900d8117be,951b15df3076d947,atlas_het,node_classification,graphatlas_no_cocycle,graphatlas_no_cocycle,5,0,outputs/runs/atlas_het/node_classification/graphatlas_no_cocycle/split_0/seed_5/cfg_b7900d8117be
atlas_het__node_classification__graphatlas_no_cocycle__split0__seed6__66474c0b58ae,66474c0b58ae,951b15df3076d947,atlas_het,node_classification,graphatlas_no_cocycle,graphatlas_no_cocycle,6,0,outputs/runs/atlas_het/node_classification/graphatlas_no_cocycle/split_0/seed_6/cfg_66474c0b58ae
