run_id,config_hash,source_hash,dataset,task,model,model_family,seed,split,run_dir
roman_empire__node_classification__graphatlas__split0__seed0__565c6363da82,565c6363da82,2f51d3fdcdc3ef3a,roman_empire,node_classification,graphatlas,graphatlas,0,0,outputs\runs\roman_empire\node_classification\graphatlas\split_0\seed_0\cfg_565c6363da82
roman_empire__node_classification__graphatlas__split1__seed1__8e6daf4ea479,8e6daf4ea479,2f51d3fdcdc3ef3a,roman_empire,node_classification,graphatlas,graphatlas,1,1,outputs\runs\roman_empire\node_classification\graphatlas\split_1\seed_1\cfg_8e6daf4ea479
roman_empire__node_classification__graphatlas__split2__seed2__6e3adc31bb39,6e3adc31bb39,2f51d3fdcdc3ef3a,roman_empire,node_classification,graphatlas,graphatlas,2,2,outputs\runs\roman_empire\node_classification\graphatlas\split_2\seed_2\cfg_6e3adc31bb39
amazon_ratings__node_classification__graphatlas__split0__seed0__a61ea939c955,a61ea939c955,2f51d3fdcdc3ef3a,amazon_ratings,node_classification,graphatlas,graphatlas,0,0,outputs\runs\amazon_ratings\node_classification\graphatlas\split_0\seed_0\cfg_a61ea939c955
amazon_ratings__node_classification__graphatlas__split1__seed1__995b8a82b2b0,995b8a82b2b0,2f51d3fdcdc3ef3a,amazon_ratings,node_classification,graphatlas,graphatlas,1,1,outputs\runs\amazon_ratings\node_classification\graphatlas\split_1\seed_1\cfg_995b8a82b2b0
amazon_ratings__node_classification__graphatlas__split2__seed2__bb8bd0749bd2,bb8bd0749bd2,2f51d3fdcdc3ef3a,amazon_ratings,node_classification,graphatlas,graphatlas,2,2,outputs\runs\amazon_ratings\node_classification\graphatlas\split_2\seed_2\cfg_bb8bd0749bd2
minesweeper__node_classification__graphatlas__split0__seed0__0e853b0a3043,0e853b0a3043,2f51d3fdcdc3ef3a,minesweeper,node_classification,graphatlas,graphatlas,0,0,outputs\runs\minesweeper\node_classification\graphatlas\split_0\seed_0\cfg_0e853b0a3043
minesweeper__node_classification__graphatlas__split1__seed1__0d9236606717,0d9236606717,2f51d3fdcdc3ef3a,minesweeper,node_classification,graphatlas,graphatlas,1,1,outputs\runs\minesweeper\node_classification\graphatlas\split_1\seed_1\cfg_0d9236606717
minesweeper__node_classification__graphatlas__split2__seed2__1982269284ba,1982269284ba,2f51d3fdcdc3ef3a,minesweeper,node_classification,graphatlas,graphatlas,2,2,outputs\runs\minesweeper\node_classification\graphatlas\split_2\seed_2\cfg_1982269284ba
tolokers__node_classification__graphatlas__split0__seed0__c10586fcbaac,c10586fcbaac,2f51d3fdcdc3ef3a,tolokers,node_classification,graphatlas,graphatlas,0,0,outputs\runs\tolokers\node_classification\graphatlas\split_0\seed_0\cfg_c10586fcbaac
tolokers__node_classification__graphatlas__split1__seed1__8962c71e9b36,8962c71e9b36,2f51d3fdcdc3ef3a,tolokers,node_classification,graphatlas,graphatlas,1,1,outputs\runs\tolokers\node_classification\graphatlas\split_1\seed_1\cfg_8962c71e9b36
tolokers__node_classification__graphatlas__split2__seed2__f7909bd35938,f7909bd35938,2f51d3fdcdc3ef3a,tolokers,node_classification,graphatlas,graphatlas,2,2,outputs\runs\tolokers\node_classification\graphatlas\split_2\seed_2\cfg_f7909bd35938
questions__node_classification__graphatlas__split0__seed0__cae8a3d412c8,cae8a3d412c8,2f51d3fdcdc3ef3a,questions,node_classification,graphatlas,graphatlas,0,0,outputs\runs\questions\node_classification\graphatlas\split_0\seed_0\cfg_cae8a3d412c8
questions__node_classification__graphatlas__split1__seed1__a9ac4c353265,a9ac4c353265,2f51d3fdcdc3ef3a,questions,node_classification,graphatlas,graphatlas,1,1,outputs\runs\questions\node_classification\graphatlas\split_1\seed_1\cfg_a9ac4c353265
questions__node_classification__graphatlas__split2__seed2__819bea417ca8,819bea417ca8,2f51d3fdcdc3ef3a,questions,node_classification,graphatlas,graphatlas,2,2,outputs\runs\questions\node_classification\graphatlas\split_2\seed_2\cfg_819bea417ca8
actor__node_classification__graphatlas__split0__seed0__d280095f9c9e,d280095f9c9e,2f51d3fdcdc3ef3a,actor,node_classification,graphatlas,graphatlas,0,0,outputs\runs\actor\node_classification\graphatlas\split_0\seed_0\cfg_d280095f9c9e
actor__node_classification__graphatlas__split1__seed1__09fd84abd8df,09fd84abd8df,2f51d3fdcdc3ef3a,actor,node_classification,graphatlas,graphatlas,1,1,outputs\runs\actor\node_classification\graphatlas\split_1\seed_1\cfg_09fd84abd8df
actor__node_classification__graphatlas__split2__seed2__14a5df4cd556,14a5df4cd556,2f51d3fdcdc3ef3a,actor,node_classification,graphatlas,graphatlas,2,2,outputs\runs\actor\node_classification\graphatlas\split_2\seed_2\cfg_14a5df4cd556
chameleon_filtered__node_classification__graphatlas__split0__seed0__e52ce1c2527a,e52ce1c2527a,2f51d3fdcdc3ef3a,chameleon_filtered,node_classification,graphatlas,graphatlas,0,0,outputs\runs\chameleon_filtered\node_classification\graphatlas\split_0\seed_0\cfg_e52ce1c2527a
chameleon_filtered__node_classification__graphatlas__split1__seed1__eba3b4f3e099,eba3b4f3e099,2f51d3fdcdc3ef3a,chameleon_filtered,node_classification,graphatlas,graphatlas,1,1,outputs\runs\chameleon_filtered\node_classification\graphatlas\split_1\seed_1\cfg_eba3b4f3e099
chameleon_filtered__node_classification__graphatlas__split2__seed2__961cd4a55080,961cd4a55080,2f51d3fdcdc3ef3a,chameleon_filtered,node_classification,graphatlas,graphatlas,2,2,outputs\runs\chameleon_filtered\node_classification\graphatlas\split_2\seed_2\cfg_961cd4a55080
squirrel_filtered__node_classification__graphatlas__split0__seed0__8de8ca986388,8de8ca986388,2f51d3fdcdc3ef3a,squirrel_filtered,node_classification,graphatlas,graphatlas,0,0,outputs\runs\squirrel_filtered\node_classification\graphatlas\split_0\seed_0\cfg_8de8ca986388
squirrel_filtered__node_classification__graphatlas__split1__seed1__365e6ee5c849,365e6ee5c849,2f51d3fdcdc3ef3a,squirrel_filtered,node_classification,graphatlas,graphatlas,1,1,outputs\runs\squirrel_filtered\node_classification\graphatlas\split_1\seed_1\cfg_365e6ee5c849
