run_id,config_hash,source_hash,dataset,task,model,seed,split,num_threads,run_dir,job_config
actor__node_classification__graphatlas__split0__seed0__35faf269c0a5,35faf269c0a5,464db07c065a0877,actor,node_classification,graphatlas,0,0,2,outputs\runs\actor\node_classification\graphatlas\split_0\seed_0\cfg_35faf269c0a5,outputs\runs\actor\node_classification\graphatlas\split_0\seed_0\cfg_35faf269c0a5\job_config.yaml
amazon_ratings__node_classification__graphatlas__split0__seed0__97014ccd4af6,97014ccd4af6,464db07c065a0877,amazon_ratings,node_classification,graphatlas,0,0,2,outputs\runs\amazon_ratings\node_classification\graphatlas\split_0\seed_0\cfg_97014ccd4af6,outputs\runs\amazon_ratings\node_classification\graphatlas\split_0\seed_0\cfg_97014ccd4af6\job_config.yaml
citeseer__node_classification__graphatlas__split0__seed0__df3c967ad564,df3c967ad564,464db07c065a0877,citeseer,node_classification,graphatlas,0,0,2,outputs\runs\citeseer\node_classification\graphatlas\split_0\seed_0\cfg_df3c967ad564,outputs\runs\citeseer\node_classification\graphatlas\split_0\seed_0\cfg_df3c967ad564\job_config.yaml
coauthor_cs__node_classification__graphatlas__split0__seed0__9275b6753774,9275b6753774,464db07c065a0877,coauthor_cs,node_classification,graphatlas,0,0,2,outputs\runs\coauthor_cs\node_classification\graphatlas\split_0\seed_0\cfg_9275b6753774,outputs\runs\coauthor_cs\node_classification\graphatlas\split_0\seed_0\cfg_9275b6753774\job_config.yaml
coauthor_physics__node_classification__graphatlas__split0__seed0__1364876be8ae,1364876be8ae,464db07c065a0877,coauthor_physics,node_classification,graphatlas,0,0,2,outputs\runs\coauthor_physics\node_classification\graphatlas\split_0\seed_0\cfg_1364876be8ae,outputs\runs\coauthor_physics\node_classification\graphatlas\split_0\seed_0\cfg_1364876be8ae\job_config.yaml
cora__node_classification__graphatlas__split0__seed0__3ecffe7fbf17,3ecffe7fbf17,464db07c065a0877,cora,node_classification,graphatlas,0,0,2,outputs\runs\cora\node_classification\graphatlas\split_0\seed_0\cfg_3ecffe7fbf17,outputs\runs\cora\node_classification\graphatlas\split_0\seed_0\cfg_3ecffe7fbf17\job_config.yaml
dblp__node_classification__graphatlas__split0__seed0__cdaf0adeb150,cdaf0adeb150,464db07c065a0877,dblp,node_classification,graphatlas,0,0,2,outputs\runs\dblp\node_classification\graphatlas\split_0\seed_0\cfg_cdaf0adeb150,outputs\runs\dblp\node_classification\graphatlas\split_0\seed_0\cfg_cdaf0adeb150\job_config.yaml
minesweeper__node_classification__graphatlas__split0__seed0__266e47f20c8b,266e47f20c8b,464db07c065a0877,minesweeper,node_classification,graphatlas,0,0,2,outputs\runs\minesweeper\node_classification\graphatlas\split_0\seed_0\cfg_266e47f20c8b,outputs\runs\minesweeper\node_classification\graphatlas\split_0\seed_0\cfg_266e47f20c8b\job_config.yaml
ogbn_arxiv__node_classification__graphatlas__split0__seed0__1d2b6ed51635,1d2b6ed51635,464db07c065a0877,ogbn_arxiv,node_classification,graphatlas,0,0,2,outputs\runs\ogbn_arxiv\node_classification\graphatlas\split_0\seed_0\cfg_1d2b6ed51635,outputs\runs\ogbn_arxiv\node_classification\graphatlas\split_0\seed_0\cfg_1d2b6ed51635\job_config.yaml
ogbn_products__node_classification__graphatlas__split0__seed0__4a5179f6f8e8,4a5179f6f8e8,464db07c065a0877,ogbn_products,node_classification,graphatlas,0,0,2,outputs\runs\ogbn_products\node_classification\graphatlas\split_0\seed_0\cfg_4a5179f6f8e8,outputs\runs\ogbn_products\node_classification\graphatlas\split_0\seed_0\cfg_4a5179f6f8e8\job_config.yaml
