run_id,config_hash,source_hash,dataset,task,model,model_family,seed,split,run_dir
roman_empire__node_classification__ambient_vector_gnn__split0__seed0__0bbeeaac29f5,0bbeeaac29f5,13cd544cee4412a5,roman_empire,node_classification,ambient_vector_gnn,ambient_vector_gnn,0,0,outputs\runs\roman_empire\node_classification\ambient_vector_gnn\split_0\seed_0\cfg_0bbeeaac29f5
roman_empire__node_classification__ambient_vector_gnn__split1__seed1__81e286e71b72,81e286e71b72,13cd544cee4412a5,roman_empire,node_classification,ambient_vector_gnn,ambient_vector_gnn,1,1,outputs\runs\roman_empire\node_classification\ambient_vector_gnn\split_1\seed_1\cfg_81e286e71b72
roman_empire__node_classification__ambient_vector_gnn__split2__seed2__0c11031ba5e9,0c11031ba5e9,13cd544cee4412a5,roman_empire,node_classification,ambient_vector_gnn,ambient_vector_gnn,2,2,outputs\runs\roman_empire\node_classification\ambient_vector_gnn\split_2\seed_2\cfg_0c11031ba5e9
roman_empire__node_classification__ambient_vector_gnn__split3__seed3__9a3d3fc1bfa0,9a3d3fc1bfa0,13cd544cee4412a5,roman_empire,node_classification,ambient_vector_gnn,ambient_vector_gnn,3,3,outputs\runs\roman_empire\node_classification\ambient_vector_gnn\split_3\seed_3\cfg_9a3d3fc1bfa0
roman_empire__node_classification__ambient_vector_gnn__split4__seed4__c751b8c94f0e,c751b8c94f0e,13cd544cee4412a5,roman_empire,node_classification,ambient_vector_gnn,ambient_vector_gnn,4,4,outputs\runs\roman_empire\node_classification\ambient_vector_gnn\split_4\seed_4\cfg_c751b8c94f0e
roman_empire__node_classification__ambient_vector_gnn__split5__seed5__2d14e70d4c6f,2d14e70d4c6f,13cd544cee4412a5,roman_empire,node_classification,ambient_vector_gnn,ambient_vector_gnn,5,5,outputs\runs\roman_empire\node_classification\ambient_vector_gnn\split_5\seed_5\cfg_2d14e70d4c6f
roman_empire__node_classification__ambient_vector_gnn__split6__seed6__e46f0ae206e5,e46f0ae206e5,13cd544cee4412a5,roman_empire,node_classification,ambient_vector_gnn,ambient_vector_gnn,6,6,outputs\runs\roman_empire\node_classification\ambient_vector_gnn\split_6\seed_6\cfg_e46f0ae206e5
roman_empire__node_classification__ambient_vector_gnn__split7__seed7__4f0e0c3f52c1,4f0e0c3f52c1,13cd544cee4412a5,roman_empire,node_classification,ambient_vector_gnn,ambient_vector_gnn,7,7,outputs\runs\roman_empire\node_classification\ambient_vector_gnn\split_7\seed_7\cfg_4f0e0c3f52c1
roman_empire__node_classification__ambient_vector_gnn__split8__seed8__040769258955,040769258955,13cd544cee4412a5,roman_empire,node_classification,ambient_vector_gnn,ambient_vector_gnn,8,8,outputs\runs\roman_empire\node_classification\ambient_vector_gnn\split_8\seed_8\cfg_040769258955
roman_empire__node_classification__ambient_vector_gnn__split9__seed9__509f9f52964d,509f9f52964d,13cd544cee4412a5,roman_empire,node_classification,ambient_vector_gnn,ambient_vector_gnn,9,9,outputs\runs\roman_empire\node_classification\ambient_vector_gnn\split_9\seed_9\cfg_509f9f52964d
roman_empire__node_classification__geometry_moe__split0__seed0__91635404253e,91635404253e,13cd544cee4412a5,roman_empire,node_classification,geometry_moe,geometry_moe,0,0,outputs\runs\roman_empire\node_classification\geometry_moe\split_0\seed_0\cfg_91635404253e
roman_empire__node_classification__geometry_moe__split1__seed1__694b295a0e4f,694b295a0e4f,13cd544cee4412a5,roman_empire,node_classification,geometry_moe,geometry_moe,1,1,outputs\runs\roman_empire\node_classification\geometry_moe\split_1\seed_1\cfg_694b295a0e4f
roman_empire__node_classification__geometry_moe__split2__seed2__843c16a7324a,843c16a7324a,13cd544cee4412a5,roman_empire,node_classification,geometry_moe,geometry_moe,2,2,outputs\runs\roman_empire\node_classification\geometry_moe\split_2\seed_2\cfg_843c16a7324a
roman_empire__node_classification__geometry_moe__split3__seed3__a9becdbae0c6,a9becdbae0c6,13cd544cee4412a5,roman_empire,node_classification,geometry_moe,geometry_moe,3,3,outputs\runs\roman_empire\node_classification\geometry_moe\split_3\seed_3\cfg_a9becdbae0c6
roman_empire__node_classification__geometry_moe__split4__seed4__87167af41d7f,87167af41d7f,13cd544cee4412a5,roman_empire,node_classification,geometry_moe,geometry_moe,4,4,outputs\runs\roman_empire\node_classification\geometry_moe\split_4\seed_4\cfg_87167af41d7f
roman_empire__node_classification__geometry_moe__split5__seed5__a40eea384898,a40eea384898,13cd544cee4412a5,roman_empire,node_classification,geometry_moe,geometry_moe,5,5,outputs\runs\roman_empire\node_classification\geometry_moe\split_5\seed_5\cfg_a40eea384898
roman_empire__node_classification__geometry_moe__split6__seed6__3ed7fad25260,3ed7fad25260,13cd544cee4412a5,roman_empire,node_classification,geometry_moe,geometry_moe,6,6,outputs\runs\roman_empire\node_classification\geometry_moe\split_6\seed_6\cfg_3ed7fad25260
roman_empire__node_classification__geometry_moe__split7__seed7__9749f90ddb5a,9749f90ddb5a,13cd544cee4412a5,roman_empire,node_classification,geometry_moe,geometry_moe,7,7,outputs\runs\roman_empire\node_classification\geometry_moe\split_7\seed_7\cfg_9749f90ddb5a
roman_empire__node_classification__geometry_moe__split8__seed8__2750fca65fb3,2750fca65fb3,13cd544cee4412a5,roman_empire,node_classification,geometry_moe,geometry_moe,8,8,outputs\runs\roman_empire\node_classification\geometry_moe\split_8\seed_8\cfg_2750fca65fb3
roman_empire__node_classification__geometry_moe__split9__seed9__8c8cf72cdeaa,8c8cf72cdeaa,13cd544cee4412a5,roman_empire,node_classification,geometry_moe,geometry_moe,9,9,outputs\runs\roman_empire\node_classification\geometry_moe\split_9\seed_9\cfg_8c8cf72cdeaa
roman_empire__node_classification__graphatlas_free_transition__split0__seed0__03f54552f8d9,03f54552f8d9,13cd544cee4412a5,roman_empire,node_classification,graphatlas_free_transition,graphatlas_free_transition,0,0,outputs\runs\roman_empire\node_classification\graphatlas_free_transition\split_0\seed_0\cfg_03f54552f8d9
roman_empire__node_classification__graphatlas_free_transition__split1__seed1__286b285ccfce,286b285ccfce,13cd544cee4412a5,roman_empire,node_classification,graphatlas_free_transition,graphatlas_free_transition,1,1,outputs\runs\roman_empire\node_classification\graphatlas_free_transition\split_1\seed_1\cfg_286b285ccfce
roman_empire__node_classification__graphatlas_free_transition__split2__seed2__46f2cded4853,46f2cded4853,13cd544cee4412a5,roman_empire,node_classification,graphatlas_free_transition,graphatlas_free_transition,2,2,outputs\runs\roman_empire\node_classification\graphatlas_free_transition\split_2\seed_2\cfg_46f2cded4853
roman_empire__node_classification__graphatlas_free_transition__split3__seed3__e820ae8da74a,e820ae8da74a,13cd544cee4412a5,roman_empire,node_classification,graphatlas_free_transition,graphatlas_free_transition,3,3,outputs\runs\roman_empire\node_classification\graphatlas_free_transition\split_3\seed_3\cfg_e820ae8da74a
roman_empire__node_classification__graphatlas_free_transition__split4__seed4__96e36929b931,96e36929b931,13cd544cee4412a5,roman_empire,node_classification,graphatlas_free_transition,graphatlas_free_transition,4,4,outputs\runs\roman_empire\node_classification\graphatlas_free_transition\split_4\seed_4\cfg_96e36929b931
roman_empire__node_classification__graphatlas_free_transition__split5__seed5__8325d9410585,8325d9410585,13cd544cee4412a5,roman_empire,node_classification,graphatlas_free_transition,graphatlas_free_transition,5,5,outputs\runs\roman_empire\node_classification\graphatlas_free_transition\split_5\seed_5\cfg_8325d9410585
