run_id,config_hash,source_hash,dataset,task,model,model_family,seed,split,run_dir
roman_empire__node_classification__ambient_vector_gnn__split0__seed0__3be0f6041727,3be0f6041727,13cd544cee4412a5,roman_empire,node_classification,ambient_vector_gnn,ambient_vector_gnn,0,0,outputs\runs\roman_empire\node_classification\ambient_vector_gnn\split_0\seed_0\cfg_3be0f6041727
roman_empire__node_classification__ambient_vector_gnn__split1__seed1__7740dd4e6be0,7740dd4e6be0,13cd544cee4412a5,roman_empire,node_classification,ambient_vector_gnn,ambient_vector_gnn,1,1,outputs\runs\roman_empire\node_classification\ambient_vector_gnn\split_1\seed_1\cfg_7740dd4e6be0
roman_empire__node_classification__ambient_vector_gnn__split2__seed2__98e0d50bf43f,98e0d50bf43f,13cd544cee4412a5,roman_empire,node_classification,ambient_vector_gnn,ambient_vector_gnn,2,2,outputs\runs\roman_empire\node_classification\ambient_vector_gnn\split_2\seed_2\cfg_98e0d50bf43f
roman_empire__node_classification__signature_gnn__split0__seed0__0289ec16f654,0289ec16f654,13cd544cee4412a5,roman_empire,node_classification,signature_gnn,signature_gnn,0,0,outputs\runs\roman_empire\node_classification\signature_gnn\split_0\seed_0\cfg_0289ec16f654
roman_empire__node_classification__signature_gnn__split1__seed1__be6096c0839d,be6096c0839d,13cd544cee4412a5,roman_empire,node_classification,signature_gnn,signature_gnn,1,1,outputs\runs\roman_empire\node_classification\signature_gnn\split_1\seed_1\cfg_be6096c0839d
roman_empire__node_classification__signature_gnn__split2__seed2__f1048e16f3ab,f1048e16f3ab,13cd544cee4412a5,roman_empire,node_classification,signature_gnn,signature_gnn,2,2,outputs\runs\roman_empire\node_classification\signature_gnn\split_2\seed_2\cfg_f1048e16f3ab
roman_empire__node_classification__geometry_moe__split0__seed0__d7ac4501d370,d7ac4501d370,13cd544cee4412a5,roman_empire,node_classification,geometry_moe,geometry_moe,0,0,outputs\runs\roman_empire\node_classification\geometry_moe\split_0\seed_0\cfg_d7ac4501d370
roman_empire__node_classification__geometry_moe__split1__seed1__028b97de5bda,028b97de5bda,13cd544cee4412a5,roman_empire,node_classification,geometry_moe,geometry_moe,1,1,outputs\runs\roman_empire\node_classification\geometry_moe\split_1\seed_1\cfg_028b97de5bda
roman_empire__node_classification__geometry_moe__split2__seed2__170a923fbe54,170a923fbe54,13cd544cee4412a5,roman_empire,node_classification,geometry_moe,geometry_moe,2,2,outputs\runs\roman_empire\node_classification\geometry_moe\split_2\seed_2\cfg_170a923fbe54
roman_empire__node_classification__graphatlas_no_transport__split0__seed0__afc340d24008,afc340d24008,13cd544cee4412a5,roman_empire,node_classification,graphatlas_no_transport,graphatlas_no_transport,0,0,outputs\runs\roman_empire\node_classification\graphatlas_no_transport\split_0\seed_0\cfg_afc340d24008
