run_id,config_hash,source_hash,dataset,task,model,model_family,seed,split,run_dir
roman_empire__node_classification__ambient_vector_gnn__split0__seed0__530e5ad213b1,530e5ad213b1,13cd544cee4412a5,roman_empire,node_classification,ambient_vector_gnn,ambient_vector_gnn,0,0,outputs\runs\roman_empire\node_classification\ambient_vector_gnn\split_0\seed_0\cfg_530e5ad213b1
roman_empire__node_classification__ambient_vector_gnn__split1__seed1__4e401a000f27,4e401a000f27,13cd544cee4412a5,roman_empire,node_classification,ambient_vector_gnn,ambient_vector_gnn,1,1,outputs\runs\roman_empire\node_classification\ambient_vector_gnn\split_1\seed_1\cfg_4e401a000f27
roman_empire__node_classification__ambient_vector_gnn__split2__seed2__0cf67574c4db,0cf67574c4db,13cd544cee4412a5,roman_empire,node_classification,ambient_vector_gnn,ambient_vector_gnn,2,2,outputs\runs\roman_empire\node_classification\ambient_vector_gnn\split_2\seed_2\cfg_0cf67574c4db
roman_empire__node_classification__ambient_vector_gnn__split3__seed3__a3a7089f42bc,a3a7089f42bc,13cd544cee4412a5,roman_empire,node_classification,ambient_vector_gnn,ambient_vector_gnn,3,3,outputs\runs\roman_empire\node_classification\ambient_vector_gnn\split_3\seed_3\cfg_a3a7089f42bc
roman_empire__node_classification__ambient_vector_gnn__split4__seed4__58b7db262d7b,58b7db262d7b,13cd544cee4412a5,roman_empire,node_classification,ambient_vector_gnn,ambient_vector_gnn,4,4,outputs\runs\roman_empire\node_classification\ambient_vector_gnn\split_4\seed_4\cfg_58b7db262d7b
roman_empire__node_classification__ambient_vector_gnn__split5__seed5__0655c73f1377,0655c73f1377,13cd544cee4412a5,roman_empire,node_classification,ambient_vector_gnn,ambient_vector_gnn,5,5,outputs\runs\roman_empire\node_classification\ambient_vector_gnn\split_5\seed_5\cfg_0655c73f1377
roman_empire__node_classification__ambient_vector_gnn__split6__seed6__b915736508b1,b915736508b1,13cd544cee4412a5,roman_empire,node_classification,ambient_vector_gnn,ambient_vector_gnn,6,6,outputs\runs\roman_empire\node_classification\ambient_vector_gnn\split_6\seed_6\cfg_b915736508b1
roman_empire__node_classification__ambient_vector_gnn__split7__seed7__8f0a372d8710,8f0a372d8710,13cd544cee4412a5,roman_empire,node_classification,ambient_vector_gnn,ambient_vector_gnn,7,7,outputs\runs\roman_empire\node_classification\ambient_vector_gnn\split_7\seed_7\cfg_8f0a372d8710
roman_empire__node_classification__ambient_vector_gnn__split8__seed8__3c207b4b5bc4,3c207b4b5bc4,13cd544cee4412a5,roman_empire,node_classification,ambient_vector_gnn,ambient_vector_gnn,8,8,outputs\runs\roman_empire\node_classification\ambient_vector_gnn\split_8\seed_8\cfg_3c207b4b5bc4
roman_empire__node_classification__ambient_vector_gnn__split9__seed9__4234b7c564f2,4234b7c564f2,13cd544cee4412a5,roman_empire,node_classification,ambient_vector_gnn,ambient_vector_gnn,9,9,outputs\runs\roman_empire\node_classification\ambient_vector_gnn\split_9\seed_9\cfg_4234b7c564f2
roman_empire__node_classification__signature_gnn__split0__seed0__5963e413bda2,5963e413bda2,13cd544cee4412a5,roman_empire,node_classification,signature_gnn,signature_gnn,0,0,outputs\runs\roman_empire\node_classification\signature_gnn\split_0\seed_0\cfg_5963e413bda2
roman_empire__node_classification__signature_gnn__split1__seed1__6849df08a8c4,6849df08a8c4,13cd544cee4412a5,roman_empire,node_classification,signature_gnn,signature_gnn,1,1,outputs\runs\roman_empire\node_classification\signature_gnn\split_1\seed_1\cfg_6849df08a8c4
roman_empire__node_classification__signature_gnn__split2__seed2__2518202e5731,2518202e5731,13cd544cee4412a5,roman_empire,node_classification,signature_gnn,signature_gnn,2,2,outputs\runs\roman_empire\node_classification\signature_gnn\split_2\seed_2\cfg_2518202e5731
roman_empire__node_classification__signature_gnn__split3__seed3__6673b830ef73,6673b830ef73,13cd544cee4412a5,roman_empire,node_classification,signature_gnn,signature_gnn,3,3,outputs\runs\roman_empire\node_classification\signature_gnn\split_3\seed_3\cfg_6673b830ef73
roman_empire__node_classification__signature_gnn__split4__seed4__0af5920b167e,0af5920b167e,13cd544cee4412a5,roman_empire,node_classification,signature_gnn,signature_gnn,4,4,outputs\runs\roman_empire\node_classification\signature_gnn\split_4\seed_4\cfg_0af5920b167e
