run_id,config_hash,source_hash,dataset,task,model,seed,split,num_threads,run_dir,job_config
roman_empire__node_classification__graphatlas_no_transport__split0__seed0__b54cde072c27,b54cde072c27,22400df7c3e13ee0,roman_empire,node_classification,graphatlas_no_transport,0,0,1,outputs\runs\roman_empire\node_classification\graphatlas_no_transport\split_0\seed_0\cfg_b54cde072c27,outputs\runs\roman_empire\node_classification\graphatlas_no_transport\split_0\seed_0\cfg_b54cde072c27\job_config.yaml
roman_empire__node_classification__graphatlas_no_transport__split1__seed1__86c5e3947e57,86c5e3947e57,22400df7c3e13ee0,roman_empire,node_classification,graphatlas_no_transport,1,1,1,outputs\runs\roman_empire\node_classification\graphatlas_no_transport\split_1\seed_1\cfg_86c5e3947e57,outputs\runs\roman_empire\node_classification\graphatlas_no_transport\split_1\seed_1\cfg_86c5e3947e57\job_config.yaml
roman_empire__node_classification__graphatlas_no_transport__split2__seed2__fa2fc1530a00,fa2fc1530a00,22400df7c3e13ee0,roman_empire,node_classification,graphatlas_no_transport,2,2,1,outputs\runs\roman_empire\node_classification\graphatlas_no_transport\split_2\seed_2\cfg_fa2fc1530a00,outputs\runs\roman_empire\node_classification\graphatlas_no_transport\split_2\seed_2\cfg_fa2fc1530a00\job_config.yaml
roman_empire__node_classification__graphatlas_free_transition__split0__seed0__f0df458f2041,f0df458f2041,22400df7c3e13ee0,roman_empire,node_classification,graphatlas_free_transition,0,0,1,outputs\runs\roman_empire\node_classification\graphatlas_free_transition\split_0\seed_0\cfg_f0df458f2041,outputs\runs\roman_empire\node_classification\graphatlas_free_transition\split_0\seed_0\cfg_f0df458f2041\job_config.yaml
roman_empire__node_classification__graphatlas_free_transition__split1__seed1__e33397d489d6,e33397d489d6,22400df7c3e13ee0,roman_empire,node_classification,graphatlas_free_transition,1,1,1,outputs\runs\roman_empire\node_classification\graphatlas_free_transition\split_1\seed_1\cfg_e33397d489d6,outputs\runs\roman_empire\node_classification\graphatlas_free_transition\split_1\seed_1\cfg_e33397d489d6\job_config.yaml
roman_empire__node_classification__graphatlas_free_transition__split2__seed2__9eaf0bd43abd,9eaf0bd43abd,22400df7c3e13ee0,roman_empire,node_classification,graphatlas_free_transition,2,2,1,outputs\runs\roman_empire\node_classification\graphatlas_free_transition\split_2\seed_2\cfg_9eaf0bd43abd,outputs\runs\roman_empire\node_classification\graphatlas_free_transition\split_2\seed_2\cfg_9eaf0bd43abd\job_config.yaml
roman_empire__node_classification__graphatlas_no_metric__split0__seed0__a8e3902a3edb,a8e3902a3edb,22400df7c3e13ee0,roman_empire,node_classification,graphatlas_no_metric,0,0,1,outputs\runs\roman_empire\node_classification\graphatlas_no_metric\split_0\seed_0\cfg_a8e3902a3edb,outputs\runs\roman_empire\node_classification\graphatlas_no_metric\split_0\seed_0\cfg_a8e3902a3edb\job_config.yaml
roman_empire__node_classification__graphatlas_no_metric__split1__seed1__5c5ef2054f54,5c5ef2054f54,22400df7c3e13ee0,roman_empire,node_classification,graphatlas_no_metric,1,1,1,outputs\runs\roman_empire\node_classification\graphatlas_no_metric\split_1\seed_1\cfg_5c5ef2054f54,outputs\runs\roman_empire\node_classification\graphatlas_no_metric\split_1\seed_1\cfg_5c5ef2054f54\job_config.yaml
roman_empire__node_classification__graphatlas_no_metric__split2__seed2__eeff01af9105,eeff01af9105,22400df7c3e13ee0,roman_empire,node_classification,graphatlas_no_metric,2,2,1,outputs\runs\roman_empire\node_classification\graphatlas_no_metric\split_2\seed_2\cfg_eeff01af9105,outputs\runs\roman_empire\node_classification\graphatlas_no_metric\split_2\seed_2\cfg_eeff01af9105\job_config.yaml
roman_empire__node_classification__graphatlas_no_cocycle__split0__seed0__c3f472da1f91,c3f472da1f91,22400df7c3e13ee0,roman_empire,node_classification,graphatlas_no_cocycle,0,0,1,outputs\runs\roman_empire\node_classification\graphatlas_no_cocycle\split_0\seed_0\cfg_c3f472da1f91,outputs\runs\roman_empire\node_classification\graphatlas_no_cocycle\split_0\seed_0\cfg_c3f472da1f91\job_config.yaml
roman_empire__node_classification__graphatlas_no_cocycle__split1__seed1__0e76c3c003b5,0e76c3c003b5,22400df7c3e13ee0,roman_empire,node_classification,graphatlas_no_cocycle,1,1,1,outputs\runs\roman_empire\node_classification\graphatlas_no_cocycle\split_1\seed_1\cfg_0e76c3c003b5,outputs\runs\roman_empire\node_classification\graphatlas_no_cocycle\split_1\seed_1\cfg_0e76c3c003b5\job_config.yaml
roman_empire__node_classification__graphatlas_no_cocycle__split2__seed2__483404c43f1d,483404c43f1d,22400df7c3e13ee0,roman_empire,node_classification,graphatlas_no_cocycle,2,2,1,outputs\runs\roman_empire\node_classification\graphatlas_no_cocycle\split_2\seed_2\cfg_483404c43f1d,outputs\runs\roman_empire\node_classification\graphatlas_no_cocycle\split_2\seed_2\cfg_483404c43f1d\job_config.yaml
