number,value,state,params_classification_loss,params_dropout,params_feature_normalization,params_hidden_dim,params_learning_rate,params_membership_topk,params_num_charts,params_seed,params_transportability_beta,params_weight_decay,user_attrs_dataset,user_attrs_last_intermediate_test,user_attrs_metric_name,user_attrs_resolved_params,user_attrs_run_dir,user_attrs_split_protocol,user_attrs_test_metric,user_attrs_validation_metric
0,0.0237251166254282,PRUNED,weighted_ce,0.1,none,64,0.00021708797465744292,2,3,470,1.0,0.004434664071892905,,0.027277687564492226,,,,,,
1,0.9735406637191772,COMPLETE,cross_entropy,0.4,layernorm,128,0.0007296671764405778,1,2,463,1.0,0.00019855424222813234,coauthor_cs,,accuracy,"{'learning_rate': 0.0007296671764405778, 'weight_decay': 0.00019855424222813234, 'dropout': 0.4, 'hidden_dim': 128, 'num_charts': 2, 'membership_topk': 1, 'transportability_beta': 1.0, 'classification_loss': 'cross_entropy', 'feature_normalization': 'layernorm', 'seed': 463}",outputs\oracle_upper_bound\runs\coauthor_cs\trial_0001,random_60_20_20,0.9735406637191772,0.9443687200546265
2,0.9776322841644287,COMPLETE,weighted_ce,0.1,none,128,0.004949371718410307,1,3,232,2.0,0.0003539353163534052,coauthor_cs,0.9735406637191772,accuracy,"{'learning_rate': 0.004949371718410307, 'weight_decay': 0.0003539353163534052, 'dropout': 0.1, 'hidden_dim': 128, 'num_charts': 3, 'membership_topk': 1, 'transportability_beta': 2.0, 'classification_loss': 'weighted_ce', 'feature_normalization': 'none', 'seed': 232}",outputs\oracle_upper_bound\runs\coauthor_cs\trial_0002,random_60_20_20,0.9776322841644287,0.9760022163391113
3,0.7373875379562378,PRUNED,weighted_ce,0.0,layernorm,256,0.00012568359857395009,1,2,56,2.0,0.00025264755605853504,,0.7315875887870789,,,,,,
4,0.047995638102293015,PRUNED,focal,0.0,none,64,0.00013094977105316857,1,3,835,0.25,0.006125827675036417,,0.057555921375751495,,,,,,
5,0.857064962387085,COMPLETE,weighted_ce,0.2,layernorm,64,0.00019174605411663692,2,3,158,0.5,0.008479055305976748,coauthor_cs,0.857064962387085,accuracy,"{'learning_rate': 0.00019174605411663692, 'weight_decay': 0.008479055305976748, 'dropout': 0.2, 'hidden_dim': 64, 'num_charts': 3, 'membership_topk': 2, 'transportability_beta': 0.5, 'classification_loss': 'weighted_ce', 'feature_normalization': 'layernorm', 'seed': 158}",outputs\oracle_upper_bound\runs\coauthor_cs\trial_0005,random_60_20_20,0.857064962387085,0.8576493263244629
6,0.9397163391113281,COMPLETE,focal,0.2,layernorm,128,0.0002056022216343343,1,2,28,2.0,1.3249482338353262e-05,coauthor_cs,0.9386252164840698,accuracy,"{'learning_rate': 0.0002056022216343343, 'weight_decay': 1.3249482338353262e-05, 'dropout': 0.2, 'hidden_dim': 128, 'num_charts': 2, 'membership_topk': 1, 'transportability_beta': 2.0, 'classification_loss': 'focal', 'feature_normalization': 'layernorm', 'seed': 28}",outputs\oracle_upper_bound\runs\coauthor_cs\trial_0006,random_60_20_20,0.9397163391113281,0.9364603161811829
7,0.9271884560585022,PRUNED,focal,0.0,layernorm,128,0.00298774165199261,2,3,66,0.5,0.0002533102831787697,,0.9356246590614319,,,,,,
8,0.8707390427589417,PRUNED,cross_entropy,0.2,layernorm,256,0.0007378823171365055,2,2,598,0.25,0.0005115321523759829,,0.8723404407501221,,,,,,
9,0.8718298673629761,PRUNED,weighted_ce,0.1,layernorm,128,0.000780364032001287,2,1,19,0.0,4.440767851247589e-05,,0.8557010293006897,,,,,,
10,0.9285324811935425,COMPLETE,weighted_ce,0.1,l2,128,0.0022029698015290367,1,3,9,4.0,0.0004349581350833639,coauthor_cs,0.9380796551704407,accuracy,"{'learning_rate': 0.0022029698015290367, 'weight_decay': 0.0004349581350833639, 'dropout': 0.1, 'hidden_dim': 128, 'num_charts': 3, 'membership_topk': 1, 'transportability_beta': 4.0, 'classification_loss': 'weighted_ce', 'feature_normalization': 'l2', 'seed': 9}",outputs\oracle_upper_bound\runs\coauthor_cs\trial_0010,random_60_20_20,0.9285324811935425,0.9266430139541626
11,0.9645390510559082,COMPLETE,focal,0.1,none,128,0.004501243686681327,1,3,409,1.0,0.0004473690316241143,coauthor_cs,0.96672123670578,accuracy,"{'learning_rate': 0.004501243686681327, 'weight_decay': 0.0004473690316241143, 'dropout': 0.1, 'hidden_dim': 128, 'num_charts': 3, 'membership_topk': 1, 'transportability_beta': 1.0, 'classification_loss': 'focal', 'feature_normalization': 'none', 'seed': 409}",outputs\oracle_upper_bound\runs\coauthor_cs\trial_0011,random_60_20_20,0.9645390510559082,0.9724570512771606
12,0.85328608751297,PRUNED,weighted_ce,0.6,none,128,0.004685713907366914,1,1,74,2.0,0.0012406728968245894,,0.8704310059547424,,,,,,
13,0.9244614243507385,PRUNED,weighted_ce,0.1,none,256,0.0036091499636955017,2,3,58,2.0,0.00016748781592659798,,0.9238952994346619,,,,,,
14,0.9806328415870667,COMPLETE,cross_entropy,0.4,layernorm,128,0.00177994047547668,1,2,437,1.0,4.2175457522372115e-05,coauthor_cs,0.9792689681053162,accuracy,"{'learning_rate': 0.00177994047547668, 'weight_decay': 4.2175457522372115e-05, 'dropout': 0.4, 'hidden_dim': 128, 'num_charts': 2, 'membership_topk': 1, 'transportability_beta': 1.0, 'classification_loss': 'cross_entropy', 'feature_normalization': 'layernorm', 'seed': 437}",outputs\oracle_upper_bound\runs\coauthor_cs\trial_0014,random_60_20_20,0.9806328415870667,0.9792746305465698
15,0.9612762331962585,PRUNED,weighted_ce,0.1,none,64,0.002930487666175212,1,1,341,0.25,1.6673754525555884e-05,,0.9615384936332703,,,,,,
16,0.9740932583808899,PRUNED,weighted_ce,0.0,none,256,0.002849045504605385,1,3,553,2.0,0.00029055070400645945,,0.9757228493690491,,,,,,
17,0.9768202900886536,PRUNED,weighted_ce,0.4,layernorm,128,0.004959266769230867,1,2,806,1.0,0.0005868587254899155,,0.978723406791687,,,,,,
18,0.9585492014884949,PRUNED,cross_entropy,0.4,none,128,0.003048727742192918,1,2,459,1.0,2.6529058507967817e-06,,0.9609929323196411,,,,,,
19,0.9648118019104004,COMPLETE,cross_entropy,0.2,none,128,0.0016727028291071238,1,3,180,2.0,0.000259373878293768,coauthor_cs,0.9650845527648926,accuracy,"{'learning_rate': 0.0016727028291071238, 'weight_decay': 0.000259373878293768, 'dropout': 0.2, 'hidden_dim': 128, 'num_charts': 3, 'membership_topk': 1, 'transportability_beta': 2.0, 'classification_loss': 'cross_entropy', 'feature_normalization': 'none', 'seed': 180}",outputs\oracle_upper_bound\runs\coauthor_cs\trial_0019,random_60_20_20,0.9648118019104004,0.9678211212158203
