number,value,state,params_classification_loss,params_dropout,params_feature_normalization,params_hidden_dim,params_learning_rate,params_membership_topk,params_num_charts,params_seed,params_transportability_beta,params_weight_decay,user_attrs_dataset,user_attrs_last_intermediate_test,user_attrs_metric_name,user_attrs_resolved_params,user_attrs_run_dir,user_attrs_split_protocol,user_attrs_test_metric,user_attrs_validation_metric
0,0.1462530791759491,PRUNED,weighted_ce,0.1,none,64,0.00021708797465744292,2,3,470,1.0,0.004434664071892905,,0.1462530791759491,,,,,,
1,0.9684011936187744,COMPLETE,cross_entropy,0.4,layernorm,128,0.0007296671764405778,1,2,463,1.0,0.00019855424222813234,coauthor_physics,0.9686911106109619,accuracy,"{'learning_rate': 0.0007296671764405778, 'weight_decay': 0.00019855424222813234, 'dropout': 0.4, 'hidden_dim': 128, 'num_charts': 2, 'membership_topk': 1, 'transportability_beta': 1.0, 'classification_loss': 'cross_entropy', 'feature_normalization': 'layernorm', 'seed': 463}",outputs\oracle_upper_bound\runs\coauthor_physics\trial_0001,stratified_60_20_20,0.9684011936187744,0.9704304933547974
2,0.9656471610069275,COMPLETE,weighted_ce,0.1,none,128,0.004949371718410307,1,3,232,2.0,0.0003539353163534052,coauthor_physics,0.9668067693710327,accuracy,"{'learning_rate': 0.004949371718410307, 'weight_decay': 0.0003539353163534052, 'dropout': 0.1, 'hidden_dim': 128, 'num_charts': 3, 'membership_topk': 1, 'transportability_beta': 2.0, 'classification_loss': 'weighted_ce', 'feature_normalization': 'none', 'seed': 232}",outputs\oracle_upper_bound\runs\coauthor_physics\trial_0002,stratified_60_20_20,0.9656471610069275,0.9707204103469849
3,0.9352080225944519,COMPLETE,weighted_ce,0.0,layernorm,256,0.00012568359857395009,1,2,56,2.0,0.00025264755605853504,coauthor_physics,0.9270908832550049,accuracy,"{'learning_rate': 0.00012568359857395009, 'weight_decay': 0.00025264755605853504, 'dropout': 0.0, 'hidden_dim': 256, 'num_charts': 2, 'membership_topk': 1, 'transportability_beta': 2.0, 'classification_loss': 'weighted_ce', 'feature_normalization': 'layernorm', 'seed': 56}",outputs\oracle_upper_bound\runs\coauthor_physics\trial_0003,stratified_60_20_20,0.9352080225944519,0.9389766454696655
4,0.10204377770423889,PRUNED,focal,0.0,none,64,0.00013094977105316857,1,3,835,0.25,0.006125827675036417,,0.10204377770423889,,,,,,
5,0.17190897464752197,PRUNED,weighted_ce,0.2,layernorm,64,0.00019174605411663692,2,3,158,0.5,0.008479055305976748,,0.1727786660194397,,,,,,
6,0.3954196274280548,PRUNED,focal,0.2,layernorm,128,0.0002056022216343343,1,2,28,2.0,1.3249482338353262e-05,,0.3967241644859314,,,,,,
7,0.950282633304596,PRUNED,focal,0.0,layernorm,128,0.00298774165199261,2,3,66,0.5,0.0002533102831787697,,0.9534715414047241,,,,,,
8,0.907232940196991,PRUNED,cross_entropy,0.2,layernorm,256,0.0007378823171365055,2,2,598,0.25,0.0005115321523759829,,0.9118712544441223,,,,,,
9,0.9466589093208313,PRUNED,weighted_ce,0.1,layernorm,128,0.000780364032001287,2,1,19,0.0,4.440767851247589e-05,,0.9459341764450073,,,,,,
10,0.5942890048027039,PRUNED,cross_entropy,0.4,layernorm,128,0.0002740678583228382,1,3,652,0.25,1.6552524275142678e-05,,0.5944339632987976,,,,,,
11,0.9685461521148682,COMPLETE,weighted_ce,0.1,none,128,0.004060256510842734,1,3,135,2.0,0.000674357776109196,coauthor_physics,0.9698507189750671,accuracy,"{'learning_rate': 0.004060256510842734, 'weight_decay': 0.000674357776109196, 'dropout': 0.1, 'hidden_dim': 128, 'num_charts': 3, 'membership_topk': 1, 'transportability_beta': 2.0, 'classification_loss': 'weighted_ce', 'feature_normalization': 'none', 'seed': 135}",outputs\oracle_upper_bound\runs\coauthor_physics\trial_0011,stratified_60_20_20,0.9685461521148682,0.9682562351226807
12,0.6702420711517334,PRUNED,cross_entropy,0.4,none,128,0.0007440785465165984,1,2,477,4.0,0.0016793867734584576,,0.6711117625236511,,,,,,
13,0.5051456689834595,PRUNED,cross_entropy,0.0,l2,128,0.001484369538793323,1,4,210,1.0,0.0005512476683959424,,0.5051456689834595,,,,,,
14,0.9067980647087097,PRUNED,cross_entropy,0.4,layernorm,128,0.00177994047547668,1,2,437,1.0,4.2175457522372115e-05,,0.9095520973205566,,,,,,
15,0.9182490110397339,PRUNED,weighted_ce,0.4,none,64,0.0018591326133377765,1,3,88,1.0,0.0012674252862992013,,0.9156399369239807,,,,,,
16,0.9437599778175354,PRUNED,weighted_ce,0.2,none,128,0.0008328634407359028,1,1,134,0.25,0.0013664803662457564,,0.9459341764450073,,,,,,
17,0.9678214192390442,PRUNED,weighted_ce,0.4,layernorm,128,0.0019021112766076,1,3,637,0.0,0.00034167994036809763,,0.9702855348587036,,,,,,
18,0.5051456689834595,PRUNED,cross_entropy,0.4,none,64,0.00019841778374418895,1,2,244,1.0,7.631468706856106e-05,,0.5051456689834595,,,,,,
19,,FAIL,focal,0.1,layernorm,256,0.0015677858704049568,1,4,266,2.0,0.00023904784414152235,,,,,,,,
