number,value,state,params_classification_loss,params_dropout,params_feature_normalization,params_hidden_dim,params_learning_rate,params_membership_topk,params_num_charts,params_seed,params_transportability_beta,params_weight_decay,user_attrs_dataset,user_attrs_last_intermediate_test,user_attrs_metric_name,user_attrs_resolved_params,user_attrs_run_dir,user_attrs_split_protocol,user_attrs_test_metric,user_attrs_validation_metric
0,0.48924121260643005,PRUNED,weighted_ce,0.1,none,64,0.00021708797465744292,2,3,470,1.0,0.004434664071892905,,0.48868781328201294,,,,,,
1,0.48924121260643005,PRUNED,cross_entropy,0.4,layernorm,128,0.0007296671764405778,1,2,463,1.0,0.00019855424222813234,,0.48868781328201294,,,,,,
2,0.2748868763446808,COMPLETE,weighted_ce,0.1,none,128,0.004949371718410307,1,3,232,2.0,0.0003539353163534052,hetgb_actor,0.1764705926179886,accuracy,"{'learning_rate': 0.004949371718410307, 'weight_decay': 0.0003539353163534052, 'dropout': 0.1, 'hidden_dim': 128, 'num_charts': 3, 'membership_topk': 1, 'transportability_beta': 2.0, 'classification_loss': 'weighted_ce', 'feature_normalization': 'none', 'seed': 232}",outputs\oracle_upper_bound\runs\hetgb_actor\trial_0002,stratified_60_20_20,0.2748868763446808,0.2763306796550751
3,0.48868781328201294,COMPLETE,weighted_ce,0.0,layernorm,256,0.00012568359857395009,1,2,56,2.0,0.00025264755605853504,hetgb_actor,0.35972851514816284,accuracy,"{'learning_rate': 0.00012568359857395009, 'weight_decay': 0.00025264755605853504, 'dropout': 0.0, 'hidden_dim': 256, 'num_charts': 2, 'membership_topk': 1, 'transportability_beta': 2.0, 'classification_loss': 'weighted_ce', 'feature_normalization': 'layernorm', 'seed': 56}",outputs\oracle_upper_bound\runs\hetgb_actor\trial_0003,stratified_60_20_20,0.48868781328201294,0.48924121260643005
4,0.2276330590248108,PRUNED,focal,0.0,none,64,0.00013094977105316857,1,3,835,0.25,0.006125827675036417,,0.2273755818605423,,,,,,
5,0.48924121260643005,PRUNED,weighted_ce,0.2,layernorm,64,0.00019174605411663692,2,3,158,0.5,0.008479055305976748,,0.48868781328201294,,,,,,
6,0.23303169012069702,COMPLETE,focal,0.2,layernorm,128,0.0002056022216343343,1,2,28,2.0,1.3249482338353262e-05,hetgb_actor,0.12556561827659607,accuracy,"{'learning_rate': 0.0002056022216343343, 'weight_decay': 1.3249482338353262e-05, 'dropout': 0.2, 'hidden_dim': 128, 'num_charts': 2, 'membership_topk': 1, 'transportability_beta': 2.0, 'classification_loss': 'focal', 'feature_normalization': 'layernorm', 'seed': 28}",outputs\oracle_upper_bound\runs\hetgb_actor\trial_0006,stratified_60_20_20,0.23303169012069702,0.2434881031513214
7,0.6504524946212769,COMPLETE,focal,0.0,layernorm,128,0.00298774165199261,2,3,66,0.5,0.0002533102831787697,hetgb_actor,0.49434390664100647,accuracy,"{'learning_rate': 0.00298774165199261, 'weight_decay': 0.0002533102831787697, 'dropout': 0.0, 'hidden_dim': 128, 'num_charts': 3, 'membership_topk': 2, 'transportability_beta': 0.5, 'classification_loss': 'focal', 'feature_normalization': 'layernorm', 'seed': 66}",outputs\oracle_upper_bound\runs\hetgb_actor\trial_0007,stratified_60_20_20,0.6504524946212769,0.6228765249252319
8,0.48924121260643005,PRUNED,cross_entropy,0.2,layernorm,256,0.0007378823171365055,2,2,598,0.25,0.0005115321523759829,,0.48868781328201294,,,,,,
9,0.7352941632270813,COMPLETE,weighted_ce,0.1,layernorm,128,0.000780364032001287,2,1,19,0.0,4.440767851247589e-05,hetgb_actor,0.716063380241394,accuracy,"{'learning_rate': 0.000780364032001287, 'weight_decay': 4.440767851247589e-05, 'dropout': 0.1, 'hidden_dim': 128, 'num_charts': 1, 'membership_topk': 1, 'transportability_beta': 0.0, 'classification_loss': 'weighted_ce', 'feature_normalization': 'layernorm', 'seed': 19}",outputs\oracle_upper_bound\runs\hetgb_actor\trial_0009,stratified_60_20_20,0.7352941632270813,0.7734994292259216
