number,value,state,params_classification_loss,params_dropout,params_feature_normalization,params_hidden_dim,params_learning_rate,params_membership_topk,params_num_charts,params_seed,params_transportability_beta,params_weight_decay,user_attrs_dataset,user_attrs_last_intermediate_test,user_attrs_metric_name,user_attrs_resolved_params,user_attrs_run_dir,user_attrs_split_protocol,user_attrs_test_metric,user_attrs_validation_metric
0,0.36783018708229065,PRUNED,weighted_ce,0.1,none,64,0.00021708797465744292,2,3,470,1.0,0.004434664071892905,,0.36783018708229065,,,,,,
1,0.36783018708229065,PRUNED,cross_entropy,0.4,layernorm,128,0.0007296671764405778,1,2,463,1.0,0.00019855424222813234,,0.36783018708229065,,,,,,
2,0.4362114667892456,COMPLETE,weighted_ce,0.1,none,128,0.004949371718410307,1,3,232,2.0,0.0003539353163534052,hetgb_amazon,0.05307205766439438,accuracy,"{'learning_rate': 0.004949371718410307, 'weight_decay': 0.0003539353163534052, 'dropout': 0.1, 'hidden_dim': 128, 'num_charts': 3, 'membership_topk': 1, 'transportability_beta': 2.0, 'classification_loss': 'weighted_ce', 'feature_normalization': 'none', 'seed': 232}",outputs\oracle_upper_bound\runs\hetgb_amazon\trial_0002,stratified_60_20_20,0.4362114667892456,0.4307001531124115
3,0.368034303188324,PRUNED,weighted_ce,0.0,layernorm,256,0.00012568359857395009,1,2,56,2.0,0.00025264755605853504,,0.3737497627735138,,,,,,
4,0.08920188248157501,PRUNED,focal,0.0,none,64,0.00013094977105316857,1,3,835,0.25,0.006125827675036417,,0.08920188248157501,,,,,,
5,0.36783018708229065,PRUNED,weighted_ce,0.2,layernorm,64,0.00019174605411663692,2,3,158,0.5,0.008479055305976748,,0.36783018708229065,,,,,,
6,0.23188406229019165,PRUNED,focal,0.2,layernorm,128,0.0002056022216343343,1,2,28,2.0,1.3249482338353262e-05,,0.23188406229019165,,,,,,
7,0.26780974864959717,COMPLETE,focal,0.0,layernorm,128,0.00298774165199261,2,3,66,0.5,0.0002533102831787697,hetgb_amazon,0.1598285436630249,accuracy,"{'learning_rate': 0.00298774165199261, 'weight_decay': 0.0002533102831787697, 'dropout': 0.0, 'hidden_dim': 128, 'num_charts': 3, 'membership_topk': 2, 'transportability_beta': 0.5, 'classification_loss': 'focal', 'feature_normalization': 'layernorm', 'seed': 66}",outputs\oracle_upper_bound\runs\hetgb_amazon\trial_0007,stratified_60_20_20,0.26780974864959717,0.26780974864959717
8,0.36783018708229065,PRUNED,cross_entropy,0.2,layernorm,256,0.0007378823171365055,2,2,598,0.25,0.0005115321523759829,,0.36783018708229065,,,,,,
9,0.1855480819940567,PRUNED,weighted_ce,0.1,layernorm,128,0.000780364032001287,2,1,19,0.0,4.440767851247589e-05,,0.18493570387363434,,,,,,
10,0.44580528140068054,COMPLETE,weighted_ce,0.1,l2,128,0.0022029698015290367,1,3,9,4.0,0.0004349581350833639,hetgb_amazon,0.3919167220592499,accuracy,"{'learning_rate': 0.0022029698015290367, 'weight_decay': 0.0004349581350833639, 'dropout': 0.1, 'hidden_dim': 128, 'num_charts': 3, 'membership_topk': 1, 'transportability_beta': 4.0, 'classification_loss': 'weighted_ce', 'feature_normalization': 'l2', 'seed': 9}",outputs\oracle_upper_bound\runs\hetgb_amazon\trial_0010,stratified_60_20_20,0.44580528140068054,0.4535619616508484
11,0.2737293243408203,PRUNED,weighted_ce,0.1,l2,128,0.0033456530909010546,1,3,68,4.0,0.000784576355191758,,0.2743417024612427,,,,,,
12,0.42947542667388916,COMPLETE,weighted_ce,0.1,layernorm,128,0.002130833131545014,1,3,388,2.0,2.1466603709000452e-05,hetgb_amazon,0.15533782541751862,accuracy,"{'learning_rate': 0.002130833131545014, 'weight_decay': 2.1466603709000452e-05, 'dropout': 0.1, 'hidden_dim': 128, 'num_charts': 3, 'membership_topk': 1, 'transportability_beta': 2.0, 'classification_loss': 'weighted_ce', 'feature_normalization': 'layernorm', 'seed': 388}",outputs\oracle_upper_bound\runs\hetgb_amazon\trial_0012,stratified_60_20_20,0.42947542667388916,0.4217187166213989
13,0.30904266238212585,PRUNED,weighted_ce,0.0,none,128,0.003800711145792677,1,4,88,2.0,0.0008562183584883728,,0.30904266238212585,,,,,,
14,0.36783018708229065,PRUNED,cross_entropy,0.6,l2,128,0.003900823122821556,1,3,56,2.0,1.1694388987547538e-05,,0.36783018708229065,,,,,,
15,0.08920188248157501,PRUNED,focal,0.1,none,128,0.003347472506086092,1,2,250,0.0,0.003923168772123705,,0.08920188248157501,,,,,,
16,0.26780974864959717,PRUNED,weighted_ce,0.0,none,256,0.002849045504605385,1,3,553,2.0,0.00029055070400645945,,0.26780974864959717,,,,,,
17,0.36783018708229065,PRUNED,weighted_ce,0.1,none,64,0.0029502546318402973,1,2,46,2.0,7.97980261974355e-06,,0.36783018708229065,,,,,,
18,0.04327413812279701,PRUNED,weighted_ce,0.1,none,128,0.003644281759911839,2,1,288,2.0,0.0002815473584032913,,0.04327413812279701,,,,,,
19,0.26780974864959717,PRUNED,cross_entropy,0.1,none,128,0.003807128482120554,1,3,160,1.0,0.0004506928496079289,,0.26780974864959717,,,,,,
20,0.1855480819940567,PRUNED,weighted_ce,0.6,layernorm,128,0.0011915326734683429,1,2,136,4.0,0.0028119520571928997,,0.19310063123703003,,,,,,
