number,value,state,params_classification_loss,params_dropout,params_feature_normalization,params_hidden_dim,params_learning_rate,params_membership_topk,params_num_charts,params_seed,params_transportability_beta,params_weight_decay,user_attrs_dataset,user_attrs_last_intermediate_test,user_attrs_metric_name,user_attrs_resolved_params,user_attrs_run_dir,user_attrs_split_protocol,user_attrs_test_metric,user_attrs_validation_metric
0,0.222222238779068,PRUNED,weighted_ce,0.1,none,64,0.00021708797465744292,2,3,470,1.0,0.004434664071892905,,0.20512820780277252,,,,,,
1,0.692307710647583,COMPLETE,cross_entropy,0.4,layernorm,128,0.0007296671764405778,1,2,463,1.0,0.00019855424222813234,hetgb_cornell,0.692307710647583,accuracy,"{'learning_rate': 0.0007296671764405778, 'weight_decay': 0.00019855424222813234, 'dropout': 0.4, 'hidden_dim': 128, 'num_charts': 2, 'membership_topk': 1, 'transportability_beta': 1.0, 'classification_loss': 'cross_entropy', 'feature_normalization': 'layernorm', 'seed': 463}",outputs\oracle_upper_bound\runs\hetgb_cornell\trial_0001,stratified_48_32_20,0.692307710647583,0.7301587462425232
2,0.523809552192688,PRUNED,weighted_ce,0.1,none,128,0.004949371718410307,1,3,232,2.0,0.0003539353163534052,,0.43589743971824646,,,,,,
3,0.4871794879436493,COMPLETE,weighted_ce,0.0,layernorm,256,0.00012568359857395009,1,2,56,2.0,0.00025264755605853504,hetgb_cornell,0.43589743971824646,accuracy,"{'learning_rate': 0.00012568359857395009, 'weight_decay': 0.00025264755605853504, 'dropout': 0.0, 'hidden_dim': 256, 'num_charts': 2, 'membership_topk': 1, 'transportability_beta': 2.0, 'classification_loss': 'weighted_ce', 'feature_normalization': 'layernorm', 'seed': 56}",outputs\oracle_upper_bound\runs\hetgb_cornell\trial_0003,stratified_48_32_20,0.4871794879436493,0.7777778506278992
4,0.0952381044626236,PRUNED,focal,0.0,none,64,0.00013094977105316857,1,3,835,0.25,0.006125827675036417,,0.10256410390138626,,,,,,
5,0.222222238779068,PRUNED,weighted_ce,0.2,layernorm,64,0.00019174605411663692,2,3,158,0.5,0.008479055305976748,,0.20512820780277252,,,,,,
6,0.0952381044626236,PRUNED,focal,0.2,layernorm,128,0.0002056022216343343,1,2,28,2.0,1.3249482338353262e-05,,0.10256410390138626,,,,,,
7,0.6666666865348816,COMPLETE,focal,0.0,layernorm,128,0.00298774165199261,2,3,66,0.5,0.0002533102831787697,hetgb_cornell,0.6666666865348816,accuracy,"{'learning_rate': 0.00298774165199261, 'weight_decay': 0.0002533102831787697, 'dropout': 0.0, 'hidden_dim': 128, 'num_charts': 3, 'membership_topk': 2, 'transportability_beta': 0.5, 'classification_loss': 'focal', 'feature_normalization': 'layernorm', 'seed': 66}",outputs\oracle_upper_bound\runs\hetgb_cornell\trial_0007,stratified_48_32_20,0.6666666865348816,0.8253968954086304
8,0.692307710647583,COMPLETE,cross_entropy,0.2,layernorm,256,0.0007378823171365055,2,2,598,0.25,0.0005115321523759829,hetgb_cornell,0.6153846383094788,accuracy,"{'learning_rate': 0.0007378823171365055, 'weight_decay': 0.0005115321523759829, 'dropout': 0.2, 'hidden_dim': 256, 'num_charts': 2, 'membership_topk': 2, 'transportability_beta': 0.25, 'classification_loss': 'cross_entropy', 'feature_normalization': 'layernorm', 'seed': 598}",outputs\oracle_upper_bound\runs\hetgb_cornell\trial_0008,stratified_48_32_20,0.692307710647583,0.7936508655548096
9,0.6666666865348816,COMPLETE,weighted_ce,0.1,layernorm,128,0.000780364032001287,2,1,19,0.0,4.440767851247589e-05,hetgb_cornell,0.6153846383094788,accuracy,"{'learning_rate': 0.000780364032001287, 'weight_decay': 4.440767851247589e-05, 'dropout': 0.1, 'hidden_dim': 128, 'num_charts': 1, 'membership_topk': 1, 'transportability_beta': 0.0, 'classification_loss': 'weighted_ce', 'feature_normalization': 'layernorm', 'seed': 19}",outputs\oracle_upper_bound\runs\hetgb_cornell\trial_0009,stratified_48_32_20,0.6666666865348816,0.8253968954086304
