number,value,state,params_classification_loss,params_dropout,params_feature_normalization,params_hidden_dim,params_learning_rate,params_membership_topk,params_num_charts,params_seed,params_transportability_beta,params_weight_decay
0,,FAIL,weighted_ce,0.1,none,64,0.00021708797465744292,2,3,470,1.0,0.004434664071892905
1,,FAIL,cross_entropy,0.4,layernorm,128,0.0007296671764405778,1,2,463,1.0,0.00019855424222813234
2,,FAIL,weighted_ce,0.1,none,128,0.004949371718410307,1,3,232,2.0,0.0003539353163534052
3,,FAIL,weighted_ce,0.0,layernorm,256,0.00012568359857395009,1,2,56,2.0,0.00025264755605853504
4,,FAIL,focal,0.0,none,64,0.00013094977105316857,1,3,835,0.25,0.006125827675036417
5,,FAIL,weighted_ce,0.2,layernorm,64,0.00019174605411663692,2,3,158,0.5,0.008479055305976748
6,,FAIL,focal,0.2,layernorm,128,0.0002056022216343343,1,2,28,2.0,1.3249482338353262e-05
7,,FAIL,focal,0.0,layernorm,128,0.00298774165199261,2,3,66,0.5,0.0002533102831787697
8,,FAIL,cross_entropy,0.2,layernorm,256,0.0007378823171365055,2,2,598,0.25,0.0005115321523759829
9,,FAIL,weighted_ce,0.1,layernorm,128,0.000780364032001287,2,1,19,0.0,4.440767851247589e-05
10,,FAIL,weighted_ce,0.6,l2,256,0.00032487360506778764,2,3,327,2.0,0.0003285823765559525
11,,FAIL,focal,0.6,none,128,0.0005938610225318752,2,2,148,0.5,0.0012188489386311789
12,,FAIL,cross_entropy,0.4,layernorm,64,0.0008078337143787741,1,1,253,4.0,0.00017541671946600719
13,,FAIL,weighted_ce,0.4,l2,64,0.0026368526738506583,1,1,38,4.0,0.00010844316802172681
14,,FAIL,focal,0.6,none,256,0.00010564839732807363,1,4,564,0.25,0.001564143524640206
15,,FAIL,weighted_ce,0.6,l2,128,0.0009699379878625137,2,3,16,0.5,0.005897722874357912
16,,FAIL,focal,0.4,l2,128,0.00042392557881176617,2,4,404,0.25,1.1821645490773319e-05
17,,FAIL,cross_entropy,0.4,layernorm,256,0.004696861517833083,2,4,516,0.25,0.001627016995074785
18,,FAIL,weighted_ce,0.6,layernorm,256,0.001823308958306348,1,1,334,2.0,0.00029680701072075513
19,,FAIL,cross_entropy,0.2,none,128,0.00024525879180005373,2,3,496,0.0,0.0001326201066071601
20,,FAIL,focal,0.1,none,128,0.0002819074261420371,1,3,122,4.0,0.0025223586987612513
21,,FAIL,focal,0.4,l2,256,0.0019470658100858005,2,2,832,0.5,3.4293027281679235e-06
22,,FAIL,focal,0.0,l2,256,0.0017240716949560198,1,2,194,0.25,3.746337659744275e-05
23,,FAIL,focal,0.6,layernorm,128,0.0011086315793210533,2,1,68,0.5,0.0001164718920977938
24,,FAIL,weighted_ce,0.2,none,128,0.0001442758619873165,2,4,469,0.0,0.007619887913914398
25,,FAIL,weighted_ce,0.0,layernorm,64,0.00035287134114675683,1,4,975,0.5,0.0002084302975581831
26,,FAIL,weighted_ce,0.1,none,128,0.0007485924449980958,1,2,872,2.0,0.00013989254652832655
27,,FAIL,focal,0.2,layernorm,64,0.00016577211565425897,1,2,729,1.0,7.125962484944302e-05
28,,FAIL,focal,0.4,none,64,0.00102574164809988,2,3,77,0.25,3.4311579638843824e-05
29,,FAIL,focal,0.2,l2,64,0.0032180609993861607,1,2,496,4.0,1.655631580621967e-06
30,,FAIL,focal,0.0,none,64,0.0015068425419636205,2,3,512,0.5,0.0002592166367288817
31,,FAIL,cross_entropy,0.1,layernorm,256,0.0001704093508786993,2,1,832,0.0,0.002937260579949661
32,,FAIL,cross_entropy,0.1,none,256,0.002729300142175843,1,3,418,1.0,2.471288559413843e-05
33,,FAIL,cross_entropy,0.4,l2,128,0.0011214997701111695,2,1,456,0.5,7.0957116538018085e-06
34,,FAIL,focal,0.6,layernorm,256,0.00011869980621828477,1,3,81,0.25,1.348618131822716e-06
35,,FAIL,cross_entropy,0.1,layernorm,256,0.0030902017908060017,1,4,815,2.0,6.764976501104577e-06
36,,FAIL,cross_entropy,0.6,none,128,0.00014086618764502172,2,2,352,0.25,0.00040889722765913875
37,,FAIL,focal,0.4,none,256,0.0007821711851470058,2,3,241,4.0,0.0075536611480264545
38,,FAIL,weighted_ce,0.1,l2,256,0.0002498908748291911,2,2,695,0.0,0.0006857128271158437
39,,FAIL,cross_entropy,0.0,l2,256,0.00020627517756247854,1,2,397,4.0,0.003918250250445515
