number,value,state,params_classification_loss,params_dropout,params_feature_normalization,params_hidden_dim,params_learning_rate,params_membership_topk,params_num_charts,params_seed,params_transportability_beta,params_weight_decay,user_attrs_dataset,user_attrs_last_intermediate_test,user_attrs_metric_name,user_attrs_resolved_params,user_attrs_run_dir,user_attrs_split_protocol,user_attrs_test_metric,user_attrs_validation_metric
0,0.6695766455167398,COMPLETE,weighted_ce,0.1,none,64,0.00021708797465744292,2,3,470,1.0,0.004434664071892905,questions,0.6647895926197963,roc_auc,"{'learning_rate': 0.00021708797465744292, 'weight_decay': 0.004434664071892905, 'dropout': 0.1, 'hidden_dim': 64, 'num_charts': 3, 'membership_topk': 2, 'transportability_beta': 1.0, 'classification_loss': 'weighted_ce', 'feature_normalization': 'none', 'seed': 470}",outputs\oracle_upper_bound\runs\questions\trial_0000,stratified_60_20_20,0.6695766455167398,0.6813825557499033
1,0.525771341692211,PRUNED,cross_entropy,0.4,layernorm,128,0.0007296671764405778,1,2,463,1.0,0.00019855424222813234,,0.5506653063757145,,,,,,
2,0.7642989282658166,COMPLETE,weighted_ce,0.1,none,128,0.004949371718410307,1,3,232,2.0,0.0003539353163534052,questions,0.7590957432224753,roc_auc,"{'learning_rate': 0.004949371718410307, 'weight_decay': 0.0003539353163534052, 'dropout': 0.1, 'hidden_dim': 128, 'num_charts': 3, 'membership_topk': 1, 'transportability_beta': 2.0, 'classification_loss': 'weighted_ce', 'feature_normalization': 'none', 'seed': 232}",outputs\oracle_upper_bound\runs\questions\trial_0002,stratified_60_20_20,0.7642989282658166,0.7680418694329472
3,0.6831361954407172,PRUNED,weighted_ce,0.0,layernorm,256,0.00012568359857395009,1,2,56,2.0,0.00025264755605853504,,0.6673329230334104,,,,,,
4,0.5749196150759976,PRUNED,focal,0.0,none,64,0.00013094977105316857,1,3,835,0.25,0.006125827675036417,,0.5515533074839571,,,,,,
5,0.6311908658480969,PRUNED,weighted_ce,0.2,layernorm,64,0.00019174605411663692,2,3,158,0.5,0.008479055305976748,,0.6287475342321451,,,,,,
6,0.5779637194818389,COMPLETE,focal,0.2,layernorm,128,0.0002056022216343343,1,2,28,2.0,1.3249482338353262e-05,questions,0.5051885744218162,roc_auc,"{'learning_rate': 0.0002056022216343343, 'weight_decay': 1.3249482338353262e-05, 'dropout': 0.2, 'hidden_dim': 128, 'num_charts': 2, 'membership_topk': 1, 'transportability_beta': 2.0, 'classification_loss': 'focal', 'feature_normalization': 'layernorm', 'seed': 28}",outputs\oracle_upper_bound\runs\questions\trial_0006,stratified_60_20_20,0.5779637194818389,0.5854701363513037
7,0.6935456462255165,PRUNED,focal,0.0,layernorm,128,0.00298774165199261,2,3,66,0.5,0.0002533102831787697,,0.7234330198603441,,,,,,
8,0.6240931440463202,PRUNED,cross_entropy,0.2,layernorm,256,0.0007378823171365055,2,2,598,0.25,0.0005115321523759829,,0.6534106241224608,,,,,,
9,0.748580244419464,COMPLETE,weighted_ce,0.1,layernorm,128,0.000780364032001287,2,1,19,0.0,4.440767851247589e-05,questions,0.7482620575506971,roc_auc,"{'learning_rate': 0.000780364032001287, 'weight_decay': 4.440767851247589e-05, 'dropout': 0.1, 'hidden_dim': 128, 'num_charts': 1, 'membership_topk': 1, 'transportability_beta': 0.0, 'classification_loss': 'weighted_ce', 'feature_normalization': 'layernorm', 'seed': 19}",outputs\oracle_upper_bound\runs\questions\trial_0009,stratified_60_20_20,0.748580244419464,0.7564302527290465
10,0.7334889799052121,PRUNED,weighted_ce,0.1,l2,128,0.0022029698015290367,1,3,9,4.0,0.0004349581350833639,,0.7413267021554455,,,,,,
11,0.670672383088282,PRUNED,weighted_ce,0.1,none,128,0.0007716438848574661,2,1,43,0.0,0.000970322758165817,,0.6549349989682376,,,,,,
