number,value,state,params_classification_loss,params_dropout,params_feature_normalization,params_hidden_dim,params_learning_rate,params_membership_topk,params_num_charts,params_seed,params_transportability_beta,params_weight_decay,user_attrs_dataset,user_attrs_last_intermediate_test,user_attrs_metric_name,user_attrs_resolved_params,user_attrs_run_dir,user_attrs_split_protocol,user_attrs_test_metric,user_attrs_validation_metric
0,0.041694242507219315,PRUNED,weighted_ce,0.1,none,64,0.00021708797465744292,2,3,470,1.0,0.004434664071892905,,0.041694242507219315,,,,,,
1,0.1383190006017685,PRUNED,cross_entropy,0.4,layernorm,128,0.0007296671764405778,1,2,463,1.0,0.00019855424222813234,,0.1383190006017685,,,,,,
2,0.7335098385810852,COMPLETE,weighted_ce,0.1,none,128,0.004949371718410307,1,3,232,2.0,0.0003539353163534052,roman_empire,0.7279947400093079,accuracy,"{'learning_rate': 0.004949371718410307, 'weight_decay': 0.0003539353163534052, 'dropout': 0.1, 'hidden_dim': 128, 'num_charts': 3, 'membership_topk': 1, 'transportability_beta': 2.0, 'classification_loss': 'weighted_ce', 'feature_normalization': 'none', 'seed': 232}",outputs\oracle_upper_bound\runs\roman_empire\trial_0002,stratified_60_20_20,0.7335098385810852,0.7352746725082397
3,0.11978822201490402,PRUNED,weighted_ce,0.0,layernorm,256,0.00012568359857395009,1,2,56,2.0,0.00025264755605853504,,0.11383190006017685,,,,,,
4,0.01875137910246849,PRUNED,focal,0.0,none,64,0.00013094977105316857,1,3,835,0.25,0.006125827675036417,,0.018971983343362808,,,,,,
5,0.03750275820493698,PRUNED,weighted_ce,0.2,layernorm,64,0.00019174605411663692,2,3,158,0.5,0.008479055305976748,,0.03750275820493698,,,,,,
6,0.054930511862039566,PRUNED,focal,0.2,layernorm,128,0.0002056022216343343,1,2,28,2.0,1.3249482338353262e-05,,0.054930511862039566,,,,,,
7,0.714317262172699,COMPLETE,focal,0.0,layernorm,128,0.00298774165199261,2,3,66,0.5,0.0002533102831787697,roman_empire,0.6909331679344177,accuracy,"{'learning_rate': 0.00298774165199261, 'weight_decay': 0.0002533102831787697, 'dropout': 0.0, 'hidden_dim': 128, 'num_charts': 3, 'membership_topk': 2, 'transportability_beta': 0.5, 'classification_loss': 'focal', 'feature_normalization': 'layernorm', 'seed': 66}",outputs\oracle_upper_bound\runs\roman_empire\trial_0007,stratified_60_20_20,0.714317262172699,0.72005295753479
8,0.766600489616394,COMPLETE,cross_entropy,0.2,layernorm,256,0.0007378823171365055,2,2,598,0.25,0.0005115321523759829,roman_empire,0.7679241299629211,accuracy,"{'learning_rate': 0.0007378823171365055, 'weight_decay': 0.0005115321523759829, 'dropout': 0.2, 'hidden_dim': 256, 'num_charts': 2, 'membership_topk': 2, 'transportability_beta': 0.25, 'classification_loss': 'cross_entropy', 'feature_normalization': 'layernorm', 'seed': 598}",outputs\oracle_upper_bound\runs\roman_empire\trial_0008,stratified_60_20_20,0.766600489616394,0.7734392285346985
9,0.7363776564598083,COMPLETE,weighted_ce,0.1,layernorm,128,0.000780364032001287,2,1,19,0.0,4.440767851247589e-05,roman_empire,0.737260103225708,accuracy,"{'learning_rate': 0.000780364032001287, 'weight_decay': 4.440767851247589e-05, 'dropout': 0.1, 'hidden_dim': 128, 'num_charts': 1, 'membership_topk': 1, 'transportability_beta': 0.0, 'classification_loss': 'weighted_ce', 'feature_normalization': 'layernorm', 'seed': 19}",outputs\oracle_upper_bound\runs\roman_empire\trial_0009,stratified_60_20_20,0.7363776564598083,0.7282153367996216
10,0.27597618103027344,PRUNED,cross_entropy,0.2,layernorm,256,0.0002758541404924772,2,3,734,0.25,3.052098176464859e-05,,0.2704610526561737,,,,,,
11,0.5411427617073059,PRUNED,weighted_ce,0.1,none,128,0.0007716438848574661,2,1,43,0.0,0.000970322758165817,,0.54048091173172,,,,,,
12,0.7121111750602722,PRUNED,focal,0.1,layernorm,256,0.0010394261168248313,2,1,205,0.0,1.1998498083589956e-05,,0.7213765978813171,,,,,,
13,0.1396426260471344,PRUNED,cross_entropy,0.2,l2,256,0.001052297436209736,2,2,898,4.0,0.0008452282389709502,,0.1396426260471344,,,,,,
14,0.19192588329315186,PRUNED,weighted_ce,0.1,layernorm,128,0.0006682916046447637,2,4,12,1.0,5.479146132714516e-06,,0.1936907172203064,,,,,,
15,0.10964041948318481,PRUNED,cross_entropy,0.1,layernorm,256,0.00023224749254979814,2,2,212,0.25,0.0004601253669094118,,0.10964041948318481,,,,,,
16,0.12486212700605392,PRUNED,cross_entropy,0.0,layernorm,64,0.0007593012251933109,2,2,761,0.25,4.0409946218470946e-05,,0.12287668138742447,,,,,,
17,0.20714758336544037,PRUNED,cross_entropy,0.2,layernorm,256,0.0016899798151751419,2,1,604,1.0,0.0005060074341171555,,0.21089786291122437,,,,,,
18,0.14493712782859802,PRUNED,weighted_ce,0.2,none,128,0.0013840418574845859,2,1,39,4.0,8.423668061789901e-06,,0.1473637819290161,,,,,,
19,0.6801235675811768,PRUNED,cross_entropy,0.2,none,256,0.0015040118146594612,2,2,428,0.25,0.0005958643645088636,,0.6783587336540222,,,,,,
20,0.1396426260471344,PRUNED,cross_entropy,0.2,layernorm,64,0.0007982242053640906,1,4,405,0.25,0.0007672648126145167,,0.1396426260471344,,,,,,
21,0.1987646222114563,PRUNED,weighted_ce,0.2,none,128,0.0037383607542488917,1,3,398,0.25,0.0019488739233966814,,0.1998676359653473,,,,,,
22,0.11890580505132675,PRUNED,weighted_ce,0.1,none,128,0.001191427151112732,1,3,205,2.0,0.00035681856668918333,,0.1182439923286438,,,,,,
23,0.7681447267532349,COMPLETE,weighted_ce,0.1,layernorm,256,0.0023869749708514587,1,2,505,2.0,0.000882982556151832,roman_empire,0.768806517124176,accuracy,"{'learning_rate': 0.0023869749708514587, 'weight_decay': 0.000882982556151832, 'dropout': 0.1, 'hidden_dim': 256, 'num_charts': 2, 'membership_topk': 1, 'transportability_beta': 2.0, 'classification_loss': 'weighted_ce', 'feature_normalization': 'layernorm', 'seed': 505}",outputs\oracle_upper_bound\runs\roman_empire\trial_0023,stratified_60_20_20,0.7681447267532349,0.7659386992454529
24,0.7085815072059631,PRUNED,weighted_ce,0.1,layernorm,64,0.0014134883036267002,1,2,494,2.0,0.0016555691543022853,,0.7105669379234314,,,,,,
25,0.7648356556892395,COMPLETE,cross_entropy,0.1,none,256,0.0049315403173305775,1,2,534,2.0,0.0012596149485649129,roman_empire,0.7648356556892395,accuracy,"{'learning_rate': 0.0049315403173305775, 'weight_decay': 0.0012596149485649129, 'dropout': 0.1, 'hidden_dim': 256, 'num_charts': 2, 'membership_topk': 1, 'transportability_beta': 2.0, 'classification_loss': 'cross_entropy', 'feature_normalization': 'none', 'seed': 534}",outputs\oracle_upper_bound\runs\roman_empire\trial_0025,stratified_60_20_20,0.7648356556892395,0.772998034954071
26,,RUNNING,cross_entropy,0.1,none,256,0.0031022309408669556,1,2,796,1.0,0.0021836857930712587,,0.695124626159668,,,,,,
27,0.43856167793273926,PRUNED,cross_entropy,0.1,none,256,0.00330638096524362,1,2,512,0.0,0.0006034125745733476,,0.44120892882347107,,,,,,
28,0.19082285463809967,PRUNED,cross_entropy,0.0,none,256,0.0026460793909815396,1,1,457,2.0,0.007655382586186049,,0.18971984088420868,,,,,,
29,0.1383190006017685,PRUNED,cross_entropy,0.2,none,64,0.0044507794972863295,1,2,468,2.0,0.000567999676248955,,0.1383190006017685,,,,,,
30,0.7736598253250122,COMPLETE,cross_entropy,0.1,layernorm,256,0.001435878234701167,2,2,468,2.0,0.009964625289686042,roman_empire,0.7703507542610168,accuracy,"{'learning_rate': 0.001435878234701167, 'weight_decay': 0.009964625289686042, 'dropout': 0.1, 'hidden_dim': 256, 'num_charts': 2, 'membership_topk': 2, 'transportability_beta': 2.0, 'classification_loss': 'cross_entropy', 'feature_normalization': 'layernorm', 'seed': 468}",outputs\oracle_upper_bound\runs\roman_empire\trial_0030,stratified_60_20_20,0.7736598253250122,0.7659386992454529
31,0.7202735543251038,PRUNED,focal,0.1,layernorm,256,0.0017697192824493717,2,2,460,1.0,0.0063294126906388165,,0.7317450046539307,,,,,,
32,0.7511581778526306,COMPLETE,cross_entropy,0.1,layernorm,256,0.003536141277752288,2,2,507,2.0,0.0017714584067693051,roman_empire,0.7388043403625488,accuracy,"{'learning_rate': 0.003536141277752288, 'weight_decay': 0.0017714584067693051, 'dropout': 0.1, 'hidden_dim': 256, 'num_charts': 2, 'membership_topk': 2, 'transportability_beta': 2.0, 'classification_loss': 'cross_entropy', 'feature_normalization': 'layernorm', 'seed': 507}",outputs\oracle_upper_bound\runs\roman_empire\trial_0032,stratified_60_20_20,0.7511581778526306,0.7626296281814575
33,0.5290095210075378,PRUNED,focal,0.0,layernorm,256,0.002015533418439164,1,3,459,2.0,0.0016341301957176306,,0.5367306470870972,,,,,,
34,0.423781156539917,PRUNED,weighted_ce,0.1,l2,256,0.004989862765994792,1,2,807,2.0,0.004594048019994176,,0.39819103479385376,,,,,,
35,0.15376131236553192,PRUNED,focal,0.4,none,256,0.001283620123152253,1,2,250,2.0,0.005167327015588648,,0.153540700674057,,,,,,
36,0.5400397181510925,PRUNED,weighted_ce,0.0,layernorm,256,0.004793797701504778,1,4,652,2.0,0.00032311557021651985,,0.5329803824424744,,,,,,
37,0.7302007675170898,PRUNED,weighted_ce,0.4,layernorm,256,0.0010266366137904035,2,2,426,2.0,0.007537552878721272,,0.7198323607444763,,,,,,
38,0.11228767037391663,PRUNED,cross_entropy,0.2,layernorm,128,0.0010937233193503118,2,2,725,0.25,0.002363930830331981,,0.11206706613302231,,,,,,
39,0.7577763199806213,COMPLETE,weighted_ce,0.1,layernorm,256,0.0019044681819982783,1,1,395,4.0,0.0023137452635014887,roman_empire,0.7617471814155579,accuracy,"{'learning_rate': 0.0019044681819982783, 'weight_decay': 0.0023137452635014887, 'dropout': 0.1, 'hidden_dim': 256, 'num_charts': 1, 'membership_topk': 1, 'transportability_beta': 4.0, 'classification_loss': 'weighted_ce', 'feature_normalization': 'layernorm', 'seed': 395}",outputs\oracle_upper_bound\runs\roman_empire\trial_0039,stratified_60_20_20,0.7577763199806213,0.768806517124176
40,0.23119346797466278,PRUNED,weighted_ce,0.2,layernorm,256,0.0005594896283218517,2,2,820,0.25,0.001159818759464575,,0.23053166270256042,,,,,,
