number,value,state,params_classification_loss,params_dropout,params_feature_normalization,params_hidden_dim,params_learning_rate,params_membership_topk,params_num_charts,params_seed,params_transportability_beta,params_weight_decay,user_attrs_dataset,user_attrs_last_intermediate_test,user_attrs_metric_name,user_attrs_resolved_params,user_attrs_run_dir,user_attrs_split_protocol,user_attrs_test_metric,user_attrs_validation_metric
0,0.6783546231902031,PRUNED,weighted_ce,0.1,none,64,0.00021708797465744292,2,3,470,1.0,0.004434664071892905,,0.6767201218562083,,,,,,
1,0.5455418499120739,PRUNED,cross_entropy,0.4,layernorm,128,0.0007296671764405778,1,2,463,1.0,0.00019855424222813234,,0.5617856344080551,,,,,,
2,0.798266283799039,COMPLETE,weighted_ce,0.1,none,128,0.004949371718410307,1,3,232,2.0,0.0003539353163534052,tolokers,0.7666224651714477,roc_auc,"{'learning_rate': 0.004949371718410307, 'weight_decay': 0.0003539353163534052, 'dropout': 0.1, 'hidden_dim': 128, 'num_charts': 3, 'membership_topk': 1, 'transportability_beta': 2.0, 'classification_loss': 'weighted_ce', 'feature_normalization': 'none', 'seed': 232}",outputs\oracle_upper_bound\runs\tolokers\trial_0002,stratified_60_20_20,0.798266283799039,0.79172615848727
3,0.6918784787477728,PRUNED,weighted_ce,0.0,layernorm,256,0.00012568359857395009,1,2,56,2.0,0.00025264755605853504,,0.708228792027195,,,,,,
4,0.6144818726170147,PRUNED,focal,0.0,none,64,0.00013094977105316857,1,3,835,0.25,0.006125827675036417,,0.6060973683680533,,,,,,
5,0.634670932057956,PRUNED,weighted_ce,0.2,layernorm,64,0.00019174605411663692,2,3,158,0.5,0.008479055305976748,,0.6583500016429813,,,,,,
6,0.6565623320581678,PRUNED,focal,0.2,layernorm,128,0.0002056022216343343,1,2,28,2.0,1.3249482338353262e-05,,0.6442866122468882,,,,,,
7,0.807034503665968,COMPLETE,focal,0.0,layernorm,128,0.00298774165199261,2,3,66,0.5,0.0002533102831787697,tolokers,0.7989234762939007,roc_auc,"{'learning_rate': 0.00298774165199261, 'weight_decay': 0.0002533102831787697, 'dropout': 0.0, 'hidden_dim': 128, 'num_charts': 3, 'membership_topk': 2, 'transportability_beta': 0.5, 'classification_loss': 'focal', 'feature_normalization': 'layernorm', 'seed': 66}",outputs\oracle_upper_bound\runs\tolokers\trial_0007,stratified_60_20_20,0.807034503665968,0.8282957408626394
8,0.6620313396021017,PRUNED,cross_entropy,0.2,layernorm,256,0.0007378823171365055,2,2,598,0.25,0.0005115321523759829,,0.6819145925353534,,,,,,
9,0.7084036900298598,PRUNED,weighted_ce,0.1,layernorm,128,0.000780364032001287,2,1,19,0.0,4.440767851247589e-05,,0.7146226390094625,,,,,,
