task,model,mean_rank,median_rank,evaluated_runs
node_classification,graphatlas_no_rank,3.9444444444444446,3.0,9
node_classification,graphatlas_free_transition,4.388888888888889,4.0,9
node_classification,graphatlas_no_metric,4.888888888888889,5.5,9
node_classification,graphatlas,5.0,5.5,9
node_classification,graphatlas_no_overlap,5.055555555555555,5.0,9
node_classification,signature_gnn,5.166666666666667,5.0,9
node_classification,graphatlas_no_transport,5.944444444444445,7.5,9
node_classification,ambient_vector_gnn,6.277777777777778,7.0,9
node_classification,graphatlas_no_cocycle,6.444444444444445,7.0,9
node_classification,geometry_moe,7.888888888888889,8.5,9
