dataset,task,model_graphatlas,metric_name,graphatlas_mean,graphatlas_std,graphatlas_runs,metric,source_id,paper_title,venue,year,table_id,source_url,dataset_version,feature_condition,split_protocol,model_published,mean,std,unit,n_runs,comparison_level,notes,mean_fraction,std_fraction,effective_comparison_level,compatibility_notes,delta_vs_published_mean
atlas_het_boundary_stress,node_classification,ambient_vector_gnn,accuracy,0.7634385426839193,0.016164337370607375,3,accuracy,,,,,,,,,,,,,,,,,,,,,
atlas_het_boundary_stress,node_classification,geometry_moe,accuracy,0.7144827246665955,0.03717030149543479,3,accuracy,,,,,,,,,,,,,,,,,,,,,
atlas_het_boundary_stress,node_classification,graphatlas,accuracy,0.7732663949330648,0.014471184961851244,3,accuracy,,,,,,,,,,,,,,,,,,,,,
atlas_het_boundary_stress,node_classification,graphatlas_free_transition,accuracy,0.7634305953979492,0.024549501403918844,3,accuracy,,,,,,,,,,,,,,,,,,,,,
atlas_het_boundary_stress,node_classification,graphatlas_no_cocycle,accuracy,0.7504065036773682,0.0007040850226652469,3,accuracy,,,,,,,,,,,,,,,,,,,,,
atlas_het_boundary_stress,node_classification,graphatlas_no_metric,accuracy,0.7324326634407043,0.027409862104912978,3,accuracy,,,,,,,,,,,,,,,,,,,,,
atlas_het_boundary_stress,node_classification,graphatlas_no_overlap,accuracy,0.7585605184237162,0.05151308474630051,3,accuracy,,,,,,,,,,,,,,,,,,,,,
atlas_het_boundary_stress,node_classification,graphatlas_no_rank,accuracy,0.7781444390614828,0.010046691354882514,3,accuracy,,,,,,,,,,,,,,,,,,,,,
atlas_het_boundary_stress,node_classification,graphatlas_no_transport,accuracy,0.7258967161178589,0.025122009837088597,3,accuracy,,,,,,,,,,,,,,,,,,,,,
atlas_het_boundary_stress,node_classification,signature_gnn,accuracy,0.7291248242060343,0.04477837015128669,3,accuracy,,,,,,,,,,,,,,,,,,,,,
atlas_het_coordinate,node_classification,ambient_vector_gnn,accuracy,0.8422328233718872,0.012412888109222184,3,accuracy,,,,,,,,,,,,,,,,,,,,,
atlas_het_coordinate,node_classification,geometry_moe,accuracy,0.8278926412264506,0.03228159369908876,3,accuracy,,,,,,,,,,,,,,,,,,,,,
atlas_het_coordinate,node_classification,graphatlas,accuracy,0.8197379310925802,0.03709023336041047,3,accuracy,,,,,,,,,,,,,,,,,,,,,
atlas_het_coordinate,node_classification,graphatlas_free_transition,accuracy,0.8483930230140686,0.02293638461110103,3,accuracy,,,,,,,,,,,,,,,,,,,,,
atlas_het_coordinate,node_classification,graphatlas_no_cocycle,accuracy,0.8238153060277303,0.044144263480549395,3,accuracy,,,,,,,,,,,,,,,,,,,,,
atlas_het_coordinate,node_classification,graphatlas_no_metric,accuracy,0.8340780933698019,0.03378535295768533,3,accuracy,,,,,,,,,,,,,,,,,,,,,
atlas_het_coordinate,node_classification,graphatlas_no_overlap,accuracy,0.8320205012957255,0.02432795710627245,3,accuracy,,,,,,,,,,,,,,,,,,,,,
atlas_het_coordinate,node_classification,graphatlas_no_rank,accuracy,0.8238279024759928,0.03911462162538757,3,accuracy,,,,,,,,,,,,,,,,,,,,,
atlas_het_coordinate,node_classification,graphatlas_no_transport,accuracy,0.8443283041318258,0.027898938863639092,3,accuracy,,,,,,,,,,,,,,,,,,,,,
atlas_het_coordinate,node_classification,signature_gnn,accuracy,0.8320457537968954,0.03953032906521849,3,accuracy,,,,,,,,,,,,,,,,,,,,,
atlas_het_mixed_metric,node_classification,ambient_vector_gnn,accuracy,0.65531853834788,0.026091966919869987,3,accuracy,,,,,,,,,,,,,,,,,,,,,
atlas_het_mixed_metric,node_classification,geometry_moe,accuracy,0.6634251674016317,0.003236276790565549,3,accuracy,,,,,,,,,,,,,,,,,,,,,
atlas_het_mixed_metric,node_classification,graphatlas,accuracy,0.7024422883987427,0.004343883430693286,3,accuracy,,,,,,,,,,,,,,,,,,,,,
atlas_het_mixed_metric,node_classification,graphatlas_free_transition,accuracy,0.6765284935633341,0.03949819034666682,3,accuracy,,,,,,,,,,,,,,,,,,,,,
atlas_het_mixed_metric,node_classification,graphatlas_no_cocycle,accuracy,0.6812642415364584,0.022673651994384057,3,accuracy,,,,,,,,,,,,,,,,,,,,,
atlas_het_mixed_metric,node_classification,graphatlas_no_metric,accuracy,0.7267297705014547,0.03060165263595269,3,accuracy,,,,,,,,,,,,,,,,,,,,,
atlas_het_mixed_metric,node_classification,graphatlas_no_overlap,accuracy,0.7024422089258829,0.00433300803041814,3,accuracy,,,,,,,,,,,,,,,,,,,,,
atlas_het_mixed_metric,node_classification,graphatlas_no_rank,accuracy,0.705694317817688,0.001724470149727435,3,accuracy,,,,,,,,,,,,,,,,,,,,,
atlas_het_mixed_metric,node_classification,graphatlas_no_transport,accuracy,0.6812955538431803,0.022593299146949134,3,accuracy,,,,,,,,,,,,,,,,,,,,,
atlas_het_mixed_metric,node_classification,signature_gnn,accuracy,0.7024106383323669,0.015370852536948981,3,accuracy,,,,,,,,,,,,,,,,,,,,,
