source_id,paper_title,venue,year,table_id,source_url,dataset,dataset_version,task,metric,feature_condition,split_protocol,model,mean,std,unit,n_runs,comparison_level,notes,mean_fraction,std_fraction,effective_comparison_level,compatibility_notes
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_cornell,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,GCN,51.43,4.9,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.5143,0.049,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_texas,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,GCN,54.09,1.7,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.5409,0.017,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_wisconsin,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,GCN,53.68,3.4,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.5367999999999999,0.034,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_actor,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,GCN,63.33,1.3,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.6333,0.013000000000000001,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_amazon,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,GCN,43.97,0.3,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.4397,0.003,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_cornell,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,GraphSAGE,71.43,1.9,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.7143,0.019,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_texas,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,GraphSAGE,68.18,0.2,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.6818000000000001,0.002,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_wisconsin,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,GraphSAGE,71.35,4.1,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.7134999999999999,0.040999999999999995,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_actor,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,GraphSAGE,71.09,0.4,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.7109000000000001,0.004,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_amazon,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,GraphSAGE,47.98,0.3,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.47979999999999995,0.003,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_cornell,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,GAT,48.1,3.1,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.48100000000000004,0.031,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_texas,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,GAT,57.27,6.8,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.5727,0.068,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_wisconsin,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,GAT,55.79,6.9,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.5579,0.069,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_actor,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,GAT,46.23,2.6,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.4623,0.026000000000000002,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_amazon,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,GAT,43.32,0.1,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.43320000000000003,0.001,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_cornell,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,H2GCN,65.71,1.9,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.6570999999999999,0.019,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_texas,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,H2GCN,79.09,2.7,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.7909,0.027000000000000003,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_wisconsin,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,H2GCN,79.3,1.3,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.7929999999999999,0.013000000000000001,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_actor,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,H2GCN,73.86,0.4,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.7386,0.004,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_amazon,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,H2GCN,50.46,0.3,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.5046,0.003,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_cornell,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,FAGCN,73.33,2.8,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.7333,0.027999999999999997,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_texas,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,FAGCN,82.5,5.0,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.825,0.05,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_wisconsin,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,FAGCN,80.35,2.1,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.8035,0.021,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_actor,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,FAGCN,73.79,0.6,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.7379000000000001,0.006,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
