dataset,task,model,test_metric_count,test_metric_mean,test_metric_std,test_accuracy_count,test_accuracy_mean,test_accuracy_std,test_roc_auc_count,test_roc_auc_mean,test_roc_auc_std,test_macro_f1_count,test_macro_f1_mean,test_macro_f1_std,test_micro_f1_count,test_micro_f1_mean,test_micro_f1_std,test_weighted_f1_count,test_weighted_f1_mean,test_weighted_f1_std,test_balanced_accuracy_count,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_mcc_count,test_mcc_mean,test_mcc_std,test_worst_class_recall_count,test_worst_class_recall_mean,test_worst_class_recall_std,test_nll_count,test_nll_mean,test_nll_std,test_brier_count,test_brier_mean,test_brier_std,test_ece_count,test_ece_mean,test_ece_std,test_link_mrr_count,test_link_mrr_mean,test_link_mrr_std,test_link_hits_at_10_count,test_link_hits_at_10_mean,test_link_hits_at_10_std,test_link_hits_at_50_count,test_link_hits_at_50_mean,test_link_hits_at_50_std,boundary_accuracy_count,boundary_accuracy_mean,boundary_accuracy_std,interior_accuracy_count,interior_accuracy_mean,interior_accuracy_std,chart_ari_count,chart_ari_mean,chart_ari_std,overlap_f1_count,overlap_f1_mean,overlap_f1_std,invariance_error_affine_count,invariance_error_affine_mean,invariance_error_affine_std,invariance_error_nonlinear_count,invariance_error_nonlinear_mean,invariance_error_nonlinear_std,intervention_flip_rate_nonlinear_count,intervention_flip_rate_nonlinear_mean,intervention_flip_rate_nonlinear_std,intervention_test_metric_drop_nonlinear_count,intervention_test_metric_drop_nonlinear_mean,intervention_test_metric_drop_nonlinear_std,intervention_test_metric_nonlinear_count,intervention_test_metric_nonlinear_mean,intervention_test_metric_nonlinear_std,mean_active_charts_count,mean_active_charts_mean,mean_active_charts_std,overlap_ratio_count,overlap_ratio_mean,overlap_ratio_std,membership_entropy_mean_count,membership_entropy_mean_mean,membership_entropy_mean_std,chart_utilization_min_count,chart_utilization_min_mean,chart_utilization_min_std,chart_utilization_max_count,chart_utilization_max_mean,chart_utilization_max_std,cocycle_error_count,cocycle_error_mean,cocycle_error_std,inverse_cycle_error_count,inverse_cycle_error_mean,inverse_cycle_error_std,path_consistency_error_count,path_consistency_error_mean,path_consistency_error_std,triple_cocycle_error_count,triple_cocycle_error_mean,triple_cocycle_error_std,metric_compatibility_error_count,metric_compatibility_error_mean,metric_compatibility_error_std,metric_direction_error_count,metric_direction_error_mean,metric_direction_error_std,metric_scale_error_count,metric_scale_error_mean,metric_scale_error_std,chart_rank_error_count,chart_rank_error_mean,chart_rank_error_std,chart_min_relative_singular_value_count,chart_min_relative_singular_value_mean,chart_min_relative_singular_value_std,chart_condition_number_count,chart_condition_number_mean,chart_condition_number_std,metric_recovery_error_count,metric_recovery_error_mean,metric_recovery_error_std,transition_error_count,transition_error_mean,transition_error_std,local_distortion_count,local_distortion_mean,local_distortion_std,cross_chart_distortion_count,cross_chart_distortion_mean,cross_chart_distortion_std,geometry_error_count,geometry_error_mean,geometry_error_std,runtime_seconds_count,runtime_seconds_mean,runtime_seconds_std,parameters_count,parameters_mean,parameters_std,test_metric_ci95
chameleon_filtered,node_classification,certified_beta_1,1,0.4175257682800293,,1,0.4175257682800293,,0,,,1,0.3526890756302521,,1,0.4175257731958763,,1,0.3613770250368189,,1,0.4080808080808081,,1,0.2904062676377459,,1,0.0,,1,1.5002028942108154,,1,0.7043708562850952,,1,0.1012018173933029,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,1.0609275591377809e-07,,1,7.396221946009973e-08,,1,0.0,,1,0.0,,1,0.4175257682800293,,1,1.998876452445984,,1,0.9988763928413392,,1,0.6877774596214294,,1,0.0,,1,0.5442813038825989,,1,0.7972180247306824,,1,0.6182710528373718,,1,0.1789469718933105,,1,0.0,,1,0.2962610721588135,,1,0.1539295464754104,,1,1.423315405845642,,1,0.0032976800575852,,1,0.1617891043424606,,1,9.470654487609863,,0,,,0,,,0,,,0,,,1,0.0,,1,29.148526906967163,,1,520281.0,,
chameleon_filtered,node_classification,min_distortion,1,0.4175257682800293,,1,0.4175257682800293,,0,,,1,0.3533987630087775,,1,0.4175257731958763,,1,0.3620095781103181,,1,0.408080808080808,,1,0.287793689929297,,1,0.0,,1,1.499381422996521,,1,0.7023611664772034,,1,0.0900068059563636,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,9.870945660850341e-08,,1,7.254160294678513e-08,,1,0.0,,1,0.0,,1,0.4175257682800293,,1,1.998876452445984,,1,0.9988763928413392,,1,0.6882833242416382,,1,0.0,,1,0.5421183705329895,,1,0.7995958924293518,,1,0.6217014789581299,,1,0.1778943985700607,,1,0.0,,1,0.2940462529659271,,1,0.1533662676811218,,1,1.4068000316619873,,1,0.0032893971074372,,1,0.1618616431951522,,1,9.46493911743164,,0,,,0,,,0,,,0,,,1,0.0,,1,76.75191569328308,,1,520281.0,,
chameleon_filtered,node_classification,original,1,0.3865979313850403,,1,0.3865979313850403,,0,,,1,0.3096822746521476,,1,0.3865979381443299,,1,0.3184106248557761,,1,0.3765367965367965,,1,0.2482856915124686,,1,0.0,,1,1.5150078535079956,,1,0.7262228727340698,,1,0.1169059574604034,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,1.604339843197522e-07,,1,7.811862445805674e-08,,1,0.0,,1,0.0,,1,0.3865979313850403,,1,1.998876452445984,,1,0.9988763928413392,,1,0.685806393623352,,1,0.0,,1,0.5298826694488525,,1,0.2562429010868072,,1,0.1855106055736541,,1,0.070732295513153,,1,0.0,,1,0.2479363530874252,,1,0.160695195198059,,1,0.8724116683006287,,1,0.0014758863253518,,1,0.1759546548128128,,1,8.244397163391113,,0,,,0,,,0,,,0,,,1,0.0,,1,19.225718021392822,,1,520281.0,,
cornell,node_classification,certified_beta_1,1,0.6756756901741028,,1,0.6756756901741028,,0,,,1,0.409855072463768,,1,0.6756756756756757,,1,0.6918918918918919,,1,0.4873188405797101,,1,0.437505934094254,,1,0.0,,1,1.7102768421173096,,1,0.535295844078064,,1,0.1963044106960296,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,9.67920499306274e-08,,1,6.087430648449299e-08,,1,0.0,,1,0.0,,1,0.6756756901741028,,1,1.049180269241333,,1,0.0491803251206874,,1,0.0231256168335676,,1,0.0,,1,0.9930777549743652,,1,0.1230417788028717,,1,0.0738652348518371,,1,0.0491765476763248,,1,0.0,,1,0.1077227592468261,,1,0.0892634093761444,,1,0.184593454003334,,1,0.0,,1,0.8261492848396301,,1,1.4000412225723269,,0,,,0,,,0,,,0,,,1,0.0,,1,9.735775709152222,,1,388868.0,,
cornell,node_classification,min_distortion,1,0.6216216087341309,,1,0.6216216087341309,,0,,,1,0.3597918989223337,,1,0.6216216216216216,,1,0.6313236313236313,,1,0.4347826086956521,,1,0.3424839527396293,,1,0.0,,1,1.8040966987609863,,1,0.5901609063148499,,1,0.2694165110588074,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,1.0230001379341048e-07,,1,6.175361733085083e-08,,1,0.0,,1,0.0,,1,0.6216216087341309,,1,1.0218578577041626,,1,0.0218579228967428,,1,0.0080147702246904,,1,0.0,,1,0.9973201155662536,,1,0.1491334438323974,,1,0.0929148122668266,,1,0.0562186315655708,,1,0.0,,1,0.1212381571531295,,1,0.0978903919458389,,1,0.2334776669740677,,1,0.0,,1,0.8089867830276489,,1,1.4419082403182983,,0,,,0,,,0,,,0,,,1,0.0,,1,9.697614431381226,,1,388868.0,,
cornell,node_classification,original,1,0.7297297716140747,,1,0.7297297716140747,,0,,,1,0.5437898686679175,,1,0.7297297297297297,,1,0.7562699660260637,,1,0.7155797101449275,,1,0.5859830872738804,,1,0.0,,1,2.811444997787476,,1,0.4836620390415191,,1,0.2390595972537994,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,4.514368612262842e-08,,1,4.193172031818904e-08,,1,0.0,,1,0.0,,1,0.7297297716140747,,1,1.010928988456726,,1,0.0109289614483714,,1,0.0061732311733067,,1,0.0,,1,0.9969232082366944,,1,0.0500297993421554,,1,0.0358060784637928,,1,0.0142237227410078,,1,0.0,,1,0.1719904690980911,,1,0.1653117537498474,,1,0.0667868703603744,,1,0.0,,1,0.7946604490280151,,1,1.486495018005371,,0,,,0,,,0,,,0,,,1,0.0,,1,13.299250841140749,,1,388868.0,,
texas,node_classification,certified_beta_1,1,0.5405405759811401,,1,0.5405405759811401,,0,,,1,0.3709059448770239,,1,0.5405405405405406,,1,0.4795986197543483,,1,0.425,,1,0.3397812179209174,,1,0.0,,1,2.11345648765564,,1,0.7105771899223328,,1,0.1188413873314857,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,9.275779433437493e-08,,1,6.882015668452368e-08,,1,0.0,,1,0.0,,1,0.5405405759811401,,1,1.0,,1,0.0,,1,5.5262041470660606e-11,,1,0.0,,1,1.0,,1,0.0575935691595077,,1,0.0158089306205511,,1,0.0417846366763114,,1,0.0,,1,0.0613932535052299,,1,0.0542189814150333,,1,0.0717427060008049,,1,0.0,,1,0.8898329734802246,,1,1.2480720281600952,,0,,,0,,,0,,,0,,,1,0.0,,1,31.90007758140564,,1,388868.0,,
texas,node_classification,min_distortion,1,0.5135135054588318,,1,0.5135135054588318,,0,,,1,0.3524305555555556,,1,0.5135135135135135,,1,0.4506381381381381,,1,0.409375,,1,0.3056801843241793,,1,0.0,,1,2.246349811553955,,1,0.7124616503715515,,1,0.178458958864212,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,9.215466434397969e-08,,1,6.177208433655323e-08,,1,0.0,,1,0.0,,1,0.5135135054588318,,1,1.0,,1,0.0,,1,5.5262041470660606e-11,,1,0.0,,1,1.0,,1,0.0575975552201271,,1,0.0167777482420206,,1,0.0408198051154613,,1,0.0,,1,0.0630116462707519,,1,0.0553729459643363,,1,0.0763869807124137,,1,0.0,,1,0.8862724304199219,,1,1.2565802335739136,,0,,,0,,,0,,,0,,,1,0.0,,1,60.30285882949829,,1,388868.0,,
texas,node_classification,original,1,0.5675675868988037,,1,0.5675675868988037,,0,,,1,0.3920361247947455,,1,0.5675675675675675,,1,0.5416944037633693,,1,0.4264204545454546,,1,0.3850794922335396,,1,0.0,,1,8.10372543334961,,1,0.7706691026687622,,1,0.3787553310394287,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,1.5659973939818886e-07,,1,6.73939908324428e-08,,1,0.0,,1,0.0,,1,0.5675675868988037,,1,1.0,,1,0.0,,1,5.5262041470660606e-11,,1,0.0,,1,1.0,,1,0.0237988531589508,,1,0.0237988531589508,,1,4.734540884343552e-12,,1,0.0,,1,0.0010768185602501,,1,0.0010381813626736,,1,0.000386371393688,,1,0.0,,1,0.890405535697937,,1,1.2578679323196411,,0,,,0,,,0,,,0,,,1,0.0,,1,14.83253812789917,,1,388868.0,,
wisconsin,node_classification,certified_beta_1,1,0.7058823704719543,,1,0.7058823704719543,,0,,,1,0.5124957784532252,,1,0.7058823529411765,,1,0.7133619405208892,,1,0.6210516536603493,,1,0.5741247781782747,,1,0.0,,1,1.1187721490859983,,1,0.4486348032951355,,1,0.1822962462902069,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,7.099269083710169e-08,,1,4.9031200433091726e-08,,1,0.0,,1,0.0,,1,0.7058823704719543,,1,1.0,,1,0.0,,1,5.5262041470660606e-11,,1,0.0,,1,1.0,,1,0.166366159915924,,1,0.0190882887691259,,1,0.1472778767347335,,1,0.0,,1,0.174336701631546,,1,0.1259449571371078,,1,0.4839174449443817,,1,0.0,,1,0.6502881646156311,,1,2.3094711303710938,,0,,,0,,,0,,,0,,,1,0.0,,1,30.82992887496948,,1,388868.0,,
