dataset,num_nodes,num_edges_directed,num_features,num_classes,multilabel,directed,train_nodes,val_nodes,test_nodes,average_degree,median_degree,max_degree,isolated_nodes,connected_components,feature_sparsity,duplicate_feature_rows,feature_hash,label_hash,edge_set_hash,primary_metric,edge_homophily,node_homophily,adjusted_homophily,class_imbalance_ratio
roman_empire,22662,65854,300,18,False,False,11331,5665,5666,2.905921697616577,3.0,14,0,1,0.0027358573861420155,17418,15ee5d9683ce42d3075d5aaf4ce5152fe780b555dcd72beb7e3bec40c2687f53,95c3c54f47dddfcbafc3552da468e31469b642277377508660b38d10afc403e0,a38be2bc4b8c8b9d03a3c4dc407e7b4be6fc5efcbc23028eda5a15e975f9179a,accuracy,0.04689160734415054,0.0460478812456131,-0.046757753548750926,10.137820512820513
amazon_ratings,24492,186100,300,5,False,False,12246,6123,6123,7.598399639129639,5.0,132,0,1,0.0,3596,398438f1ca29838bc3c4766498d4f31402e733a8abfc8dc772855af89c6cffdc,69553a09749a49b9a7118c8c035609bcd69c8c66fc1ea3916ea93a9ef01549f1,c6f6fe5b6553f1b43b84c63840e920e713e70d9a777937713602ffd007f48dd4,accuracy,0.3803761303424835,0.37570720911026,0.14023014295953048,8.491988689915175
minesweeper,10000,78804,7,2,False,False,5000,2500,2500,7.88040018081665,8.0,8,0,1,0.8571428656578064,9993,10dea3f4c0a0176c4a4d6b6e6d8bd82affb3fc5c0e6321fee1a1d72e44e0eee3,98f9575c5dd834dda85010d341571c667bad60aa3600f5168232fcd445f7a846,6d8aee14222a04ff00a23d12106e4a644cebf390c0ac3230113746f78306e3fc,roc_auc,0.6827825903892517,0.6829008460044861,0.009364793006201924,4.0
tolokers,11758,1038000,10,2,False,False,5879,2939,2940,88.28031921386719,30.0,2138,0,1,0.48034530878067017,5013,f42f9c6d1e989e802e3309ee1839c62949ab3dce8e9f0fe5da6f525d8ef968d3,0e2691d52589fe21a0fdab8ac7905e8a671630c8acb859d92200862c9c674dbd,bd80c60721e11373581539af0f96f4e10473370832d3a6c037b144bf365957e2,roc_auc,0.5945221781730652,0.634446918964386,0.09258385794599583,3.5822291504286827
questions,48921,307080,301,2,False,False,24460,12230,12231,6.277059078216553,1.0,1539,0,1,0.151836097240448,11366,4f5ef415bdb88f8f7716146d419a2162dd65cecc2c9d5ba2ea7e390bba46095f,4c3f58d64f6973e95414f7bd0d66000382ae0a497f47cf333073a01928eabf54,b165be96dfb304ad2a2a779c09d729e5c23398aeeceecfffe8988558b8af022b,roc_auc,0.8395662307739258,0.897985577583313,0.02067219371396072,32.50753424657534
actor,7600,53411,932,5,False,False,3648,2432,1520,7.027763366699219,4.0,1303,0,1,0.9942148923873901,1586,237cea186c27179c72816e4b725a7a1d648c8a3326f119e0f11cfdf3d19efa4d,ddee0dd50e256fe78676c537a8bd88b326867a8e8a5ecbb03850c5f9b8d4dfcf,ae015e519aa0d266ca7f1382de874fd53873b183b550eb8214470fb75ad93cb6,accuracy,0.2181011438369751,0.22196561098098755,0.004477611403147733,2.3036342321219228
chameleon_filtered,890,17708,2325,5,False,False,409,287,194,19.896629333496094,9.0,247,0,1,0.9952142238616943,100,d26f14dc88991ace28ef536b28fec27dc7f9699762cd82a4bc2ea2349c7ac97a,ce1d1a5664e605e47dccd54560c77f49a3287979dd024925f2620316342aa4f4,2472c05e50a95c83563d367023a5404877606ef10cd5926b226d5d20cfd29b29,accuracy,0.2360514998435974,0.24405889213085175,0.029531433001561896,1.8059701492537314
squirrel_filtered,2223,93996,2089,5,False,False,1053,718,452,42.28340148925781,10.0,693,0,1,0.9930055737495422,138,9dfd2186cfdf22f679f619f0e02fbde2b146ceb5754237ba8be6a188df35e758,4c4c6d8cf96ef8de70cd47b47c170b17ef7c65a6bcfe9fd68e6549032e5e18de,cb4f36f8851b7a1da89916eb20a3795942559b631c721513b5cd7d23fc6face4,accuracy,0.2071790248155594,0.1904737502336502,0.0086174444259393,3.244635193133047
cornell,183,557,1703,5,False,False,109,37,37,3.0437159538269043,2.0,94,0,1,0.9446813464164734,0,32fcc9489040d34e3d191efabd79fa954ce1fc8731164c71fcf6a0e666d7c1e8,61b3b45bb5435929817113341e1f3b6cd878ed3786884124fcc0e6ba48b2e387,aa17d7161825a139a16304a86fd396e11c114d9e4d24429fb87508e3795aeb38,accuracy,0.12746858596801758,0.11823958158493042,-0.21143311735647521,5.125
texas,183,574,1703,5,False,False,109,37,37,3.1366119384765625,2.0,104,0,1,0.9510154128074646,0,918837f9c8e8c753fc14042132a00834640a9e335ada6283e7d5e0bfb0b1ac65,7b8c2a801248de8eae3add6d2393dad78acb87670d4ffa058ba2e31c678ca9ed,5d2681d0446db5a7725b8d4d60284b241f997cb1b591124c2b9267743480c9ad,accuracy,0.08710801601409912,0.0872807726264,-0.2587192485404667,101.0
wisconsin,251,916,1703,5,False,False,150,50,51,3.649402379989624,2.0,122,0,1,0.9437201023101807,3,04dc9c384cf98968e1d0d7161388f33063a907c111e6ab02118f6ad8c1e511a1,0680f7442e1cd2890eef6d0027dc4a022f7ff57d908e8a3f2b0f330da88ca394,d49bbba5ce5fe93622cedb345905f9151ab87f7f9a136240b4fe1c35b35956a3,accuracy,0.19213974475860596,0.17068952322006226,-0.15240888945113876,11.8
cora,2708,10556,1433,7,False,False,140,500,1000,3.8980798721313477,3.0,168,0,78,0.9873173236846924,16,b546ba4bd53a367d47bd24fd417d151d2ab58b9627089907d6faf94626c09f7e,f6deb822fb169205d440841473f17183acf085518097bf427637629c4048641c,77b2d0ad6bdc31beefce3956fca3e6c6c608f5c61da6f8ad6f55a5b72425db60,accuracy,0.8099659085273743,0.825157880783081,0.7710854371825053,4.544444444444444
citeseer,3327,9104,3703,6,False,False,120,500,1000,2.7363991737365723,2.0,99,48,438,0.9914637804031372,24,8eca675b731b66ad984ee78f319a34a7a7ab8b089d59696a08ccd569ff347817,0eb3617109cf81a881d9f56782f6c0ab37b3f09392af8a5dad4163e1d17eec61,a175d643c1915f9e7325ed345ff16c865b679063f21e652c3c7ce76e0139ac75,accuracy,0.7355008721351624,0.7165876626968384,0.6706593901237352,2.6553030303030303
pubmed,19717,88648,500,3,False,False,60,500,1000,4.496018886566162,2.0,171,0,1,0.8997787833213806,4,8c38bee498caa12a3ad411c9485b36423ceb5b37388c7533514c270268ed20de,ca4635a66ec26f112ba3930159e82b10378791ecc5c7f955a7f20426de09fb79,891688449aa2e9f68bad00cb1fd43351afbc646518864c96b586a5cc83df3a9d,accuracy,0.8023869395256042,0.792412281036377,0.6860214319786468,1.9193273214720936
wikics,11701,431726,300,10,False,False,580,1769,5847,36.89650344848633,12.0,3324,334,356,8.546277967980132e-05,0,6632f0932273ef563f9c8f15669c5f4ac23a609f77aa70b9e4da347c2d25c598,109c5eaac862fc9896ebf015f2802a3a7bc4576b1ecfbe39b6a9f4cabab4884c,d6f33ff99548ec3aed8a068f17ff4067bfe6cdc898eb061e702dd2ec5b16230a,accuracy,0.6547393202781677,0.6782079935073853,0.5795594575394191,9.08135593220339
dblp,26128,239566,4231,4,False,True,400,400,3257,9.168937683105469,7.0,1814,0,1,0.9952057600021362,1691,de0cb68102c56b3eef015a8569cff35eb228f05f3d57219833cbb64d09f491a7,3bc292421d5f13d6233a57ef3d85bcffdf54ced2b59d7d47e23c536d0d6ec6ff,99c2e373e6a769d26f66345b0dfb8209307392c01a8e1fbed24f6738d4b52b8c,accuracy,0.89338219165802,0.8309044241905212,-0.03710070780444025,31.23221476510067
coauthor_cs,18333,163788,6805,15,False,False,10999,3667,3667,8.934053421020508,6.0,136,0,1,0.9912462830543518,43,046927be16fce96c7acf00b920fc4a7915c59589a3f891b17085450923111739,1e71cfd26d028fdb60742edb1491c28637808d0b3a05bde40dcee9bd705922f4,bdc1c4a5da8993edf2f2fc2d4bf93bdb9dc44a46c13b5449787531d7264cefbd,accuracy,0.8080567717552185,0.8320007920265198,0.7845427076833845,35.05084745762712
coauthor_physics,34493,495924,8415,5,False,False,20695,6899,6899,14.37752628326416,10.0,382,0,1,0.9960817098617554,351,629ecb25fbfaca1e1935fc8baa91031219e437a5164bbc140d094f97694fa262,67b18f3fa229cf18eeaea2b2c8eb8a3844b747bb14acd901fe140328e1bb7b46,6803602792c14995b0728a990a9a099f098b1b04ce4392126e24689781b20d70,accuracy,0.9314451217651367,0.9152769446372986,0.8723787806247609,6.329822012350164
