model,summary_mean,summary_std,n,ci95,dataset,transform_family,metric,strength,strength_status,mean,std,ci_low,ci_high
atn,,,0,0.0,legacy,affine,prediction_flip_rate,,legacy_missing_strength,,,,
graphatlas_c,0.0,0.0,61,0.0,legacy,affine,prediction_flip_rate,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_beta_-1,0.0,0.0,15,0.0,legacy,affine,prediction_flip_rate,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_beta_-2,0.0,0.0,15,0.0,legacy,affine,prediction_flip_rate,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_beta_0,0.0,0.0,15,0.0,legacy,affine,prediction_flip_rate,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_beta_0.5,0.0,0.0,15,0.0,legacy,affine,prediction_flip_rate,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_beta_1,0.0,0.0,15,0.0,legacy,affine,prediction_flip_rate,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_beta_2,0.0,0.0,15,0.0,legacy,affine,prediction_flip_rate,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_beta_4,0.0,0.0,15,0.0,legacy,affine,prediction_flip_rate,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_beta_minus_1,0.0,0.0,50,0.0,legacy,affine,prediction_flip_rate,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_coordinate_relu,0.2682161436975002,0.1658550261912151,50,0.0459726677757628,legacy,affine,prediction_flip_rate,,legacy_missing_strength,0.2682161436975002,0.1658550261912151,0.22224347592173738,0.314188811473263
graphatlas_c_membership,0.0,0.0,15,0.0,legacy,affine,prediction_flip_rate,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_q_reference,0.0,0.0,56,0.0,legacy,affine,prediction_flip_rate,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_q_shuffle_edge,0.0,0.0,15,0.0,legacy,affine,prediction_flip_rate,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_q_shuffle_source,0.0,0.0,56,0.0,legacy,affine,prediction_flip_rate,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_random,0.0,0.0,15,0.0,legacy,affine,prediction_flip_rate,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_min_distortion,0.0,0.0,50,0.0,legacy,affine,prediction_flip_rate,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_original,0.0,0.0,50,0.0,legacy,affine,prediction_flip_rate,,legacy_missing_strength,0.0,0.0,0.0,0.0
atn,,,0,0.0,legacy,nonlinear,prediction_flip_rate,,legacy_missing_strength,,,,
graphatlas_c,0.0,0.0,61,0.0,legacy,nonlinear,prediction_flip_rate,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_beta_-1,0.0,0.0,15,0.0,legacy,nonlinear,prediction_flip_rate,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_beta_-2,0.0,0.0,15,0.0,legacy,nonlinear,prediction_flip_rate,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_beta_0,0.0,0.0,15,0.0,legacy,nonlinear,prediction_flip_rate,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_beta_0.5,0.0,0.0,15,0.0,legacy,nonlinear,prediction_flip_rate,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_beta_1,0.0,0.0,15,0.0,legacy,nonlinear,prediction_flip_rate,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_beta_2,0.0,0.0,15,0.0,legacy,nonlinear,prediction_flip_rate,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_beta_4,0.0,0.0,15,0.0,legacy,nonlinear,prediction_flip_rate,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_beta_minus_1,0.0,0.0,50,0.0,legacy,nonlinear,prediction_flip_rate,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_coordinate_relu,0.1335305146872997,0.05251930035446137,50,0.01455760734213457,legacy,nonlinear,prediction_flip_rate,,legacy_missing_strength,0.1335305146872997,0.05251930035446137,0.11897290734516514,0.14808812202943428
graphatlas_c_membership,0.0,0.0,15,0.0,legacy,nonlinear,prediction_flip_rate,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_q_reference,0.0,0.0,56,0.0,legacy,nonlinear,prediction_flip_rate,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_q_shuffle_edge,0.0,0.0,15,0.0,legacy,nonlinear,prediction_flip_rate,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_q_shuffle_source,0.0,0.0,56,0.0,legacy,nonlinear,prediction_flip_rate,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_random,0.0,0.0,15,0.0,legacy,nonlinear,prediction_flip_rate,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_min_distortion,0.0,0.0,50,0.0,legacy,nonlinear,prediction_flip_rate,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_original,0.0,0.0,50,0.0,legacy,nonlinear,prediction_flip_rate,,legacy_missing_strength,0.0,0.0,0.0,0.0
