model,summary_mean,summary_std,n,ci95,dataset,transform_family,metric,strength,strength_status,mean,std,ci_low,ci_high
atn,,,0,0.0,legacy,affine,max_logit_error,,legacy_missing_strength,,,,
graphatlas_c,9.280614188460052e-06,8.687087607718758e-06,61,2.1800444822722293e-06,legacy,affine,max_logit_error,,legacy_missing_strength,9.280614188460052e-06,8.687087607718758e-06,7.100569706187823e-06,1.146065867073228e-05
graphatlas_c_beta_-1,8.392333984375e-06,2.6042718596443162e-06,15,1.3179434014094766e-06,legacy,affine,max_logit_error,,legacy_missing_strength,8.392333984375e-06,2.6042718596443162e-06,7.074390582965524e-06,9.710277385784477e-06
graphatlas_c_beta_-2,8.678436279296875e-06,2.4260523486965888e-06,15,1.2277518848878255e-06,legacy,affine,max_logit_error,,legacy_missing_strength,8.678436279296875e-06,2.4260523486965888e-06,7.45068439440905e-06,9.9061881641847e-06
graphatlas_c_beta_0,6.771087646484375e-06,1.6039235417787212e-06,15,8.116973043441364e-07,legacy,affine,max_logit_error,,legacy_missing_strength,6.771087646484375e-06,1.6039235417787212e-06,5.959390342140238e-06,7.582784950828511e-06
graphatlas_c_beta_0.5,7.82012939453125e-06,1.3095980879318147e-06,15,6.627480737452392e-07,legacy,affine,max_logit_error,,legacy_missing_strength,7.82012939453125e-06,1.3095980879318147e-06,7.1573813207860104e-06,8.482877468276488e-06
graphatlas_c_beta_1,1.02996826171875e-05,4.892106237407556e-06,15,2.4757473420866335e-06,legacy,affine,max_logit_error,,legacy_missing_strength,1.02996826171875e-05,4.892106237407556e-06,7.823935275100867e-06,1.2775429959274134e-05
graphatlas_c_beta_2,8.487701416015625e-06,2.968013784628283e-06,15,1.5020222133327732e-06,legacy,affine,max_logit_error,,legacy_missing_strength,8.487701416015625e-06,2.968013784628283e-06,6.985679202682852e-06,9.989723629348399e-06
graphatlas_c_beta_4,6.4849853515625e-06,7.387129490294299e-07,15,3.7384033203125007e-07,legacy,affine,max_logit_error,,legacy_missing_strength,6.4849853515625e-06,7.387129490294299e-07,6.1111450195312495e-06,6.85882568359375e-06
graphatlas_c_beta_minus_1,9.155869483947755e-06,5.282498560361919e-06,50,1.4642338970269142e-06,legacy,affine,max_logit_error,,legacy_missing_strength,9.155869483947755e-06,5.282498560361919e-06,7.69163558692084e-06,1.0620103380974669e-05
graphatlas_c_coordinate_relu,21.985412746667862,16.00931919761256,50,4.437556881390233,legacy,affine,max_logit_error,,legacy_missing_strength,21.985412746667862,16.00931919761256,17.54785586527763,26.422969628058095
graphatlas_c_membership,6.771087646484375e-06,1.6039235417787212e-06,15,8.116973043441364e-07,legacy,affine,max_logit_error,,legacy_missing_strength,6.771087646484375e-06,1.6039235417787212e-06,5.959390342140238e-06,7.582784950828511e-06
graphatlas_c_q_reference,7.83401940550123e-06,3.197872945995653e-06,56,8.375741451244425e-07,legacy,affine,max_logit_error,,legacy_missing_strength,7.83401940550123e-06,3.197872945995653e-06,6.996445260376787e-06,8.671593550625673e-06
graphatlas_c_q_shuffle_edge,9.1552734375e-06,3.6189395830174013e-06,15,1.8314361174984086e-06,legacy,affine,max_logit_error,,legacy_missing_strength,9.1552734375e-06,3.6189395830174013e-06,7.323837320001591e-06,1.0986709554998409e-05
graphatlas_c_q_shuffle_source,8.31112265586853e-06,3.6527874442560875e-06,56,9.567235386181127e-07,legacy,affine,max_logit_error,,legacy_missing_strength,8.31112265586853e-06,3.6527874442560875e-06,7.354399117250418e-06,9.267846194486643e-06
graphatlas_c_random,9.5367431640625e-06,3.5317234030630174e-06,15,1.787298640667276e-06,legacy,affine,max_logit_error,,legacy_missing_strength,9.5367431640625e-06,3.5317234030630174e-06,7.749444523395224e-06,1.1324041804729776e-05
graphatlas_min_distortion,7.744133472442628e-06,4.032372420569779e-06,50,1.1177166100789655e-06,legacy,affine,max_logit_error,,legacy_missing_strength,7.744133472442628e-06,4.032372420569779e-06,6.626416862363662e-06,8.861850082521593e-06
graphatlas_original,8.316338062286377e-06,2.4741862419644625e-06,50,6.858094368877203e-07,legacy,affine,max_logit_error,,legacy_missing_strength,8.316338062286377e-06,2.4741862419644625e-06,7.630528625398658e-06,9.002147499174097e-06
atn,,,0,0.0,legacy,nonlinear,max_logit_error,,legacy_missing_strength,,,,
graphatlas_c,6.837678737327701e-06,4.0718194147099305e-06,61,1.0218323848789145e-06,legacy,nonlinear,max_logit_error,,legacy_missing_strength,6.837678737327701e-06,4.0718194147099305e-06,5.815846352448787e-06,7.859511122206615e-06
