model,summary_mean,summary_std,n,ci95,dataset,transform_family,metric,strength,strength_status,mean,std,ci_low,ci_high
atn,,,0,0.0,legacy,affine,test_metric_drop,,legacy_missing_strength,,,,
graphatlas_c,0.0,0.0,61,0.0,legacy,affine,test_metric_drop,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_beta_-1,0.0,0.0,15,0.0,legacy,affine,test_metric_drop,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_beta_-2,0.0,0.0,15,0.0,legacy,affine,test_metric_drop,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_beta_0,0.0,0.0,15,0.0,legacy,affine,test_metric_drop,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_beta_0.5,0.0,0.0,15,0.0,legacy,affine,test_metric_drop,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_beta_1,0.0,0.0,15,0.0,legacy,affine,test_metric_drop,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_beta_2,0.0,0.0,15,0.0,legacy,affine,test_metric_drop,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_beta_4,0.0,0.0,15,0.0,legacy,affine,test_metric_drop,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_beta_minus_1,0.0,0.0,50,0.0,legacy,affine,test_metric_drop,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_coordinate_relu,0.13194804668426513,0.07830595171600371,50,0.021705302430535815,legacy,affine,test_metric_drop,,legacy_missing_strength,0.13194804668426513,0.07830595171600371,0.11024274425372932,0.15365334911480094
graphatlas_c_membership,0.0,0.0,15,0.0,legacy,affine,test_metric_drop,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_q_reference,0.0,0.0,56,0.0,legacy,affine,test_metric_drop,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_q_shuffle_edge,0.0,0.0,15,0.0,legacy,affine,test_metric_drop,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_q_shuffle_source,0.0,0.0,56,0.0,legacy,affine,test_metric_drop,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_random,0.0,0.0,15,0.0,legacy,affine,test_metric_drop,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_min_distortion,0.0,0.0,50,0.0,legacy,affine,test_metric_drop,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_original,0.0,0.0,50,0.0,legacy,affine,test_metric_drop,,legacy_missing_strength,0.0,0.0,0.0,0.0
atn,,,0,0.0,legacy,nonlinear,test_metric_drop,,legacy_missing_strength,,,,
graphatlas_c,0.0,0.0,61,0.0,legacy,nonlinear,test_metric_drop,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_beta_-1,0.0,0.0,15,0.0,legacy,nonlinear,test_metric_drop,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_beta_-2,0.0,0.0,15,0.0,legacy,nonlinear,test_metric_drop,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_beta_0,0.0,0.0,15,0.0,legacy,nonlinear,test_metric_drop,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_beta_0.5,0.0,0.0,15,0.0,legacy,nonlinear,test_metric_drop,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_beta_1,0.0,0.0,15,0.0,legacy,nonlinear,test_metric_drop,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_beta_2,0.0,0.0,15,0.0,legacy,nonlinear,test_metric_drop,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_beta_4,0.0,0.0,15,0.0,legacy,nonlinear,test_metric_drop,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_beta_minus_1,0.0,0.0,50,0.0,legacy,nonlinear,test_metric_drop,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_coordinate_relu,0.05283033370971677,0.06174831261842949,50,0.017115759027092795,legacy,nonlinear,test_metric_drop,,legacy_missing_strength,0.05283033370971677,0.06174831261842949,0.03571457468262398,0.06994609273680957
graphatlas_c_membership,0.0,0.0,15,0.0,legacy,nonlinear,test_metric_drop,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_q_reference,0.0,0.0,56,0.0,legacy,nonlinear,test_metric_drop,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_q_shuffle_edge,0.0,0.0,15,0.0,legacy,nonlinear,test_metric_drop,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_q_shuffle_source,0.0,0.0,56,0.0,legacy,nonlinear,test_metric_drop,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_c_random,0.0,0.0,15,0.0,legacy,nonlinear,test_metric_drop,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_min_distortion,0.0,0.0,50,0.0,legacy,nonlinear,test_metric_drop,,legacy_missing_strength,0.0,0.0,0.0,0.0
graphatlas_original,0.0,0.0,50,0.0,legacy,nonlinear,test_metric_drop,,legacy_missing_strength,0.0,0.0,0.0,0.0
