model,summary_mean,summary_std,n,ci95,dataset,transform_family,metric,strength,strength_status,mean,std,ci_low,ci_high
atn,,,0,0.0,legacy,affine,mean_probability_error,,legacy_missing_strength,,,,
graphatlas_c,6.492275282768366e-08,2.509145828453143e-08,61,6.296758782166925e-09,legacy,affine,mean_probability_error,,legacy_missing_strength,6.492275282768366e-08,2.509145828453143e-08,5.8625994045516735e-08,7.121951160985059e-08
graphatlas_c_beta_-1,6.97187900300378e-08,1.2106921881740291e-08,15,6.126947824717069e-09,legacy,affine,mean_probability_error,,legacy_missing_strength,6.97187900300378e-08,1.2106921881740291e-08,6.359184220532072e-08,7.584573785475487e-08
graphatlas_c_beta_-2,6.983515206115954e-08,1.009501542639847e-08,15,5.1087826791500365e-09,legacy,affine,mean_probability_error,,legacy_missing_strength,6.983515206115954e-08,1.009501542639847e-08,6.47263693820095e-08,7.494393474030957e-08
graphatlas_c_beta_0,6.529400167210043e-08,1.1102770352681588e-08,15,5.618777037232962e-09,legacy,affine,mean_probability_error,,legacy_missing_strength,6.529400167210043e-08,1.1102770352681588e-08,5.967522463486746e-08,7.091277870933339e-08
graphatlas_c_beta_0.5,7.566703814632094e-08,1.0738693541734673e-08,15,5.4345287496293675e-09,legacy,affine,mean_probability_error,,legacy_missing_strength,7.566703814632094e-08,1.0738693541734673e-08,7.023250939669157e-08,8.11015668959503e-08
graphatlas_c_beta_1,7.576179257284822e-08,1.727899592768694e-08,15,8.744378426369992e-09,legacy,affine,mean_probability_error,,legacy_missing_strength,7.576179257284822e-08,1.727899592768694e-08,6.701741414647823e-08,8.450617099921822e-08
graphatlas_c_beta_2,8.205418140505573e-08,1.8401947747593262e-08,15,9.31267045612315e-09,legacy,affine,mean_probability_error,,legacy_missing_strength,8.205418140505573e-08,1.8401947747593262e-08,7.274151094893259e-08,9.136685186117888e-08
graphatlas_c_beta_4,7.81411500838658e-08,1.7370185954596644e-08,15,8.790526947230028e-09,legacy,affine,mean_probability_error,,legacy_missing_strength,7.81411500838658e-08,1.7370185954596644e-08,6.935062313663578e-08,8.693167703109583e-08
graphatlas_c_beta_minus_1,6.139823218731522e-08,1.6083586141873096e-08,50,4.4581426280728474e-09,legacy,affine,mean_probability_error,,legacy_missing_strength,6.139823218731522e-08,1.6083586141873096e-08,5.694008955924237e-08,6.585637481538807e-08
graphatlas_c_coordinate_relu,0.5158409062027931,0.26495905191768,50,0.07344290220031802,legacy,affine,mean_probability_error,,legacy_missing_strength,0.5158409062027931,0.26495905191768,0.4423980040024751,0.5892838084031111
