model,mean,std,n,ci95
atn,1.0,0.0,2,0.0
graphatlas_c,6.05,5.707937942510899,10,3.5378165896810168
graphatlas_c_beta_-1,7.3,3.946517452134223,5,3.4592750685656664
graphatlas_c_beta_-2,7.8,5.858754133772812,5,5.13542442257697
graphatlas_c_beta_0,9.0,3.553167600887974,5,3.1144887220858575
graphatlas_c_beta_0.5,7.1,3.6640141921122527,5,3.2116500432020922
graphatlas_c_beta_1,6.7,2.8853076092507015,5,2.529083628510532
graphatlas_c_beta_2,8.3,6.099180272790763,5,5.346167225218456
graphatlas_c_beta_4,8.9,6.931810730249348,5,6.076
graphatlas_c_beta_minus_1,10.0,3.605551275463989,3,4.08006535895362
graphatlas_c_coordinate_relu,12.0,5.0,3,5.658032638058334
graphatlas_c_membership,9.0,3.553167600887974,5,3.1144887220858575
graphatlas_c_q_reference,10.8,4.381780460041329,5,3.840799916684023
graphatlas_c_q_shuffle_edge,5.2,2.9706901555025893,5,2.6039247300949384
graphatlas_c_q_shuffle_source,9.2,5.890670590009257,5,5.163400429949241
graphatlas_c_random,3.3,1.1510864433221337,5,1.0089717538167258
graphatlas_min_distortion,11.0,4.58257569495584,3,5.185672569686598
graphatlas_original,7.833333333333333,7.182153808805081,3,8.127372132354823
