dataset,task,condition_id,seed,split,model,test_metric,routing_mode
actor,node_classification,,0,0,graphatlas_c,0.3736842274665832,certificate
atlas_het,node_classification,smoke,0,0,graphatlas_c,0.304347813129425,certificate
atlas_het,node_classification,smoke,0,0,graphatlas_c,0.304347813129425,certificate
atlas_het,node_classification,ov0.10_cross0.50,0,0,graphatlas_c,0.8989899158477783,certificate
atlas_het,node_classification,ov0.25_cross0.00,0,0,graphatlas_c,0.8989899158477783,certificate
atlas_het,node_classification,ov0.25_cross0.15,0,0,graphatlas_c,0.8989899158477783,certificate
atlas_het,node_classification,ov0.25_cross0.30,0,0,graphatlas_c,0.8989899158477783,certificate
atlas_het,node_classification,ov0.25_cross0.50,0,0,graphatlas_c,0.8989899158477783,certificate
atlas_het,node_classification,ov0.40_cross0.00,0,0,graphatlas_c,0.868686854839325,certificate
atlas_het,node_classification,ov0.40_cross0.15,0,0,graphatlas_c,0.868686854839325,certificate
atlas_het,node_classification,ov0.40_cross0.30,0,0,graphatlas_c,0.868686854839325,certificate
atlas_het,node_classification,ov0.40_cross0.50,0,0,graphatlas_c,0.868686854839325,certificate
atlas_het,node_classification,ov0.55_cross0.00,0,0,graphatlas_c,0.8484848737716675,certificate
atlas_het,node_classification,ov0.55_cross0.15,0,0,graphatlas_c,0.8484848737716675,certificate
atlas_het,node_classification,ov0.55_cross0.30,0,0,graphatlas_c,0.8484848737716675,certificate
atlas_het,node_classification,ov0.55_cross0.50,0,0,graphatlas_c,0.8484848737716675,certificate
atlas_het,node_classification,ov0.10_cross0.00,0,0,graphatlas_c,0.8989899158477783,certificate
atlas_het,node_classification,ov0.10_cross0.15,0,0,graphatlas_c,0.8989899158477783,certificate
atlas_het,node_classification,ov0.10_cross0.30,0,0,graphatlas_c,0.8989899158477783,certificate
atlas_het,node_classification,ov0.10_cross0.50,1,0,graphatlas_c,0.8163265585899353,certificate
atlas_het,node_classification,ov0.25_cross0.00,1,0,graphatlas_c,0.8061224222183228,certificate
atlas_het,node_classification,ov0.25_cross0.15,1,0,graphatlas_c,0.8061224222183228,certificate
atlas_het,node_classification,ov0.25_cross0.30,1,0,graphatlas_c,0.8061224222183228,certificate
atlas_het,node_classification,ov0.25_cross0.50,1,0,graphatlas_c,0.8061224222183228,certificate
atlas_het,node_classification,ov0.40_cross0.00,1,0,graphatlas_c,0.7653061151504517,certificate
