model,mean,std,n,ci95,metric,transform_family,strength,source,dataset,condition_id,seed,transportability_mean,distortion_mean,q_route_spread_mean,routing_entropy_mean,chart_condition_number,membership_entropy_mean
graphatlas_c,2.7939677238464355e-09,,1.0,0.0,invariance_error_affine,affine,1.0,invariance,,,,,,,,,
graphatlas_c_beta_minus_1,4.967053879312289e-09,,1.0,0.0,invariance_error_affine,affine,1.0,invariance,,,,,,,,,
graphatlas_c_coordinate_relu,0.0002158060669898,,1.0,0.0,invariance_error_affine,affine,1.0,invariance,,,,,,,,,
graphatlas_c_q_reference,3.1044085080367263e-09,,1.0,0.0,invariance_error_affine,affine,1.0,invariance,,,,,,,,,
graphatlas_c_q_shuffle_source,2.4835269396561444e-09,,1.0,0.0,invariance_error_affine,affine,1.0,invariance,,,,,,,,,
graphatlas_min_distortion,3.1044085080367263e-09,,1.0,0.0,invariance_error_affine,affine,1.0,invariance,,,,,,,,,
graphatlas_original,2.4835269396561444e-09,,1.0,0.0,invariance_error_affine,affine,1.0,invariance,,,,,,,,,
graphatlas_c,3.1044085080367263e-09,,1.0,0.0,invariance_error_nonlinear,nonlinear,1.0,invariance,,,,,,,,,
graphatlas_c_beta_minus_1,6.5192580223083504e-09,,1.0,0.0,invariance_error_nonlinear,nonlinear,1.0,invariance,,,,,,,,,
graphatlas_c_coordinate_relu,0.0003664080577436,,1.0,0.0,invariance_error_nonlinear,nonlinear,1.0,invariance,,,,,,,,,
graphatlas_c_q_reference,3.1044085080367263e-09,,1.0,0.0,invariance_error_nonlinear,nonlinear,1.0,invariance,,,,,,,,,
graphatlas_c_q_shuffle_source,2.173085933421248e-09,,1.0,0.0,invariance_error_nonlinear,nonlinear,1.0,invariance,,,,,,,,,
graphatlas_min_distortion,1.5522042540183632e-09,,1.0,0.0,invariance_error_nonlinear,nonlinear,1.0,invariance,,,,,,,,,
graphatlas_original,9.313225746154783e-10,,1.0,0.0,invariance_error_nonlinear,nonlinear,1.0,invariance,,,,,,,,,
graphatlas_c,0.0,,1.0,0.0,intervention_flip_rate_nonlinear,nonlinear,1.0,invariance,,,,,,,,,
graphatlas_c_beta_minus_1,0.0,,1.0,0.0,intervention_flip_rate_nonlinear,nonlinear,1.0,invariance,,,,,,,,,
graphatlas_c_coordinate_relu,0.0434782616794109,,1.0,0.0,intervention_flip_rate_nonlinear,nonlinear,1.0,invariance,,,,,,,,,
graphatlas_c_q_reference,0.0,,1.0,0.0,intervention_flip_rate_nonlinear,nonlinear,1.0,invariance,,,,,,,,,
graphatlas_c_q_shuffle_source,0.0,,1.0,0.0,intervention_flip_rate_nonlinear,nonlinear,1.0,invariance,,,,,,,,,
graphatlas_min_distortion,0.0,,1.0,0.0,intervention_flip_rate_nonlinear,nonlinear,1.0,invariance,,,,,,,,,
graphatlas_original,0.0,,1.0,0.0,intervention_flip_rate_nonlinear,nonlinear,1.0,invariance,,,,,,,,,
graphatlas_c,,,,,,,,diagnostics,atlas_het,smoke,0.0,0.8379942774772644,0.1620057076215744,0.2388478219509124,0.6656308174133301,1.5120257139205933,0.680010974407196
graphatlas_c_beta_minus_1,,,,,,,,diagnostics,atlas_het,smoke,0.0,0.8380190134048462,0.1619810760021209,0.2379215508699417,0.6744569540023804,1.5116459131240845,0.6798332333564758
graphatlas_c_coordinate_relu,,,,,,,,diagnostics,atlas_het,smoke,0.0,0.8322106003761292,0.1677895039319992,0.2478079497814178,0.6644569039344788,1.514151930809021,0.6794261932373047
graphatlas_c_q_reference,,,,,,,,diagnostics,atlas_het,smoke,0.0,0.8380765914916992,0.1619234383106231,0.2394320517778396,0.0,1.5089616775512695,0.6800582408905029
graphatlas_c_q_shuffle_source,,,,,,,,diagnostics,atlas_het,smoke,0.0,0.8376306891441345,0.1623693108558654,0.2392089515924453,0.6623277068138123,1.511863112449646,0.6799068450927734
graphatlas_min_distortion,,,,,,,,diagnostics,atlas_het,smoke,0.0,,,,,1.5118333101272583,0.679912269115448
graphatlas_original,,,,,,,,diagnostics,atlas_het,smoke,0.0,,,,,1.51137113571167,0.6795931458473206
