beta,mean,std,n,ci95,metric
-1.0,0.304347813129425,,1,0.0,test_metric
1.0,0.304347813129425,0.0,4,0.0,test_metric
-1.0,0.2857142984867096,,1,0.0,boundary_accuracy
1.0,0.2857142984867096,0.0,4,0.0,boundary_accuracy
-1.0,0.6744569540023804,,1,0.0,routing_entropy_mean
1.0,0.4981038570404053,0.3320720523699941,4,0.3254306113225942,routing_entropy_mean
-1.0,0.2379215508699417,,1,0.0,q_route_spread_mean
1.0,0.24132419377565378,0.004329201627327709,4,0.004242617594781155,q_route_spread_mean
-1.0,0.1619810760021209,,1,0.0,distortion_mean
1.0,0.16352199018001554,0.0028515974542855623,4,0.002794565505199851,distortion_mean
