model,mean,std,n,ci95,metric,transform_family,strength
graphatlas_c,2.7939677238464355e-09,,1,0.0,invariance_error_affine,affine,1.0
graphatlas_c_beta_minus_1,4.967053879312289e-09,,1,0.0,invariance_error_affine,affine,1.0
graphatlas_c_coordinate_relu,0.0002158060669898,,1,0.0,invariance_error_affine,affine,1.0
graphatlas_c_q_reference,3.1044085080367263e-09,,1,0.0,invariance_error_affine,affine,1.0
graphatlas_c_q_shuffle_source,2.4835269396561444e-09,,1,0.0,invariance_error_affine,affine,1.0
graphatlas_min_distortion,3.1044085080367263e-09,,1,0.0,invariance_error_affine,affine,1.0
graphatlas_original,2.4835269396561444e-09,,1,0.0,invariance_error_affine,affine,1.0
graphatlas_c,3.1044085080367263e-09,,1,0.0,invariance_error_nonlinear,nonlinear,1.0
graphatlas_c_beta_minus_1,6.5192580223083504e-09,,1,0.0,invariance_error_nonlinear,nonlinear,1.0
graphatlas_c_coordinate_relu,0.0003664080577436,,1,0.0,invariance_error_nonlinear,nonlinear,1.0
graphatlas_c_q_reference,3.1044085080367263e-09,,1,0.0,invariance_error_nonlinear,nonlinear,1.0
graphatlas_c_q_shuffle_source,2.173085933421248e-09,,1,0.0,invariance_error_nonlinear,nonlinear,1.0
graphatlas_min_distortion,1.5522042540183632e-09,,1,0.0,invariance_error_nonlinear,nonlinear,1.0
graphatlas_original,9.313225746154783e-10,,1,0.0,invariance_error_nonlinear,nonlinear,1.0
graphatlas_c,0.0,,1,0.0,intervention_flip_rate_nonlinear,nonlinear,1.0
graphatlas_c_beta_minus_1,0.0,,1,0.0,intervention_flip_rate_nonlinear,nonlinear,1.0
graphatlas_c_coordinate_relu,0.0434782616794109,,1,0.0,intervention_flip_rate_nonlinear,nonlinear,1.0
graphatlas_c_q_reference,0.0,,1,0.0,intervention_flip_rate_nonlinear,nonlinear,1.0
graphatlas_c_q_shuffle_source,0.0,,1,0.0,intervention_flip_rate_nonlinear,nonlinear,1.0
graphatlas_min_distortion,0.0,,1,0.0,intervention_flip_rate_nonlinear,nonlinear,1.0
graphatlas_original,0.0,,1,0.0,intervention_flip_rate_nonlinear,nonlinear,1.0
