dataset,task,model_graphatlas,metric_name,graphatlas_mean,graphatlas_std,graphatlas_runs,metric,source_id,paper_title,venue,year,table_id,source_url,dataset_version,feature_condition,split_protocol,model_published,mean,std,unit,n_runs,comparison_level,notes,mean_fraction,std_fraction,effective_comparison_level,compatibility_notes,delta_vs_published_mean
roman_empire,node_classification,graphatlas_free_transition,accuracy,0.7592657605806986,0.0105732939944,3,accuracy,platonov_iclr2023_official,A Critical Look at the Evaluation of GNNs under Heterophily: Are We Really Making Progress?,ICLR,2023,official results notebook,https://github.com/yandex-research/heterophilous-graphs/blob/main/notebooks/results.ipynb,hgb_iclr2023_v1,native,hgb_fixed_10,ResNet,65.88,0.38,percent,10.0,exact,Official repository aggregate. Layer count selected by validation performance.,0.6587999999999999,0.0038,exact,,0.10046576058069867
roman_empire,node_classification,graphatlas_free_transition,accuracy,0.7592657605806986,0.0105732939944,3,accuracy,platonov_iclr2023_official,A Critical Look at the Evaluation of GNNs under Heterophily: Are We Really Making Progress?,ICLR,2023,official results notebook,https://github.com/yandex-research/heterophilous-graphs/blob/main/notebooks/results.ipynb,hgb_iclr2023_v1,native,hgb_fixed_10,ResNet+SGC,73.9,0.51,percent,10.0,exact,Official repository aggregate. Layer count selected by validation performance.,0.7390000000000001,0.0051,exact,,0.02026576058069851
roman_empire,node_classification,graphatlas_free_transition,accuracy,0.7592657605806986,0.0105732939944,3,accuracy,platonov_iclr2023_official,A Critical Look at the Evaluation of GNNs under Heterophily: Are We Really Making Progress?,ICLR,2023,official results notebook,https://github.com/yandex-research/heterophilous-graphs/blob/main/notebooks/results.ipynb,hgb_iclr2023_v1,native,hgb_fixed_10,ResNet+adj,52.25,0.4,percent,10.0,exact,Official repository aggregate. Layer count selected by validation performance.,0.5225,0.004,exact,,0.23676576058069865
roman_empire,node_classification,graphatlas_free_transition,accuracy,0.7592657605806986,0.0105732939944,3,accuracy,platonov_iclr2023_official,A Critical Look at the Evaluation of GNNs under Heterophily: Are We Really Making Progress?,ICLR,2023,official results notebook,https://github.com/yandex-research/heterophilous-graphs/blob/main/notebooks/results.ipynb,hgb_iclr2023_v1,native,hgb_fixed_10,GCN,73.69,0.74,percent,10.0,exact,Official repository aggregate. Layer count selected by validation performance.,0.7369,0.0074,exact,,0.022365760580698613
roman_empire,node_classification,graphatlas_free_transition,accuracy,0.7592657605806986,0.0105732939944,3,accuracy,platonov_iclr2023_official,A Critical Look at the Evaluation of GNNs under Heterophily: Are We Really Making Progress?,ICLR,2023,official results notebook,https://github.com/yandex-research/heterophilous-graphs/blob/main/notebooks/results.ipynb,hgb_iclr2023_v1,native,hgb_fixed_10,SAGE,85.74,0.67,percent,10.0,exact,Official repository aggregate. Layer count selected by validation performance.,0.8573999999999999,0.0067,exact,,-0.09813423941930133
roman_empire,node_classification,graphatlas_free_transition,accuracy,0.7592657605806986,0.0105732939944,3,accuracy,platonov_iclr2023_official,A Critical Look at the Evaluation of GNNs under Heterophily: Are We Really Making Progress?,ICLR,2023,official results notebook,https://github.com/yandex-research/heterophilous-graphs/blob/main/notebooks/results.ipynb,hgb_iclr2023_v1,native,hgb_fixed_10,GAT,80.87,0.3,percent,10.0,exact,Official repository aggregate. Layer count selected by validation performance.,0.8087000000000001,0.003,exact,,-0.04943423941930147
roman_empire,node_classification,graphatlas_free_transition,accuracy,0.7592657605806986,0.0105732939944,3,accuracy,platonov_iclr2023_official,A Critical Look at the Evaluation of GNNs under Heterophily: Are We Really Making Progress?,ICLR,2023,official results notebook,https://github.com/yandex-research/heterophilous-graphs/blob/main/notebooks/results.ipynb,hgb_iclr2023_v1,native,hgb_fixed_10,GAT-sep,88.75,0.41,percent,10.0,exact,Official repository aggregate. Layer count selected by validation performance.,0.8875,0.0040999999999999995,exact,,-0.12823423941930134
roman_empire,node_classification,graphatlas_free_transition,accuracy,0.7592657605806986,0.0105732939944,3,accuracy,platonov_iclr2023_official,A Critical Look at the Evaluation of GNNs under Heterophily: Are We Really Making Progress?,ICLR,2023,official results notebook,https://github.com/yandex-research/heterophilous-graphs/blob/main/notebooks/results.ipynb,hgb_iclr2023_v1,native,hgb_fixed_10,GT,86.51,0.73,percent,10.0,exact,Official repository aggregate. Layer count selected by validation performance.,0.8651000000000001,0.0073,exact,,-0.10583423941930148
roman_empire,node_classification,graphatlas_free_transition,accuracy,0.7592657605806986,0.0105732939944,3,accuracy,platonov_iclr2023_official,A Critical Look at the Evaluation of GNNs under Heterophily: Are We Really Making Progress?,ICLR,2023,official results notebook,https://github.com/yandex-research/heterophilous-graphs/blob/main/notebooks/results.ipynb,hgb_iclr2023_v1,native,hgb_fixed_10,GT-sep,87.32,0.39,percent,10.0,exact,Official repository aggregate. Layer count selected by validation performance.,0.8732,0.0039000000000000003,exact,,-0.11393423941930136
roman_empire,node_classification,graphatlas_no_cocycle,accuracy,0.7656782865524292,0.010496893127131937,3,accuracy,platonov_iclr2023_official,A Critical Look at the Evaluation of GNNs under Heterophily: Are We Really Making Progress?,ICLR,2023,official results notebook,https://github.com/yandex-research/heterophilous-graphs/blob/main/notebooks/results.ipynb,hgb_iclr2023_v1,native,hgb_fixed_10,ResNet,65.88,0.38,percent,10.0,exact,Official repository aggregate. Layer count selected by validation performance.,0.6587999999999999,0.0038,exact,,0.10687828655242926
