dataset,task,model,model_family,seed,split,metric_name,train_metric,val_metric,test_metric,best_epoch,last_epoch,runtime_seconds,parameters,device,num_nodes,num_edges,peak_cuda_memory_bytes
atlas_het,node_classification,graphatlas_c_beta_-1,graphatlas_certified,0,0,accuracy,0.9512194991111755,0.7553191781044006,0.9090909361839294,65,90,18.599909782409668,64834,cpu,480,6540,0
atlas_het,node_classification,graphatlas_c_beta_-1,graphatlas_certified,0,0,accuracy,0.9512194991111755,0.7553191781044006,0.9090909361839294,65,90,18.681874752044678,64834,cpu,480,6540,0
atlas_het,node_classification,graphatlas_c_beta_-1,graphatlas_certified,0,0,accuracy,0.9512194991111755,0.7553191781044006,0.9090909361839294,65,90,18.513110637664795,64834,cpu,480,6540,0
atlas_het,node_classification,graphatlas_c_beta_-1,graphatlas_certified,1,0,accuracy,0.891986072063446,0.821052610874176,0.8163265585899353,50,75,15.296189069747925,64834,cpu,480,6456,0
atlas_het,node_classification,graphatlas_c_beta_-1,graphatlas_certified,1,0,accuracy,0.891986072063446,0.821052610874176,0.8163265585899353,50,75,15.355329513549805,64834,cpu,480,6456,0
atlas_het,node_classification,graphatlas_c_beta_-1,graphatlas_certified,1,0,accuracy,0.891986072063446,0.821052610874176,0.8163265585899353,50,75,15.383187770843506,64834,cpu,480,6456,0
atlas_het,node_classification,graphatlas_c_beta_-1,graphatlas_certified,2,0,accuracy,0.9268292784690857,0.800000011920929,0.7346938848495483,65,90,18.25077795982361,64834,cpu,480,6506,0
atlas_het,node_classification,graphatlas_c_beta_-1,graphatlas_certified,2,0,accuracy,0.9268292784690857,0.800000011920929,0.7346938848495483,65,90,18.344642639160156,64834,cpu,480,6506,0
atlas_het,node_classification,graphatlas_c_beta_-1,graphatlas_certified,2,0,accuracy,0.9268292784690857,0.800000011920929,0.7346938848495483,65,90,18.33250093460083,64834,cpu,480,6506,0
atlas_het,node_classification,graphatlas_c_beta_-1,graphatlas_certified,3,0,accuracy,0.9233449697494507,0.821052610874176,0.704081654548645,50,75,15.279368877410889,64834,cpu,480,6486,0
atlas_het,node_classification,graphatlas_c_beta_-1,graphatlas_certified,3,0,accuracy,0.9233449697494507,0.821052610874176,0.704081654548645,50,75,15.438860177993774,64834,cpu,480,6486,0
atlas_het,node_classification,graphatlas_c_beta_-1,graphatlas_certified,3,0,accuracy,0.9233449697494507,0.821052610874176,0.704081654548645,50,75,15.403611660003662,64834,cpu,480,6486,0
atlas_het,node_classification,graphatlas_c_beta_-1,graphatlas_certified,4,0,accuracy,0.9581881761550903,0.800000011920929,0.8061224222183228,60,85,17.37334442138672,64834,cpu,480,6552,0
atlas_het,node_classification,graphatlas_c_beta_-1,graphatlas_certified,4,0,accuracy,0.9581881761550903,0.800000011920929,0.8061224222183228,60,85,17.44809365272522,64834,cpu,480,6552,0
atlas_het,node_classification,graphatlas_c_beta_-1,graphatlas_certified,4,0,accuracy,0.9581881761550903,0.800000011920929,0.8061224222183228,60,85,17.61129331588745,64834,cpu,480,6552,0
atlas_het,node_classification,graphatlas_c_beta_-2,graphatlas_certified,0,0,accuracy,0.9616724848747253,0.7765957713127136,0.8989899158477783,90,115,23.921289920806885,64834,cpu,480,6540,0
atlas_het,node_classification,graphatlas_c_beta_-2,graphatlas_certified,0,0,accuracy,0.9616724848747253,0.7765957713127136,0.8989899158477783,90,115,23.42477011680603,64834,cpu,480,6540,0
atlas_het,node_classification,graphatlas_c_beta_-2,graphatlas_certified,0,0,accuracy,0.9616724848747253,0.7765957713127136,0.8989899158477783,90,115,23.56964111328125,64834,cpu,480,6540,0
atlas_het,node_classification,graphatlas_c_beta_-2,graphatlas_certified,1,0,accuracy,0.9651567935943604,0.8526315689086914,0.8673469424247742,75,100,20.601698398590088,64834,cpu,480,6456,0
atlas_het,node_classification,graphatlas_c_beta_-2,graphatlas_certified,1,0,accuracy,0.9651567935943604,0.8526315689086914,0.8673469424247742,75,100,20.418076515197754,64834,cpu,480,6456,0
atlas_het,node_classification,graphatlas_c_beta_-2,graphatlas_certified,1,0,accuracy,0.9651567935943604,0.8526315689086914,0.8673469424247742,75,100,20.338666677474976,64834,cpu,480,6456,0
atlas_het,node_classification,graphatlas_c_beta_-2,graphatlas_certified,2,0,accuracy,0.888501763343811,0.8315789699554443,0.704081654548645,60,85,17.513609170913696,64834,cpu,480,6506,0
atlas_het,node_classification,graphatlas_c_beta_-2,graphatlas_certified,2,0,accuracy,0.888501763343811,0.8315789699554443,0.704081654548645,60,85,17.507529497146606,64834,cpu,480,6506,0
atlas_het,node_classification,graphatlas_c_beta_-2,graphatlas_certified,2,0,accuracy,0.888501763343811,0.8315789699554443,0.704081654548645,60,85,17.452266454696655,64834,cpu,480,6506,0
atlas_het,node_classification,graphatlas_c_beta_-2,graphatlas_certified,3,0,accuracy,0.9163762927055359,0.821052610874176,0.6938775777816772,40,65,13.560182332992554,64834,cpu,480,6486,0
atlas_het,node_classification,graphatlas_c_beta_-2,graphatlas_certified,3,0,accuracy,0.9163762927055359,0.821052610874176,0.6938775777816772,40,65,13.664517879486084,64834,cpu,480,6486,0
atlas_het,node_classification,graphatlas_c_beta_-2,graphatlas_certified,3,0,accuracy,0.9163762927055359,0.821052610874176,0.6938775777816772,40,65,13.445703744888306,64834,cpu,480,6486,0
atlas_het,node_classification,graphatlas_c_beta_-2,graphatlas_certified,4,0,accuracy,0.9372822046279907,0.821052610874176,0.8061224222183228,60,85,17.681775093078613,64834,cpu,480,6552,0
atlas_het,node_classification,graphatlas_c_beta_-2,graphatlas_certified,4,0,accuracy,0.9372822046279907,0.821052610874176,0.8061224222183228,60,85,17.59924006462097,64834,cpu,480,6552,0
atlas_het,node_classification,graphatlas_c_beta_-2,graphatlas_certified,4,0,accuracy,0.9372822046279907,0.821052610874176,0.8061224222183228,60,85,17.464945316314697,64834,cpu,480,6552,0
atlas_het,node_classification,graphatlas_c_beta_0,graphatlas_certified,0,0,accuracy,0.9721254110336304,0.7872340679168701,0.8585858345031738,90,115,21.75165343284607,64834,cpu,480,6540,0
atlas_het,node_classification,graphatlas_c_beta_0,graphatlas_certified,0,0,accuracy,0.9721254110336304,0.7872340679168701,0.8585858345031738,90,115,21.83385157585144,64834,cpu,480,6540,0
atlas_het,node_classification,graphatlas_c_beta_0,graphatlas_certified,0,0,accuracy,0.9721254110336304,0.7872340679168701,0.8585858345031738,90,115,22.047412395477295,64834,cpu,480,6540,0
atlas_het,node_classification,graphatlas_c_beta_0,graphatlas_certified,1,0,accuracy,0.8815330862998962,0.8105263113975525,0.8163265585899353,50,75,14.332685470581055,64834,cpu,480,6456,0
atlas_het,node_classification,graphatlas_c_beta_0,graphatlas_certified,1,0,accuracy,0.8815330862998962,0.8105263113975525,0.8163265585899353,50,75,14.344468593597412,64834,cpu,480,6456,0
atlas_het,node_classification,graphatlas_c_beta_0,graphatlas_certified,1,0,accuracy,0.8815330862998962,0.8105263113975525,0.8163265585899353,50,75,14.49359393119812,64834,cpu,480,6456,0
atlas_het,node_classification,graphatlas_c_beta_0,graphatlas_certified,2,0,accuracy,0.9268292784690857,0.8315789699554443,0.704081654548645,65,90,17.23168134689331,64834,cpu,480,6506,0
atlas_het,node_classification,graphatlas_c_beta_0,graphatlas_certified,2,0,accuracy,0.9268292784690857,0.8315789699554443,0.704081654548645,65,90,17.127154111862183,64834,cpu,480,6506,0
atlas_het,node_classification,graphatlas_c_beta_0,graphatlas_certified,2,0,accuracy,0.9268292784690857,0.8315789699554443,0.704081654548645,65,90,17.2787983417511,64834,cpu,480,6506,0
atlas_het,node_classification,graphatlas_c_beta_0,graphatlas_certified,3,0,accuracy,0.9407665729522705,0.8315789699554443,0.7346938848495483,60,85,16.29547691345215,64834,cpu,480,6486,0
atlas_het,node_classification,graphatlas_c_beta_0,graphatlas_certified,3,0,accuracy,0.9407665729522705,0.8315789699554443,0.7346938848495483,60,85,16.191317081451416,64834,cpu,480,6486,0
atlas_het,node_classification,graphatlas_c_beta_0,graphatlas_certified,3,0,accuracy,0.9407665729522705,0.8315789699554443,0.7346938848495483,60,85,16.23586940765381,64834,cpu,480,6486,0
atlas_het,node_classification,graphatlas_c_beta_0,graphatlas_certified,4,0,accuracy,0.9790940880775452,0.8315789699554443,0.8061224222183228,85,110,20.936082363128662,64834,cpu,480,6552,0
atlas_het,node_classification,graphatlas_c_beta_0,graphatlas_certified,4,0,accuracy,0.9790940880775452,0.8315789699554443,0.8061224222183228,85,110,21.07701301574707,64834,cpu,480,6552,0
atlas_het,node_classification,graphatlas_c_beta_0,graphatlas_certified,4,0,accuracy,0.9790940880775452,0.8315789699554443,0.8061224222183228,85,110,21.005701303482056,64834,cpu,480,6552,0
atlas_het,node_classification,graphatlas_c_beta_0.5,graphatlas_certified,0,0,accuracy,0.9128919839859009,0.7340425252914429,0.8989899158477783,50,75,15.50059986114502,64834,cpu,480,6540,0
atlas_het,node_classification,graphatlas_c_beta_0.5,graphatlas_certified,0,0,accuracy,0.9128919839859009,0.7340425252914429,0.8989899158477783,50,75,15.68523359298706,64834,cpu,480,6540,0
atlas_het,node_classification,graphatlas_c_beta_0.5,graphatlas_certified,0,0,accuracy,0.9128919839859009,0.7340425252914429,0.8989899158477783,50,75,15.420552253723145,64834,cpu,480,6540,0
atlas_het,node_classification,graphatlas_c_beta_0.5,graphatlas_certified,1,0,accuracy,0.888501763343811,0.8315789699554443,0.8265306353569031,50,75,15.40766954421997,64834,cpu,480,6456,0
atlas_het,node_classification,graphatlas_c_beta_0.5,graphatlas_certified,1,0,accuracy,0.888501763343811,0.8315789699554443,0.8265306353569031,50,75,15.60392951965332,64834,cpu,480,6456,0
atlas_het,node_classification,graphatlas_c_beta_0.5,graphatlas_certified,1,0,accuracy,0.888501763343811,0.8315789699554443,0.8265306353569031,50,75,15.48627519607544,64834,cpu,480,6456,0
atlas_het,node_classification,graphatlas_c_beta_0.5,graphatlas_certified,2,0,accuracy,0.9442508816719055,0.8315789699554443,0.7244898080825806,70,95,19.38017964363098,64834,cpu,480,6506,0
atlas_het,node_classification,graphatlas_c_beta_0.5,graphatlas_certified,2,0,accuracy,0.9442508816719055,0.8315789699554443,0.7244898080825806,70,95,19.544581413269043,64834,cpu,480,6506,0
atlas_het,node_classification,graphatlas_c_beta_0.5,graphatlas_certified,2,0,accuracy,0.9442508816719055,0.8315789699554443,0.7244898080825806,70,95,19.9448721408844,64834,cpu,480,6506,0
atlas_het,node_classification,graphatlas_c_beta_0.5,graphatlas_certified,3,0,accuracy,0.895470380783081,0.800000011920929,0.704081654548645,40,65,13.362295866012573,64834,cpu,480,6486,0
atlas_het,node_classification,graphatlas_c_beta_0.5,graphatlas_certified,3,0,accuracy,0.895470380783081,0.800000011920929,0.704081654548645,40,65,13.402946949005127,64834,cpu,480,6486,0
atlas_het,node_classification,graphatlas_c_beta_0.5,graphatlas_certified,3,0,accuracy,0.895470380783081,0.800000011920929,0.704081654548645,40,65,13.683982133865356,64834,cpu,480,6486,0
atlas_het,node_classification,graphatlas_c_beta_0.5,graphatlas_certified,4,0,accuracy,0.9756097793579102,0.8315789699554443,0.8061224222183228,85,110,22.59634780883789,64834,cpu,480,6552,0
atlas_het,node_classification,graphatlas_c_beta_0.5,graphatlas_certified,4,0,accuracy,0.9756097793579102,0.8315789699554443,0.8061224222183228,85,110,22.327964305877686,64834,cpu,480,6552,0
atlas_het,node_classification,graphatlas_c_beta_0.5,graphatlas_certified,4,0,accuracy,0.9756097793579102,0.8315789699554443,0.8061224222183228,85,110,22.675386905670166,64834,cpu,480,6552,0
atlas_het,node_classification,graphatlas_c_beta_1,graphatlas_certified,0,0,accuracy,0.9128919839859009,0.7553191781044006,0.8989899158477783,50,75,15.780659675598145,64834,cpu,480,6540,0
atlas_het,node_classification,graphatlas_c_beta_1,graphatlas_certified,0,0,accuracy,0.9128919839859009,0.7553191781044006,0.8989899158477783,50,75,15.399808883666992,64834,cpu,480,6540,0
atlas_het,node_classification,graphatlas_c_beta_1,graphatlas_certified,0,0,accuracy,0.9128919839859009,0.7553191781044006,0.8989899158477783,50,75,15.597304344177246,64834,cpu,480,6540,0
atlas_het,node_classification,graphatlas_c_beta_1,graphatlas_certified,1,0,accuracy,0.895470380783081,0.8315789699554443,0.8163265585899353,50,75,15.601919412612915,64834,cpu,480,6456,0
atlas_het,node_classification,graphatlas_c_beta_1,graphatlas_certified,1,0,accuracy,0.895470380783081,0.8315789699554443,0.8163265585899353,50,75,15.406301021575928,64834,cpu,480,6456,0
atlas_het,node_classification,graphatlas_c_beta_1,graphatlas_certified,1,0,accuracy,0.895470380783081,0.8315789699554443,0.8163265585899353,50,75,15.523437738418579,64834,cpu,480,6456,0
atlas_het,node_classification,graphatlas_c_beta_1,graphatlas_certified,2,0,accuracy,0.9337978959083557,0.8315789699554443,0.7448979616165161,80,105,21.53406047821045,64834,cpu,480,6506,0
