dataset,task,model,model_family,seed,split,metric_name,train_metric,val_metric,test_metric,best_epoch,last_epoch,runtime_seconds,parameters,device,num_nodes,num_edges,peak_cuda_memory_bytes
actor,node_classification,graphatlas,graphatlas,0,0,accuracy,0.445723682641983,0.3708881437778473,0.3782894611358642,35,115,197.0737998485565,446821,cpu,7600,53411,0
amazon_ratings,node_classification,graphatlas,graphatlas,0,0,accuracy,0.6019108295440674,0.4487996101379394,0.4527192413806915,335,400,2504.7514946460724,264805,cpu,24492,186100,0
citeseer,node_classification,graphatlas,graphatlas,0,0,accuracy,1.0,0.6100000143051147,0.5659999847412109,85,165,110.37487649917604,1216995,cpu,3327,9104,0
coauthor_cs,node_classification,graphatlas,graphatlas,0,0,accuracy,1.0,0.9410962462425232,0.93727844953537,170,250,1653.3904275894165,2139215,cpu,18333,163788,0
coauthor_physics,node_classification,graphatlas,graphatlas,0,0,accuracy,0.9954095482826232,0.9675315022468568,0.9711552262306212,75,155,2717.9156420230865,2601925,cpu,34493,495924,0
cora,node_classification,graphatlas,graphatlas,0,0,accuracy,1.0,0.7039999961853027,0.6990000009536743,120,200,147.02220797538757,563332,cpu,2708,10556,0
dblp,node_classification,graphatlas,graphatlas,0,0,accuracy,1.0,0.7674999833106995,0.7767884731292725,85,165,1467.725172042847,1396836,cpu,26128,239566,0
minesweeper,node_classification,graphatlas,graphatlas,0,0,roc_auc,0.8985154999999999,0.874131,0.8802710000000001,365,400,836.8352649211884,180130,cpu,10000,78804,0
pubmed,node_classification,graphatlas,graphatlas,0,0,accuracy,1.0,0.7480000257492065,0.7129999995231628,135,215,863.5721077919006,294240,cpu,19717,88648,0
questions,node_classification,graphatlas,graphatlas,0,0,roc_auc,0.8392117659283376,0.7559535643570072,0.7611640487729416,180,260,4489.182467699051,264802,cpu,48921,307080,0
roman_empire,node_classification,graphatlas,graphatlas,0,0,accuracy,0.9241020083427428,0.7733451128005981,0.7599717378616333,360,400,2402.752155303955,266066,cpu,22662,65854,0
