source_id,paper_title,venue,year,table_id,source_url,dataset,dataset_version,task,metric,feature_condition,split_protocol,model,mean,std,unit,n_runs,comparison_level,notes,mean_fraction,std_fraction
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_cornell,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,GCN,51.43,4.9,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.5143,0.049
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_texas,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,GCN,54.09,1.7,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.5409,0.017
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_wisconsin,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,GCN,53.68,3.4,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.5367999999999999,0.034
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_actor,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,GCN,63.33,1.3,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.6333,0.013000000000000001
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_amazon,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,GCN,43.97,0.3,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.4397,0.003
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_cornell,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,GraphSAGE,71.43,1.9,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.7143,0.019
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_texas,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,GraphSAGE,68.18,0.2,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.6818000000000001,0.002
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_wisconsin,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,GraphSAGE,71.35,4.1,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.7134999999999999,0.040999999999999995
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_actor,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,GraphSAGE,71.09,0.4,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.7109000000000001,0.004
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_amazon,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,GraphSAGE,47.98,0.3,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.47979999999999995,0.003
