epoch,val_metric,train_metric,val_accuracy,train_accuracy,task,reconstruction,cocycle,inverse_cycle,path_consistency,triple_cocycle,metric,metric_direction_error,metric_scale_error,chart_rank,chart_min_relative_singular_value,chart_condition_number,cover,balance,sparsity,geometry,total
1,0.3484848439693451,0.37123745679855347,0.3484848439693451,0.37123745679855347,1.100869059562683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.100869059562683
5,0.44949495792388916,0.42976588010787964,0.44949495792388916,0.42976588010787964,1.075243592262268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.075243592262268
10,0.4545454680919647,0.47826087474823,0.4545454680919647,0.47826087474823,1.0228694677352905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0228694677352905
15,0.43939393758773804,0.5033444762229919,0.43939393758773804,0.5033444762229919,0.9579653739929199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9579653739929199
20,0.47979798913002014,0.5484949946403503,0.47979798913002014,0.5484949946403503,0.8945732712745667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8945732712745667
25,0.49494948983192444,0.590300977230072,0.49494948983192444,0.590300977230072,0.8329696655273438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8329696655273438
30,0.5404040217399597,0.6270902752876282,0.5404040217399597,0.6270902752876282,0.7915146946907043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7915146946907043
35,0.5707070827484131,0.6588628888130188,0.5707070827484131,0.6588628888130188,0.7511849403381348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7511849403381348
40,0.5858585834503174,0.7090300917625427,0.5858585834503174,0.7090300917625427,0.6854549646377563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6854549646377563
45,0.6363636255264282,0.7257524728775024,0.6363636255264282,0.7257524728775024,0.6510105133056641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6510105133056641
50,0.6717171669006348,0.7558528184890747,0.6717171669006348,0.7558528184890747,0.5969144105911255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5969144105911255
55,0.6818181872367859,0.7809364199638367,0.6818181872367859,0.7809364199638367,0.5455341339111328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5455341339111328
60,0.7020202279090881,0.8060200810432434,0.7020202279090881,0.8060200810432434,0.5271874070167542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5271874070167542
65,0.6868686676025391,0.8277592062950134,0.6868686676025391,0.8277592062950134,0.4419688284397125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4419688284397125
70,0.6868686676025391,0.8478260636329651,0.6868686676025391,0.8478260636329651,0.411778062582016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.411778062582016
