epoch,val_metric,train_metric,val_accuracy,train_accuracy,task,reconstruction,cocycle,inverse_cycle,path_consistency,triple_cocycle,metric,metric_direction_error,metric_scale_error,chart_rank,chart_min_relative_singular_value,chart_condition_number,cover,balance,sparsity,geometry,total
1,0.39393940567970276,0.41304346919059753,0.39393940567970276,0.41304346919059753,1.1030837297439575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1030837297439575
5,0.4292929172515869,0.43478259444236755,0.4292929172515869,0.43478259444236755,1.0853281021118164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0853281021118164
10,0.44949495792388916,0.47826087474823,0.44949495792388916,0.47826087474823,1.0235446691513062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0235446691513062
15,0.5050504803657532,0.5535116791725159,0.5050504803657532,0.5535116791725159,0.9537522196769714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9537522196769714
20,0.5303030014038086,0.5953177213668823,0.5303030014038086,0.5953177213668823,0.8884999752044678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8884999752044678
25,0.5656565427780151,0.6421404480934143,0.5656565427780151,0.6421404480934143,0.812740683555603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.812740683555603
30,0.5909090638160706,0.6505016684532166,0.5909090638160706,0.6505016684532166,0.7590140700340271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7590140700340271
35,0.6666666865348816,0.6789297461509705,0.6666666865348816,0.6789297461509705,0.6993927955627441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6993927955627441
40,0.6666666865348816,0.7307692170143127,0.6666666865348816,0.7307692170143127,0.647530734539032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.647530734539032
45,0.691919207572937,0.7709029912948608,0.691919207572937,0.7709029912948608,0.616603672504425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.616603672504425
50,0.691919207572937,0.7892976403236389,0.691919207572937,0.7892976403236389,0.5568664073944092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5568664073944092
55,0.691919207572937,0.8093645572662354,0.691919207572937,0.8093645572662354,0.5365399718284607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5365399718284607
60,0.6818181872367859,0.807692289352417,0.6818181872367859,0.807692289352417,0.45329269766807556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45329269766807556
65,0.7070707082748413,0.8143812417984009,0.7070707082748413,0.8143812417984009,0.45321589708328247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45321589708328247
70,0.691919207572937,0.8394649028778076,0.691919207572937,0.8394649028778076,0.4413186311721802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4413186311721802
75,0.6818181872367859,0.854515016078949,0.6818181872367859,0.854515016078949,0.4190177321434021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4190177321434021
80,0.6969696879386902,0.8795986771583557,0.6969696879386902,0.8795986771583557,0.40237003564834595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40237003564834595
85,0.7272727489471436,0.8862876296043396,0.7272727489471436,0.8862876296043396,0.34985825419425964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34985825419425964
90,0.6969696879386902,0.9063544869422913,0.6969696879386902,0.9063544869422913,0.34985482692718506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34985482692718506
95,0.6868686676025391,0.8896321058273315,0.6868686676025391,0.8896321058273315,0.33202335238456726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33202335238456726
100,0.7070707082748413,0.9080267548561096,0.7070707082748413,0.9080267548561096,0.35172733664512634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35172733664512634
105,0.7020202279090881,0.9214046597480774,0.7020202279090881,0.9214046597480774,0.30369046330451965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30369046330451965
110,0.6868686676025391,0.9280936121940613,0.6868686676025391,0.9280936121940613,0.29514357447624207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29514357447624207
115,0.7323232293128967,0.9331103563308716,0.7323232293128967,0.9331103563308716,0.25301000475883484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25301000475883484
120,0.7121211886405945,0.9331103563308716,0.7121211886405945,0.9331103563308716,0.22089345753192902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22089345753192902
125,0.7323232293128967,0.9464882612228394,0.7323232293128967,0.9464882612228394,0.205330953001976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.205330953001976
130,0.6868686676025391,0.9481605291366577,0.6868686676025391,0.9481605291366577,0.20431318879127502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20431318879127502
135,0.7121211886405945,0.953177273273468,0.7121211886405945,0.953177273273468,0.20325225591659546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20325225591659546
140,0.7424242496490479,0.9481605291366577,0.7424242496490479,0.9481605291366577,0.19190944731235504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19190944731235504
145,0.691919207572937,0.9581939578056335,0.691919207572937,0.9581939578056335,0.2193850725889206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2193850725889206
150,0.7272727489471436,0.9598662257194519,0.7272727489471436,0.9598662257194519,0.1921090930700302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1921090930700302
