epoch,val_metric,train_metric,val_accuracy,train_accuracy,task,reconstruction,cocycle,inverse_cycle,path_consistency,triple_cocycle,metric,metric_direction_error,metric_scale_error,chart_rank,chart_min_relative_singular_value,chart_condition_number,cover,balance,sparsity,geometry,total
1,0.3333333432674408,0.3913043439388275,0.3333333432674408,0.3913043439388275,1.102590799331665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.102590799331665
5,0.44949495792388916,0.47993311285972595,0.44949495792388916,0.47993311285972595,1.0771431922912598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0771431922912598
10,0.47979798913002014,0.5117056965827942,0.47979798913002014,0.5117056965827942,1.049543857574463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.049543857574463
15,0.469696968793869,0.5100334286689758,0.469696968793869,0.5100334286689758,1.0202714204788208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0202714204788208
20,0.47979798913002014,0.5183946490287781,0.47979798913002014,0.5183946490287781,0.989864706993103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.989864706993103
25,0.4898989796638489,0.525083601474762,0.4898989796638489,0.525083601474762,0.9568060040473938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9568060040473938
30,0.4848484992980957,0.5384615063667297,0.4848484992980957,0.5384615063667297,0.9203091263771057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9203091263771057
35,0.5,0.5836120247840881,0.5,0.5836120247840881,0.8778821229934692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8778821229934692
40,0.5,0.612040102481842,0.5,0.612040102481842,0.8400039672851562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8400039672851562
45,0.5202020406723022,0.6454849243164062,0.5202020406723022,0.6454849243164062,0.7956149578094482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7956149578094482
50,0.5404040217399597,0.6755852699279785,0.5404040217399597,0.6755852699279785,0.7528049945831299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7528049945831299
55,0.5656565427780151,0.7023411393165588,0.5656565427780151,0.7023411393165588,0.7083088755607605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7083088755607605
60,0.6111111044883728,0.7207357883453369,0.6111111044883728,0.7207357883453369,0.6698821783065796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6698821783065796
65,0.6111111044883728,0.7491638660430908,0.6111111044883728,0.7491638660430908,0.6187614798545837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6187614798545837
70,0.6262626051902771,0.7709029912948608,0.6262626051902771,0.7709029912948608,0.5886930823326111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5886930823326111
75,0.6616161465644836,0.7876254320144653,0.6616161465644836,0.7876254320144653,0.5513270497322083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5513270497322083
80,0.6515151262283325,0.8026756048202515,0.6515151262283325,0.8026756048202515,0.5251182913780212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5251182913780212
85,0.6818181872367859,0.8093645572662354,0.6818181872367859,0.8093645572662354,0.49020615220069885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49020615220069885
90,0.691919207572937,0.8244147300720215,0.691919207572937,0.8244147300720215,0.4673200249671936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4673200249671936
95,0.7070707082748413,0.8311036825180054,0.7070707082748413,0.8311036825180054,0.447049617767334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.447049617767334
100,0.7121211886405945,0.8494983315467834,0.7121211886405945,0.8494983315467834,0.42504897713661194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42504897713661194
105,0.7121211886405945,0.8528428077697754,0.7121211886405945,0.8528428077697754,0.40328723192214966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40328723192214966
110,0.7070707082748413,0.8628762364387512,0.7070707082748413,0.8628762364387512,0.38295143842697144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38295143842697144
115,0.7070707082748413,0.872909665107727,0.7070707082748413,0.872909665107727,0.35976454615592957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35976454615592957
120,0.7020202279090881,0.8779264092445374,0.7020202279090881,0.8779264092445374,0.35176876187324524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35176876187324524
125,0.7070707082748413,0.8812708854675293,0.7070707082748413,0.8812708854675293,0.33814311027526855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33814311027526855
130,0.7121211886405945,0.8795986771583557,0.7121211886405945,0.8795986771583557,0.3345125615596771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3345125615596771
135,0.6969696879386902,0.8879598379135132,0.6969696879386902,0.8879598379135132,0.32552677392959595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32552677392959595
140,0.7070707082748413,0.8946488499641418,0.7070707082748413,0.8946488499641418,0.3060304522514343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3060304522514343
