epoch,val_metric,train_metric,val_accuracy,train_accuracy,task,reconstruction,cocycle,inverse_cycle,path_consistency,triple_cocycle,metric,metric_direction_error,metric_scale_error,chart_rank,chart_min_relative_singular_value,chart_condition_number,cover,balance,sparsity,geometry,total
1,0.3604060709476471,0.39632105827331543,0.3604060709476471,0.39632105827331543,1.0990508794784546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0990508794784546
5,0.3857868015766144,0.4548494815826416,0.3857868015766144,0.4548494815826416,1.0751367807388306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0751367807388306
10,0.4111675024032593,0.48662206530570984,0.4111675024032593,0.48662206530570984,1.0491466522216797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0491466522216797
15,0.4365482032299042,0.5083612203598022,0.4365482032299042,0.5083612203598022,1.024160623550415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.024160623550415
20,0.44162434339523315,0.5351170301437378,0.44162434339523315,0.5351170301437378,0.9950425624847412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9950425624847412
25,0.4822334945201874,0.5602006912231445,0.4822334945201874,0.5602006912231445,0.963610827922821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.963610827922821
30,0.48730963468551636,0.5802675485610962,0.48730963468551636,0.5802675485610962,0.9309547543525696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9309547543525696
35,0.5279187560081482,0.593645453453064,0.5279187560081482,0.593645453453064,0.8963786363601685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8963786363601685
40,0.5380710363388062,0.6170568466186523,0.5380710363388062,0.6170568466186523,0.8658655285835266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8658655285835266
45,0.5329949259757996,0.6254180669784546,0.5329949259757996,0.6254180669784546,0.8344742655754089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8344742655754089
50,0.5532994866371155,0.6471571922302246,0.5532994866371155,0.6471571922302246,0.7934784293174744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7934784293174744
55,0.5685279369354248,0.6722407937049866,0.5685279369354248,0.6722407937049866,0.7554215788841248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7554215788841248
60,0.5634517669677734,0.7056856155395508,0.5634517669677734,0.7056856155395508,0.712615430355072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.712615430355072
65,0.5685279369354248,0.7307692170143127,0.5685279369354248,0.7307692170143127,0.6710020899772644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6710020899772644
70,0.5837563276290894,0.7525083422660828,0.5837563276290894,0.7525083422660828,0.6438973546028137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6438973546028137
75,0.6192893385887146,0.7591972947120667,0.6192893385887146,0.7591972947120667,0.6007950305938721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6007950305938721
80,0.6243654489517212,0.7792642116546631,0.6243654489517212,0.7792642116546631,0.5723126530647278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5723126530647278
85,0.6395938992500305,0.7809364199638367,0.6395938992500305,0.7809364199638367,0.5355618000030518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5355618000030518
90,0.6446700096130371,0.804347813129425,0.6446700096130371,0.804347813129425,0.50390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50390625
95,0.6649746298789978,0.8127090334892273,0.6649746298789978,0.8127090334892273,0.4929668605327606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4929668605327606
100,0.6548223495483398,0.8093645572662354,0.6548223495483398,0.8093645572662354,0.4704529047012329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4704529047012329
105,0.6751269102096558,0.8193979859352112,0.6751269102096558,0.8193979859352112,0.44299253821372986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44299253821372986
110,0.6751269102096558,0.8361203670501709,0.6751269102096558,0.8361203670501709,0.4220719337463379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4220719337463379
115,0.6649746298789978,0.8444815874099731,0.6649746298789978,0.8444815874099731,0.41825518012046814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41825518012046814
120,0.6548223495483398,0.8561872839927673,0.6548223495483398,0.8561872839927673,0.3967907428741455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3967907428741455
125,0.6802030205726624,0.8578595519065857,0.6802030205726624,0.8578595519065857,0.3819422721862793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3819422721862793
130,0.6751269102096558,0.8578595519065857,0.6751269102096558,0.8578595519065857,0.37506288290023804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37506288290023804
135,0.6649746298789978,0.8745819330215454,0.6649746298789978,0.8745819330215454,0.35452279448509216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35452279448509216
140,0.6548223495483398,0.8812708854675293,0.6548223495483398,0.8812708854675293,0.3669703006744385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3669703006744385
