epoch,val_metric,train_metric,val_accuracy,train_accuracy,task,reconstruction,cocycle,inverse_cycle,path_consistency,triple_cocycle,metric,metric_direction_error,metric_scale_error,chart_rank,chart_min_relative_singular_value,chart_condition_number,cover,balance,sparsity,geometry,total
1,0.3232323229312897,0.3344481587409973,0.3232323229312897,0.3344481587409973,1.1004899740219116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1004899740219116
5,0.4848484992980957,0.4598662257194519,0.4848484992980957,0.4598662257194519,1.078617811203003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.078617811203003
10,0.5,0.49163877964019775,0.5,0.49163877964019775,1.0559468269348145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0559468269348145
15,0.5101010203361511,0.4816053509712219,0.5101010203361511,0.4816053509712219,1.0290676355361938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0290676355361938
20,0.5,0.49832776188850403,0.5,0.49832776188850403,0.9982174038887024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9982174038887024
25,0.5,0.52173912525177,0.5,0.52173912525177,0.9609156847000122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9609156847000122
30,0.5505050420761108,0.5551839470863342,0.5505050420761108,0.5551839470863342,0.9214842915534973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9214842915534973
35,0.5909090638160706,0.590300977230072,0.5909090638160706,0.590300977230072,0.8804696798324585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8804696798324585
40,0.6010100841522217,0.6287625432014465,0.6010100841522217,0.6287625432014465,0.8378125429153442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8378125429153442
45,0.6010100841522217,0.6421404480934143,0.6010100841522217,0.6421404480934143,0.7929414510726929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7929414510726929
50,0.6363636255264282,0.6739130616188049,0.6363636255264282,0.6739130616188049,0.7478070855140686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7478070855140686
55,0.6515151262283325,0.6939799189567566,0.6515151262283325,0.6939799189567566,0.7075248956680298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7075248956680298
60,0.6969696879386902,0.7157190442085266,0.6969696879386902,0.7157190442085266,0.6642102003097534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6642102003097534
65,0.7121211886405945,0.7290970087051392,0.7121211886405945,0.7290970087051392,0.6270765066146851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6270765066146851
70,0.6818181872367859,0.7575250864028931,0.6818181872367859,0.7575250864028931,0.5917238593101501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5917238593101501
75,0.7020202279090881,0.7675585150718689,0.7020202279090881,0.7675585150718689,0.5509507060050964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5509507060050964
80,0.7020202279090881,0.7775919437408447,0.7020202279090881,0.7775919437408447,0.5246970057487488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5246970057487488
85,0.6969696879386902,0.8010033369064331,0.6969696879386902,0.8010033369064331,0.49213719367980957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49213719367980957
90,0.7121211886405945,0.7943143844604492,0.7121211886405945,0.7943143844604492,0.4678967297077179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4678967297077179
95,0.6767676472663879,0.8143812417984009,0.6767676472663879,0.8143812417984009,0.4665074646472931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4665074646472931
100,0.6868686676025391,0.8311036825180054,0.6868686676025391,0.8311036825180054,0.4235322177410126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4235322177410126
105,0.691919207572937,0.8411371111869812,0.691919207572937,0.8411371111869812,0.4042670428752899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4042670428752899
