epoch,val_metric,train_metric,val_accuracy,train_accuracy,task,reconstruction,cocycle,inverse_cycle,path_consistency,triple_cocycle,metric,metric_direction_error,metric_scale_error,chart_rank,chart_min_relative_singular_value,chart_condition_number,cover,balance,sparsity,geometry,total
1,0.33838382363319397,0.33946487307548523,0.33838382363319397,0.33946487307548523,1.1008998155593872,0.030700629577040672,4.3692249164450914e-05,2.180128649342805e-05,2.189096085203346e-05,0.0,3.348752737045288,1.973091959953308,13.756607055664062,0.0,0.8029172420501709,1.478144884109497,0.0,0.041544925421476364,0.09848885983228683,0.0,1.170110821723938
5,0.3737373650074005,0.37123745679855347,0.3737373650074005,0.37123745679855347,1.0950472354888916,0.009222638793289661,0.0012020724825561047,0.0007088176207616925,0.000493254920002073,0.0,0.48393118381500244,0.35321345925331116,1.3071770668029785,0.0,0.8241086602210999,1.4084172248840332,0.0,0.05119963362812996,0.09185970574617386,1.3140352964401245,1.119059443473816
10,0.5,0.4615384638309479,0.5,0.4615384638309479,1.0382686853408813,0.03014139086008072,0.02291656844317913,0.016040056943893433,0.006876511499285698,0.0,0.07782638818025589,0.06947011500597,0.0835627019405365,0.0,0.8361268639564514,1.371254324913025,0.0,0.0700356513261795,0.07591508328914642,0.812785804271698,1.0504878759384155
15,0.5252525210380554,0.546822726726532,0.5252525210380554,0.546822726726532,0.9491905570030212,0.06557171791791916,0.19928865134716034,0.1521875411272049,0.04710111394524574,0.0,0.1077948659658432,0.06320212781429291,0.44592735171318054,0.0,0.8245320320129395,1.4012057781219482,0.0,0.03826703503727913,0.0842418521642685,0.5058000683784485,0.9627595543861389
20,0.6161616444587708,0.6086956262588501,0.6161616444587708,0.6086956262588501,0.8646609783172607,0.06656476855278015,0.35630908608436584,0.2636428773403168,0.09266621619462967,0.0,0.15083681046962738,0.08444023132324219,0.66396564245224,0.0,0.7730510234832764,1.5443075895309448,0.0,0.02626550756394863,0.08390282094478607,0.7394664883613586,0.8834412097930908
25,0.6515151262283325,0.6638795733451843,0.6515151262283325,0.6638795733451843,0.7710859179496765,0.10637092590332031,0.2786101698875427,0.2162310928106308,0.06237908825278282,0.0,0.15607298910617828,0.0990038514137268,0.5706911087036133,0.0,0.735352635383606,1.6764198541641235,0.0,0.029550278559327126,0.08028257638216019,0.9304210543632507,0.7927892208099365
30,0.6464646458625793,0.7056856155395508,0.6464646458625793,0.7056856155395508,0.7002031207084656,0.12473030388355255,0.2432401478290558,0.17065268754959106,0.07258746027946472,0.0,0.18309582769870758,0.13358640670776367,0.4950941205024719,0.0,0.7279325723648071,1.697089433670044,0.0,0.03273670747876167,0.07281529903411865,0.9894200563430786,0.7236817479133606
35,0.6818181872367859,0.7408026456832886,0.6818181872367859,0.7408026456832886,0.6276379227638245,0.0942702367901802,0.20403993129730225,0.1465078890323639,0.057532038539648056,0.0,0.16203394532203674,0.11581902205944061,0.46214890480041504,0.0,0.7618132829666138,1.6083385944366455,0.0,0.03256264701485634,0.06865767389535904,0.6168494820594788,0.6448825001716614
40,0.7070707082748413,0.7775919437408447,0.7070707082748413,0.7775919437408447,0.5422624945640564,0.10762578994035721,0.1848914921283722,0.1317995935678482,0.05309189856052399,0.0,0.1674284040927887,0.12645785510540009,0.4097055494785309,0.0,0.7901149392127991,1.5647950172424316,0.0,0.03909114748239517,0.062835693359375,0.9297740459442139,0.5631795525550842
45,0.6616161465644836,0.804347813129425,0.6616161465644836,0.804347813129425,0.5082186460494995,0.10883013904094696,0.18700790405273438,0.1363437920808792,0.05066411942243576,0.0,0.16471220552921295,0.12196524441242218,0.42746973037719727,0.0,0.7205058336257935,1.782732367515564,0.0,0.03948260471224785,0.061111703515052795,0.7866886854171753,0.5277009010314941
50,0.6868686676025391,0.8444815874099731,0.6868686676025391,0.8444815874099731,0.45189499855041504,0.1079607605934143,0.15674686431884766,0.11124131828546524,0.04550553858280182,0.0,0.16673420369625092,0.12669453024864197,0.4003966748714447,3.5800560294063644e-09,0.7179533839225769,1.8146417140960693,0.0,0.038479890674352646,0.06282126158475876,0.8117329478263855,0.4712740480899811
55,0.6868686676025391,0.851170539855957,0.6868686676025391,0.851170539855957,0.4208963215351105,0.10352300852537155,0.1687335968017578,0.11270622909069061,0.0560273751616478,0.0,0.17372296750545502,0.13497480750083923,0.3874814510345459,1.411085577274207e-06,0.6769158840179443,2.0020618438720703,0.0,0.033942826092243195,0.0612100325524807,0.7468805313110352,0.4397391378879547
60,0.6969696879386902,0.8762542009353638,0.6969696879386902,0.8762542009353638,0.36667269468307495,0.10411252081394196,0.1558683216571808,0.10583315789699554,0.05003516376018524,0.0,0.16652026772499084,0.12497248500585556,0.4154776632785797,6.431371275539277e-06,0.6520351767539978,2.133878469467163,0.0,0.035479746758937836,0.05797961354255676,0.7521026730537415,0.38525617122650146
65,0.7222222089767456,0.8779264092445374,0.7222222089767456,0.8779264092445374,0.3379760682582855,0.10551802068948746,0.1512359380722046,0.10474566370248795,0.04649026691913605,0.0,0.16075082123279572,0.12038037925958633,0.403704434633255,6.686962296953425e-05,0.6636947393417358,2.2389943599700928,0.0,0.03389726206660271,0.05876137688755989,0.8658599853515625,0.35756680369377136
70,0.6868686676025391,0.8862876296043396,0.6868686676025391,0.8862876296043396,0.30444398522377014,0.11598438024520874,0.15569321811199188,0.10899066925048828,0.0467025525867939,0.0,0.17117950320243835,0.13309620320796967,0.3808330297470093,0.000118763477075845,0.6490783095359802,2.405062675476074,0.0,0.02956267073750496,0.0583079569041729,0.9258962273597717,0.3253902494907379
75,0.6717171669006348,0.9013378024101257,0.6717171669006348,0.9013378024101257,0.30786967277526855,0.11361216753721237,0.14854714274406433,0.1012062132358551,0.04734093323349953,0.0,0.14944776892662048,0.11417605727910995,0.35271716117858887,0.00013245998707134277,0.6559358239173889,2.339873790740967,0.0,0.028632057830691338,0.059718821197748184,0.8447955250740051,0.3273891508579254
80,0.7070707082748413,0.9063544869422913,0.7070707082748413,0.9063544869422913,0.2970085144042969,0.10902011394500732,0.11772318184375763,0.07995953410863876,0.037763651460409164,0.0,0.14463241398334503,0.11110381036996841,0.3352859318256378,3.4055206924676895e-05,0.6340577602386475,2.298835515975952,0.0,0.03135266900062561,0.05759383365511894,0.7931087613105774,0.3152831792831421
85,0.7222222089767456,0.9280936121940613,0.7222222089767456,0.9280936121940613,0.26372238993644714,0.12208634614944458,0.1357070505619049,0.09056032449007034,0.045146722346544266,0.0,0.18978561460971832,0.14905588328838348,0.40729716420173645,0.00013872122508473694,0.6107300519943237,2.526228427886963,0.0,0.030891448259353638,0.0589866079390049,0.9501851201057434,0.28538358211517334
90,0.6818181872367859,0.931438148021698,0.6818181872367859,0.931438148021698,0.24525007605552673,0.12078336626291275,0.11347221583127975,0.0715222880244255,0.04194992780685425,0.0,0.17547821998596191,0.13467147946357727,0.408067524433136,7.564941188320518e-05,0.6680706143379211,2.226912498474121,0.0,0.02837127260863781,0.059579502791166306,1.0081841945648193,0.26687535643577576
95,0.7070707082748413,0.9431437849998474,0.7070707082748413,0.9431437849998474,0.21694520115852356,0.12495721131563187,0.13531525433063507,0.08646417409181595,0.04885108023881912,0.0,0.15804117918014526,0.12033039331436157,0.377108097076416,0.00012453828821890056,0.6716521978378296,2.2451345920562744,0.0,0.028617680072784424,0.05790190398693085,0.8332585096359253,0.2369619756937027
100,0.7121211886405945,0.9464882612228394,0.7121211886405945,0.9464882612228394,0.22694489359855652,0.12749017775058746,0.15973666310310364,0.09883132576942444,0.0609053336083889,0.0,0.17665009200572968,0.14313730597496033,0.3351278305053711,0.00015753976185806096,0.6391709446907043,2.4559459686279297,0.0,0.030060146003961563,0.057923704385757446,1.0707851648330688,0.25020819902420044
105,0.6868686676025391,0.9598662257194519,0.6868686676025391,0.9598662257194519,0.19845327734947205,0.12972240149974823,0.1565585732460022,0.1023879274725914,0.054170653223991394,0.0,0.17937172949314117,0.14589330554008484,0.33478429913520813,0.00023475277703255415,0.6625717878341675,2.3927483558654785,0.0,0.027370726689696312,0.056798338890075684,0.9970264434814453,0.22102758288383484
