epoch,val_metric,train_metric,val_accuracy,train_accuracy,task,reconstruction,cocycle,inverse_cycle,path_consistency,triple_cocycle,metric,metric_direction_error,metric_scale_error,chart_rank,chart_min_relative_singular_value,chart_condition_number,cover,balance,sparsity,geometry,total
1,0.3299492299556732,0.3294314444065094,0.3299492299556732,0.3294314444065094,1.1020259857177734,0.027943147346377373,3.487698268145323e-05,1.25191654660739e-05,2.2357815396389924e-05,0.0,3.6391124725341797,2.0145092010498047,16.24603271484375,0.0,0.809852123260498,1.4373283386230469,0.0,0.038187868893146515,0.09697746485471725,0.0,1.1768819093704224
5,0.39086294174194336,0.3812708854675293,0.39086294174194336,0.3812708854675293,1.0955402851104736,0.0060307905077934265,0.001567769329994917,0.0008257593144662678,0.0007420100155286491,0.0,0.7856554985046387,0.6380151510238647,1.476404070854187,0.0,0.6615808010101318,1.9985336065292358,0.0,0.06375646591186523,0.08698168396949768,0.9775185585021973,1.122106671333313
10,0.39593908190727234,0.43979933857917786,0.39593908190727234,0.43979933857917786,1.0637990236282349,0.01745687425136566,0.0412135049700737,0.029407508671283722,0.011805994436144829,0.0,0.27999988198280334,0.24499571323394775,0.35004186630249023,0.0,0.40222373604774475,3.715845823287964,0.0,0.08367054909467697,0.060352422297000885,0.7723284959793091,1.0792454481124878
15,0.46700507402420044,0.5551839470863342,0.46700507402420044,0.5551839470863342,0.9846182465553284,0.035149283707141876,0.23539802432060242,0.17429988086223602,0.06109815090894699,0.0,0.23210850358009338,0.1679524928331375,0.6415600776672363,0.0009683198877610266,0.36503586173057556,4.641271591186523,0.0,0.06685785949230194,0.061402611434459686,0.7699759602546692,1.0023335218429565
20,0.5076141953468323,0.5618728995323181,0.5076141953468323,0.5618728995323181,0.9101354479789734,0.03574630618095398,0.14699716866016388,0.1124541237950325,0.03454304113984108,0.0,0.198747918009758,0.15291360020637512,0.45834338665008545,0.0021621915511786938,0.3890487253665924,5.2923173904418945,0.0,0.05431313440203667,0.061299536377191544,0.7098963856697083,0.9254118204116821
25,0.5532994866371155,0.6571906208992004,0.5532994866371155,0.6571906208992004,0.8362225294113159,0.04664880037307739,0.08769596368074417,0.06174267455935478,0.02595329098403454,0.0,0.17343631386756897,0.13230016827583313,0.4113612473011017,0.004327641800045967,0.4007394313812256,6.884803771972656,0.0,0.045016322284936905,0.059918466955423355,0.5152505040168762,0.8488806486129761
30,0.5329949259757996,0.6906354427337646,0.5329949259757996,0.6906354427337646,0.7383920550346375,0.057699739933013916,0.08036845922470093,0.05580573156476021,0.02456272393465042,0.0,0.16114918887615204,0.11495736986398697,0.4619182348251343,0.001338253845460713,0.4070523679256439,4.619492530822754,0.0,0.04210789129137993,0.05717549845576286,0.5791013836860657,0.7518501877784729
35,0.5888324975967407,0.7240802645683289,0.5888324975967407,0.7240802645683289,0.6853456497192383,0.06708680093288422,0.03940892964601517,0.023920614272356033,0.015488317236304283,0.0,0.15260054171085358,0.11573004722595215,0.3687049150466919,6.372855568770319e-05,0.40859779715538025,4.066677093505859,0.0,0.03826915845274925,0.054194286465644836,0.5829333066940308,0.6985931992530823
40,0.5532994866371155,0.739130437374115,0.5532994866371155,0.739130437374115,0.6452924609184265,0.06541626900434494,0.05244623124599457,0.028401020914316177,0.02404520846903324,0.0,0.14389626681804657,0.1179838478565216,0.25912410020828247,3.2922489481279626e-05,0.42692553997039795,3.7115888595581055,0.0,0.037976570427417755,0.051332347095012665,0.4686031937599182,0.6573390960693359
45,0.6446700096130371,0.7441471219062805,0.6446700096130371,0.7441471219062805,0.5830228328704834,0.08197087794542313,0.05079362168908119,0.028986623510718346,0.021806998178362846,0.0,0.12814480066299438,0.10551391541957855,0.2263089120388031,0.0002797145862132311,0.4307071268558502,3.7917637825012207,0.0,0.03727005049586296,0.04759733006358147,0.5673432946205139,0.5965107679367065
50,0.6446700096130371,0.785953164100647,0.6446700096130371,0.785953164100647,0.5610216856002808,0.10820798575878143,0.07297874987125397,0.045952677726745605,0.02702607400715351,0.0,0.11352622509002686,0.09411466121673584,0.19411569833755493,0.00023562322894576937,0.45353108644485474,3.6443819999694824,0.0,0.03380022570490837,0.04921698942780495,0.9760589599609375,0.5798807144165039
55,0.6954314708709717,0.8227424621582031,0.6954314708709717,0.8227424621582031,0.5024489164352417,0.10431123524904251,0.08305169641971588,0.05056033283472061,0.03249135985970497,0.0,0.1235169917345047,0.10588937252759933,0.17627596855163574,0.00047545810230076313,0.4732351303100586,3.6331591606140137,0.0,0.030672913417220116,0.05089162290096283,0.8996896147727966,0.5206997394561768
60,0.6954314708709717,0.832775890827179,0.6954314708709717,0.832775890827179,0.4595615565776825,0.10780037194490433,0.0723278596997261,0.043912339955568314,0.02841551974415779,0.0,0.11703173071146011,0.10142555832862854,0.1560617983341217,0.000624963256996125,0.4692080020904541,3.820275068283081,0.0,0.027878357097506523,0.053040411323308945,0.9126358032226562,0.47783687710762024
65,0.7157360315322876,0.8461538553237915,0.7157360315322876,0.8461538553237915,0.4279700219631195,0.0997917577624321,0.07272017002105713,0.04719768837094307,0.02552247978746891,0.0,0.11919088661670685,0.10181951522827148,0.17371368408203125,0.0005238172598183155,0.49978387355804443,3.516228199005127,0.0,0.02872459404170513,0.049352217465639114,0.995930552482605,0.44668081402778625
70,0.7208121418952942,0.8846153616905212,0.7208121418952942,0.8846153616905212,0.41067105531692505,0.1044132262468338,0.11077447235584259,0.0731218084692955,0.03765266388654709,0.0,0.14282938838005066,0.12488067150115967,0.17948712408542633,0.001192388590425253,0.4639882743358612,4.515684127807617,0.0,0.028121966868638992,0.04736331105232239,0.7984987497329712,0.42860689759254456
75,0.7461928725242615,0.872909665107727,0.7461928725242615,0.872909665107727,0.3335990905761719,0.11828415840864182,0.08079452812671661,0.0471772663295269,0.03361726552248001,0.0,0.15231379866600037,0.13042856752872467,0.21885240077972412,0.001285959267988801,0.4631461799144745,4.4784746170043945,0.0,0.028105629608035088,0.043553244322538376,0.8694398403167725,0.35276922583580017
80,0.7411167621612549,0.9080267548561096,0.7411167621612549,0.9080267548561096,0.3059127926826477,0.11840413510799408,0.09703744947910309,0.05699126049876213,0.04004618898034096,0.0,0.14080902934074402,0.11834779381752014,0.22461210191249847,0.001850317232310772,0.45711854100227356,5.009857177734375,0.0,0.02801777981221676,0.042893342673778534,0.9692438244819641,0.32608550786972046
85,0.7258883118629456,0.9264214038848877,0.7258883118629456,0.9264214038848877,0.28111815452575684,0.11969665437936783,0.0975300669670105,0.053535763174295425,0.04399430379271507,0.0,0.16289165616035461,0.14088258147239685,0.22009076178073883,0.0016820281744003296,0.428287148475647,5.230143070220947,0.0,0.025662889704108238,0.04376751929521561,0.9971714615821838,0.30211177468299866
90,0.7563451528549194,0.9297658801078796,0.7563451528549194,0.9297658801078796,0.2902921736240387,0.1282285451889038,0.08047179877758026,0.04333769530057907,0.03713409975171089,0.0,0.16219331324100494,0.14348472654819489,0.18708594143390656,0.0009823160944506526,0.4308343529701233,4.66697883605957,0.0,0.02551695518195629,0.0422712042927742,0.9124990105628967,0.31059730052948
95,0.7512690424919128,0.9247491359710693,0.7512690424919128,0.9247491359710693,0.2563774883747101,0.11422532796859741,0.07317699491977692,0.04113490507006645,0.032042086124420166,0.0,0.16066323220729828,0.13778339326381683,0.22879818081855774,0.0011850339360535145,0.42047572135925293,4.947807788848877,0.0,0.023753738030791283,0.04337123781442642,0.9896389245986938,0.2765980660915375
100,0.7512690424919128,0.9448160529136658,0.7512690424919128,0.9448160529136658,0.267102986574173,0.10313142091035843,0.05784643441438675,0.03466608747839928,0.023180346935987473,0.0,0.1679173707962036,0.14965718984603882,0.1826019585132599,0.0004653266223613173,0.4064488112926483,4.50856876373291,0.0,0.024167845025658607,0.043044958263635635,0.8500684499740601,0.2852695882320404
105,0.7106598615646362,0.9347826242446899,0.7106598615646362,0.9347826242446899,0.22114767134189606,0.09821391105651855,0.060119107365608215,0.03397010639309883,0.026148999109864235,0.0,0.18567879498004913,0.16392864286899567,0.2175014168024063,0.0009218511404469609,0.4136529564857483,4.907140731811523,0.0,0.021728916093707085,0.0449061319231987,0.7334909439086914,0.23831193149089813
110,0.7360405921936035,0.9498327970504761,0.7360405921936035,0.9498327970504761,0.24820229411125183,0.10938481241464615,0.06058768928050995,0.03267505764961243,0.02791263349354267,0.0,0.18049156665802002,0.15595953166484833,0.24532008171081543,0.00041083787800744176,0.4100034236907959,4.6341352462768555,0.0,0.021134940907359123,0.04526948556303978,0.975884199142456,0.2682613432407379
115,0.7614213228225708,0.9598662257194519,0.7614213228225708,0.9598662257194519,0.17917470633983612,0.10898437350988388,0.06162571161985397,0.031122727319598198,0.030502984300255775,0.0,0.17364339530467987,0.1544114649295807,0.19231915473937988,0.0005750902928411961,0.40745460987091064,4.6972527503967285,0.0,0.02159993164241314,0.04300830885767937,0.9234694242477417,0.19858156144618988
120,0.7411167621612549,0.953177273273468,0.7411167621612549,0.953177273273468,0.19275842607021332,0.11842740327119827,0.07750128209590912,0.04451584443449974,0.03298543393611908,0.0,0.18267852067947388,0.15949700772762299,0.23181511461734772,0.0014158121775835752,0.371071994304657,5.6547136306762695,0.0,0.023917077109217644,0.039605624973773956,0.9510502219200134,0.21328048408031464
125,0.7563451528549194,0.9698996543884277,0.7563451528549194,0.9698996543884277,0.17871126532554626,0.11393272131681442,0.09909480065107346,0.06051376461982727,0.038581036031246185,0.0,0.19106602668762207,0.16656120121479034,0.24504828453063965,0.0011280353646725416,0.3861647844314575,5.291314125061035,0.0,0.023172155022621155,0.037810757756233215,1.0462429523468018,0.20038460195064545
