epoch,val_metric,train_metric,val_accuracy,train_accuracy,task,reconstruction,cocycle,inverse_cycle,path_consistency,triple_cocycle,metric,metric_direction_error,metric_scale_error,chart_rank,chart_min_relative_singular_value,chart_condition_number,cover,balance,sparsity,geometry,total
1,0.3484848439693451,0.37792640924453735,0.3484848439693451,0.37792640924453735,1.1005645990371704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1005645990371704
5,0.3888888955116272,0.4498327672481537,0.3888888955116272,0.4498327672481537,1.0457428693771362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0457428693771362
10,0.4747474789619446,0.5484949946403503,0.4747474789619446,0.5484949946403503,0.953388512134552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.953388512134552
15,0.5909090638160706,0.6153846383094788,0.5909090638160706,0.6153846383094788,0.8518344759941101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8518344759941101
20,0.6363636255264282,0.6856186985969543,0.6363636255264282,0.6856186985969543,0.7487784028053284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7487784028053284
25,0.6616161465644836,0.7274247407913208,0.6616161465644836,0.7274247407913208,0.666374921798706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666374921798706
30,0.6616161465644836,0.7625417709350586,0.6616161465644836,0.7625417709350586,0.6018511652946472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6018511652946472
35,0.7323232293128967,0.8143812417984009,0.7323232293128967,0.8143812417984009,0.5494343042373657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5494343042373657
40,0.6969696879386902,0.804347813129425,0.6969696879386902,0.804347813129425,0.4920196533203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4920196533203125
45,0.6969696879386902,0.851170539855957,0.6969696879386902,0.851170539855957,0.4575674533843994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4575674533843994
50,0.7171717286109924,0.8494983315467834,0.7171717286109924,0.8494983315467834,0.44803592562675476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44803592562675476
55,0.7121211886405945,0.8561872839927673,0.7121211886405945,0.8561872839927673,0.4121860861778259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4121860861778259
60,0.7171717286109924,0.8779264092445374,0.7171717286109924,0.8779264092445374,0.37610986828804016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37610986828804016
65,0.7121211886405945,0.9013378024101257,0.7121211886405945,0.9013378024101257,0.34940236806869507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34940236806869507
70,0.747474730014801,0.9046822786331177,0.747474730014801,0.9046822786331177,0.3218221664428711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3218221664428711
75,0.7323232293128967,0.9013378024101257,0.7323232293128967,0.9013378024101257,0.2939583659172058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2939583659172058
80,0.752525269985199,0.9297658801078796,0.752525269985199,0.9297658801078796,0.28887781500816345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28887781500816345
85,0.7828282713890076,0.931438148021698,0.7828282713890076,0.931438148021698,0.25514280796051025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25514280796051025
90,0.7272727489471436,0.8979933261871338,0.7272727489471436,0.8979933261871338,0.2806195020675659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2806195020675659
95,0.7727272510528564,0.9431437849998474,0.7727272510528564,0.9431437849998474,0.24363522231578827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24363522231578827
100,0.747474730014801,0.9297658801078796,0.747474730014801,0.9297658801078796,0.24295645952224731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24295645952224731
105,0.7828282713890076,0.9481605291366577,0.7828282713890076,0.9481605291366577,0.24102769792079926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24102769792079926
110,0.7323232293128967,0.9448160529136658,0.7323232293128967,0.9448160529136658,0.20582328736782074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20582328736782074
115,0.7626262903213501,0.9682274460792542,0.7626262903213501,0.9682274460792542,0.21858727931976318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21858727931976318
120,0.752525269985199,0.9548494815826416,0.752525269985199,0.9548494815826416,0.18895941972732544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18895941972732544
125,0.7575757503509521,0.9581939578056335,0.7575757503509521,0.9581939578056335,0.17891988158226013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17891988158226013
