epoch,val_metric,train_metric,val_accuracy,train_accuracy,task,reconstruction,cocycle,inverse_cycle,path_consistency,triple_cocycle,metric,metric_direction_error,metric_scale_error,chart_rank,chart_min_relative_singular_value,chart_condition_number,cover,balance,sparsity,geometry,total
1,0.37055838108062744,0.4197324514389038,0.37055838108062744,0.4197324514389038,1.1025453805923462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1025453805923462
5,0.44162434339523315,0.5117056965827942,0.44162434339523315,0.5117056965827942,1.0448434352874756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0448434352874756
10,0.4568527936935425,0.5886287689208984,0.4568527936935425,0.5886287689208984,0.9426290988922119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9426290988922119
15,0.5431472063064575,0.6505016684532166,0.5431472063064575,0.6505016684532166,0.843451201915741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.843451201915741
20,0.5380710363388062,0.6505016684532166,0.5380710363388062,0.6505016684532166,0.782706618309021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782706618309021
25,0.5837563276290894,0.7107023596763611,0.5837563276290894,0.7107023596763611,0.6993674635887146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6993674635887146
30,0.6345177292823792,0.7374581694602966,0.6345177292823792,0.7374581694602966,0.6456339955329895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6456339955329895
35,0.6700507402420044,0.7692307829856873,0.6700507402420044,0.7692307829856873,0.6082282066345215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6082282066345215
40,0.6649746298789978,0.807692289352417,0.6649746298789978,0.807692289352417,0.5451354384422302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5451354384422302
45,0.6954314708709717,0.8244147300720215,0.6954314708709717,0.8244147300720215,0.4934215843677521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4934215843677521
50,0.6802030205726624,0.8377926349639893,0.6802030205726624,0.8377926349639893,0.46364033222198486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46364033222198486
55,0.7258883118629456,0.8595317602157593,0.7258883118629456,0.8595317602157593,0.4060371220111847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4060371220111847
60,0.7360405921936035,0.8628762364387512,0.7360405921936035,0.8628762364387512,0.43600979447364807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43600979447364807
65,0.7106598615646362,0.8662207126617432,0.7106598615646362,0.8662207126617432,0.3805166482925415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3805166482925415
70,0.7411167621612549,0.8896321058273315,0.7411167621612549,0.8896321058273315,0.3856108784675598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3856108784675598
75,0.7512690424919128,0.8812708854675293,0.7512690424919128,0.8812708854675293,0.33594632148742676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33594632148742676
80,0.7461928725242615,0.8795986771583557,0.7461928725242615,0.8795986771583557,0.3678622245788574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3678622245788574
85,0.7461928725242615,0.9113712310791016,0.7461928725242615,0.9113712310791016,0.34714701771736145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34714701771736145
90,0.7360405921936035,0.8946488499641418,0.7360405921936035,0.8946488499641418,0.31543657183647156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31543657183647156
