epoch,val_metric,train_metric,val_accuracy,train_accuracy,task,reconstruction,cocycle,inverse_cycle,path_consistency,triple_cocycle,metric,metric_direction_error,metric_scale_error,chart_rank,chart_min_relative_singular_value,chart_condition_number,cover,balance,sparsity,geometry,total
1,0.39898988604545593,0.39632105827331543,0.39898988604545593,0.39632105827331543,1.1007026433944702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1007026433944702
5,0.5555555820465088,0.5234113931655884,0.5555555820465088,0.5234113931655884,1.038436770439148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.038436770439148
10,0.5656565427780151,0.6254180669784546,0.5656565427780151,0.6254180669784546,0.9188871383666992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9188871383666992
15,0.6212121248245239,0.6655518412590027,0.6212121248245239,0.6655518412590027,0.8056002259254456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8056002259254456
20,0.6464646458625793,0.6989966630935669,0.6464646458625793,0.6989966630935669,0.7153220772743225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7153220772743225
25,0.6262626051902771,0.7190635204315186,0.6262626051902771,0.7190635204315186,0.6735963225364685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6735963225364685
30,0.691919207572937,0.7675585150718689,0.691919207572937,0.7675585150718689,0.5861119031906128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5861119031906128
35,0.7070707082748413,0.8010033369064331,0.7070707082748413,0.8010033369064331,0.5468989610671997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5468989610671997
40,0.7070707082748413,0.8110367655754089,0.7070707082748413,0.8110367655754089,0.525898277759552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525898277759552
45,0.6363636255264282,0.8394649028778076,0.6363636255264282,0.8394649028778076,0.4610946774482727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4610946774482727
50,0.6868686676025391,0.851170539855957,0.6868686676025391,0.851170539855957,0.4322681128978729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4322681128978729
55,0.6868686676025391,0.851170539855957,0.6868686676025391,0.851170539855957,0.4265761077404022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4265761077404022
60,0.7020202279090881,0.8628762364387512,0.7020202279090881,0.8628762364387512,0.3762420415878296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3762420415878296
65,0.6767676472663879,0.8812708854675293,0.6767676472663879,0.8812708854675293,0.3468138575553894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3468138575553894
70,0.6969696879386902,0.8946488499641418,0.6969696879386902,0.8946488499641418,0.34699198603630066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34699198603630066
75,0.6767676472663879,0.9046822786331177,0.6767676472663879,0.9046822786331177,0.34325069189071655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34325069189071655
