epoch,val_metric,train_metric,val_accuracy,train_accuracy,task,reconstruction,cocycle,inverse_cycle,path_consistency,triple_cocycle,metric,metric_direction_error,metric_scale_error,chart_rank,chart_min_relative_singular_value,chart_condition_number,cover,balance,sparsity,geometry,total
1,0.3207547068595886,0.3200836777687073,0.3207547068595886,0.3200836777687073,1.1025464534759521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1025464534759521
5,0.4779874086380005,0.48117154836654663,0.4779874086380005,0.48117154836654663,1.0664359331130981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0664359331130981
10,0.5220125317573547,0.5209205150604248,0.5220125317573547,0.5209205150604248,0.9447586536407471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9447586536407471
15,0.6289308071136475,0.6087865829467773,0.6289308071136475,0.6087865829467773,0.8647005558013916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8647005558013916
20,0.6415094137191772,0.6527196764945984,0.6415094137191772,0.6527196764945984,0.7803425788879395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7803425788879395
25,0.654088020324707,0.6778242588043213,0.654088020324707,0.6778242588043213,0.6940140724182129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6940140724182129
30,0.6918238997459412,0.7301254868507385,0.6918238997459412,0.7301254868507385,0.6074068546295166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6074068546295166
35,0.7547169327735901,0.7761505842208862,0.7547169327735901,0.7761505842208862,0.5349646806716919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5349646806716919
40,0.7861635088920593,0.7991631627082825,0.7861635088920593,0.7991631627082825,0.5123832821846008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5123832821846008
45,0.8176100254058838,0.8242677450180054,0.8176100254058838,0.8242677450180054,0.45374414324760437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45374414324760437
50,0.805031418800354,0.8451882600784302,0.805031418800354,0.8451882600784302,0.3912316858768463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3912316858768463
55,0.7987421154975891,0.8682008385658264,0.7987421154975891,0.8682008385658264,0.37659239768981934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37659239768981934
60,0.8113207221031189,0.8828451633453369,0.8113207221031189,0.8828451633453369,0.3494274616241455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3494274616241455
65,0.805031418800354,0.8953974843025208,0.805031418800354,0.8953974843025208,0.3237082064151764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3237082064151764
70,0.8238993287086487,0.9142259359359741,0.8238993287086487,0.9142259359359741,0.2756652534008026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2756652534008026
75,0.8301886320114136,0.9225941300392151,0.8301886320114136,0.9225941300392151,0.28768953680992126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28768953680992126
80,0.805031418800354,0.9246861934661865,0.805031418800354,0.9246861934661865,0.21739710867404938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21739710867404938
85,0.8113207221031189,0.9267781972885132,0.8113207221031189,0.9267781972885132,0.23690712451934814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23690712451934814
90,0.8113207221031189,0.9456066489219666,0.8113207221031189,0.9456066489219666,0.24015074968338013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24015074968338013
95,0.8427672386169434,0.9456066489219666,0.8427672386169434,0.9456066489219666,0.18688088655471802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18688088655471802
100,0.8301886320114136,0.9581589698791504,0.8301886320114136,0.9581589698791504,0.16864342987537384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16864342987537384
105,0.8364779353141785,0.9602510333061218,0.8364779353141785,0.9602510333061218,0.14850349724292755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14850349724292755
