epoch,val_metric,train_metric,val_accuracy,train_accuracy,task,reconstruction,cocycle,inverse_cycle,path_consistency,triple_cocycle,metric,metric_direction_error,metric_scale_error,chart_rank,chart_min_relative_singular_value,chart_condition_number,cover,balance,sparsity,geometry,total
1,0.35849055647850037,0.3632567822933197,0.35849055647850037,0.3632567822933197,1.0968066453933716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0968066453933716
5,0.4591194689273834,0.46972861886024475,0.4591194689273834,0.46972861886024475,1.0606070756912231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0606070756912231
10,0.4842767119407654,0.5219206809997559,0.4842767119407654,0.5219206809997559,0.9499971866607666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9499971866607666
15,0.49685531854629517,0.6116910576820374,0.49685531854629517,0.6116910576820374,0.847204327583313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.847204327583313
20,0.6289308071136475,0.6805845499038696,0.6289308071136475,0.6805845499038696,0.7369036674499512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7369036674499512
25,0.6352201104164124,0.7390396595001221,0.6352201104164124,0.7390396595001221,0.6413612365722656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6413612365722656
30,0.6792452335357666,0.7640918493270874,0.6792452335357666,0.7640918493270874,0.5695750713348389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5695750713348389
35,0.7295597195625305,0.8225470185279846,0.7295597195625305,0.8225470185279846,0.4800059497356415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4800059497356415
40,0.7672955989837646,0.84759920835495,0.7672955989837646,0.84759920835495,0.42666032910346985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42666032910346985
45,0.7924528121948242,0.8789144158363342,0.7924528121948242,0.8789144158363342,0.3815368711948395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3815368711948395
