epoch,val_metric,train_metric,val_accuracy,train_accuracy,task,reconstruction,cocycle,inverse_cycle,path_consistency,triple_cocycle,metric,metric_direction_error,metric_scale_error,chart_rank,chart_min_relative_singular_value,chart_condition_number,cover,balance,sparsity,geometry,total
1,0.4303797483444214,0.46972861886024475,0.4303797483444214,0.46972861886024475,1.0960484743118286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0960484743118286
5,0.4683544337749481,0.4759916663169861,0.4683544337749481,0.4759916663169861,1.0489193201065063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0489193201065063
10,0.5506329536437988,0.5824635028839111,0.5506329536437988,0.5824635028839111,0.905529797077179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.905529797077179
15,0.6265822649002075,0.6576200723648071,0.6265822649002075,0.6576200723648071,0.7901559472084045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7901559472084045
20,0.689873456954956,0.6847599148750305,0.689873456954956,0.6847599148750305,0.6809132099151611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6809132099151611
25,0.7088607549667358,0.7348642945289612,0.7088607549667358,0.7348642945289612,0.6169275045394897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6169275045394897
30,0.7278481125831604,0.7661795616149902,0.7278481125831604,0.7661795616149902,0.5531468391418457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5531468391418457
35,0.7405063509941101,0.7766179442405701,0.7405063509941101,0.7766179442405701,0.5056301355361938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5056301355361938
40,0.746835470199585,0.8308977484703064,0.746835470199585,0.8308977484703064,0.4212357997894287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4212357997894287
45,0.7658228278160095,0.8559499382972717,0.7658228278160095,0.8559499382972717,0.3720913231372833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3720913231372833
50,0.7848101258277893,0.8768267631530762,0.7848101258277893,0.8768267631530762,0.33333519101142883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333519101142883
55,0.7721519470214844,0.8977035880088806,0.7721519470214844,0.8977035880088806,0.3070724308490753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3070724308490753
60,0.7594937086105347,0.8893528580665588,0.7594937086105347,0.8893528580665588,0.30026814341545105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30026814341545105
